Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Norway,NOR,1951,6.5176907,,6.3737,1.4245014
Norway,NOR,1952,10.884354,,4.1057644,1.2759752
Norway,NOR,1953,7.397737,,5.1779933,1.5928639
Norway,NOR,1954,4.5323443,,4.97992,0.6259781
Norway,NOR,1955,8.15534,,5.148005,1.072386
Norway,NOR,1956,9.74026,,5.009696,1.0789427
Norway,NOR,1957,5.048805,,5.530254,0.9759271
Norway,NOR,1958,6.451613,,3.761858,0.9099181
Norway,NOR,1959,6.9576216,,3.7655535,0.9823183
Norway,NOR,1960,5.6854076,,5.8890886,0.3310162
Norway,NOR,1961,6.7350864,,4.572175,0.8192245
Norway,NOR,1962,6.889764,,7.239819,1.2669684
Norway,NOR,1963,7.2871814,,4.231082,0.9048136
Norway,NOR,1964,3.9827414,,4.055808,0.6487188
Norway,NOR,1965,7.94702,,4.147133,0.90155065
Norway,NOR,1966,5.58109,,5.6197815,0.6527415
Norway,NOR,1967,5.863192,,4.783926,0.8912656
Norway,NOR,1968,7.799805,,3.8028839,0.7078393
Norway,NOR,1969,4.865391,,3.6140792,0.52659297
Norway,NOR,1970,5.517689,,4.8392134,0.32123354
Norway,NOR,1971,4.8875856,,3.1022182,0.6329114
Norway,NOR,1972,3.9215686,,4.7773156,0.85528564
Norway,NOR,1973,5.5374594,,4.6160946,0.33944333
Norway,NOR,1974,6.1568375,,3.5521235,0.605877
Norway,NOR,1975,4.4785666,,2.1847692,0.0
Norway,NOR,1976,7.556675,,3.2980385,0.52074295
Norway,NOR,1977,4.0285096,,3.0774214,1.2733446
Norway,NOR,1978,3.3577533,,2.3228803,0.54387236
Norway,NOR,1979,3.920386,,1.5316542,0.6253909
Norway,NOR,1980,3.90625,,2.618715,0.47641733
Norway,NOR,1981,3.9109507,,1.7685204,0.6620324
Norway,NOR,1982,6.035003,,1.4132849,0.486618
Norway,NOR,1983,3.6596522,,0.9354537,0.71787506
Norway,NOR,1984,2.4898849,,2.3192072,0.74128985
Norway,NOR,1985,3.1908104,,0.9663703,0.0
Norway,NOR,1986,4.61285,1.2956165,1.5115526,0.0
Norway,NOR,1987,5.1493306,0.77414364,2.3224308,0.9779951
Norway,NOR,1988,4.2796006,1.1492051,1.7148982,0.9576709
Norway,NOR,1989,1.8389114,1.3230013,0.42462844,0.0
Norway,NOR,1990,3.7636433,1.1158639,1.4878185,0.41858518
Norway,NOR,1991,2.2874572,0.6161429,0.7305936,0.41076195
Norway,NOR,1992,3.0569353,1.0054293,1.6086869,0.76599
Norway,NOR,1993,3.054601,0.879817,0.78662735,1.6722409
Norway,NOR,1994,3.061615,1.1560694,0.3632401,0.3632401
Norway,NOR,1995,3.4482758,0.94643193,1.4505367,0.0
Norway,NOR,1996,1.5273005,2.0514734,1.1189854,0.41220114
Norway,NOR,1997,3.0257187,0.6623613,1.8392496,0.0
Norway,NOR,1998,2.5954764,0.9107468,0.9107468,0.41084635
Norway,NOR,1999,2.5131853,1.451363,0.54426116,0.41093245
Norway,NOR,2000,2.080314,2.1305888,1.4522299,0.41255826
Norway,NOR,2001,1.0080984,0.3644129,1.6227497,0.4154394
Norway,NOR,2002,2.6184008,1.2805924,1.8294178,0.0
Norway,NOR,2003,2.8974123,0.7356944,1.1035416,0.0
Norway,NOR,2004,2.5588782,1.171905,1.1101428,0.0
Norway,NOR,2005,2.234423,1.4876138,1.7533401,0.86487234
Norway,NOR,2006,1.2753597,1.1809622,0.65756595,0.0
Norway,NOR,2007,2.5454764,0.99807703,1.1242355,0.0
Norway,NOR,2008,3.4952037,1.0082628,0.37352946,0.33450523
Norway,NOR,2009,1.2695531,1.3335578,0.371381,0.33477846
Norway,NOR,2010,1.9034628,1.1056912,0.3685637,0.0
Norway,NOR,2011,2.5524693,1.2769878,0.5472805,0.33397344
Norway,NOR,2012,3.224735,1.3000171,0.5406589,0.3976254
Norway,NOR,2013,0.9729993,0.9733118,1.2886816,0.0
Norway,NOR,2014,2.273676,1.949012,0.8016064,0.3189869
Norway,NOR,2015,1.6261749,0.80772835,0.88289773,0.40386418
Norway,NOR,2016,2.2624984,0.95779324,1.6844801,0.0
