Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Panama,PAN,1955,1.7241379,,1.1299435,0.7092199
Panama,PAN,1956,3.3333333,,1.0752689,0.6849315
Panama,PAN,1957,4.9180326,,1.4134276,0.7407407
Panama,PAN,1958,1.5873016,,1.0526316,1.3745705
Panama,PAN,1959,3.1007752,,1.7804154,0.6993007
Panama,PAN,1960,1.5037594,,1.3029315,2.5
Panama,PAN,1961,0.729927,,1.2658228,1.9417475
Panama,PAN,1962,3.5310733,,3.8240917,0.0
Panama,PAN,1963,1.3605442,,1.4792899,1.1428572
Panama,PAN,1964,1.986755,,2.0057306,0.8595989
Panama,PAN,1965,3.8709676,,1.7199017,1.0869565
Panama,PAN,1966,5.0125313,,1.429252,0.543626
Panama,PAN,1967,3.0487804,,2.1008403,0.7915567
Panama,PAN,1968,4.1420116,,2.022472,1.3483146
Panama,PAN,1969,3.4443169,,1.9875777,0.7453416
Panama,PAN,1970,1.6393442,,2.3696682,0.88105726
Panama,PAN,1971,3.1746032,,1.1494253,0.6896552
Panama,PAN,1972,5.1282053,,3.2,0.96618354
Panama,PAN,1973,2.5188916,,2.733841,0.40518638
Panama,PAN,1974,3.8461537,,1.6701461,0.6263048
Panama,PAN,1975,3.286385,,2.1978023,0.61349696
Panama,PAN,1976,5.9633026,,1.7793595,0.37037036
Panama,PAN,1977,5.803571,,1.9230769,0.5847953
Panama,PAN,1978,3.930131,,1.3651878,0.41152263
Panama,PAN,1979,5.1282053,,1.0050251,0.0
Panama,PAN,1980,3.7344398,,4.259259,0.88105726
Panama,PAN,1981,4.897959,,2.1818182,0.81135905
Panama,PAN,1982,2.7237353,,2.3853211,1.0204082
Panama,PAN,1983,3.4482758,,1.8248175,0.0
Panama,PAN,1984,3.053435,,1.5329586,0.37467217
Panama,PAN,1985,4.491018,,2.7203481,0.80906147
Panama,PAN,1986,2.1986074,,1.9809825,0.59862316
Panama,PAN,1987,3.948313,,3.1309793,0.58195925
Panama,PAN,1988,5.015225,,2.5233748,0.9400581
Panama,PAN,1989,3.912544,,2.0530777,0.8446707
Panama,PAN,1996,3.3779104,,1.5769016,0.77693135
Panama,PAN,1997,4.682133,,2.4967737,0.9580502
Panama,PAN,1998,2.6479895,0.8634624,1.3887945,0.3173042
Panama,PAN,1999,2.2939012,0.5130749,1.6794226,0.6840998
Panama,PAN,2000,3.2479553,1.3553901,1.512077,0.67769504
Panama,PAN,2001,4.511908,1.3375578,1.1950929,1.0894749
Panama,PAN,2002,3.5194595,0.8265556,1.6273007,0.30596665
Panama,PAN,2003,3.177478,1.1455091,1.6136675,0.49093246
Panama,PAN,2004,5.6763353,2.473123,0.8728669,0.4861559
Panama,PAN,2005,3.1241505,1.1539216,1.8751225,0.8805013
Panama,PAN,2006,3.3939931,0.7975779,0.9570935,0.47854674
Panama,PAN,2007,7.9123554,0.79213816,1.4258487,0.0
Panama,PAN,2008,3.5997229,1.4162166,1.2588593,0.2867326
Panama,PAN,2009,4.1442924,1.3807815,1.920244,0.28580984
Panama,PAN,2010,5.565303,0.6946953,1.0873449,0.0
Panama,PAN,2011,4.646368,1.3758924,1.6924561,0.33754933
Panama,PAN,2012,7.7910385,1.3718905,1.8291874,0.30486456
Panama,PAN,2013,4.3075843,0.30205047,1.4859744,0.66179585
Panama,PAN,2014,5.7156086,0.0,1.9453099,0.549996
Panama,PAN,2015,5.111705,0.6642232,1.859825,0.0
Panama,PAN,2016,5.3475184,0.9690955,2.239792,0.26954904
Panama,PAN,2017,3.9011233,0.26677766,0.78544515,0.53355527
Panama,PAN,2018,5.2403383,0.2898055,0.91171354,0.2898055
Panama,PAN,2019,5.73573,1.0472137,2.075138,0.64164877
Panama,PAN,2021,3.2137117,1.0756413,1.0020471,0.25833386
Panama,PAN,2022,3.711254,0.32059708,0.89873445,0.0
