Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Paraguay,PRY,2000,4.6016364,0.71626824,1.647417,0.23960035
Paraguay,PRY,2001,2.7268472,0.35167,1.0705522,0.47638896
Paraguay,PRY,2002,3.2960184,0.17656614,1.4996219,0.43109024
Paraguay,PRY,2003,3.858958,0.23782344,1.5047454,0.47564688
Paraguay,PRY,2004,3.092893,0.70906293,1.0074515,0.42543778
Paraguay,PRY,2005,4.096436,0.8771566,2.0732791,0.14167698
Paraguay,PRY,2006,4.3546233,0.3217092,2.764523,0.1857124
Paraguay,PRY,2007,3.4607365,0.2429256,2.263942,0.5842431
Paraguay,PRY,2008,3.5854888,0.5123944,1.9031794,0.21959762
Paraguay,PRY,2009,4.14618,0.44124007,2.5684662,0.0
Paraguay,PRY,2010,2.0032597,0.90502053,1.618897,0.16454919
Paraguay,PRY,2011,3.0259802,0.24609105,1.1011704,0.3281214
Paraguay,PRY,2012,2.3285158,0.44940186,1.2472936,0.0
Paraguay,PRY,2013,4.418542,0.6533738,1.6334344,0.54272807
Paraguay,PRY,2014,3.276257,0.29300895,1.1720358,0.0
Paraguay,PRY,2015,4.6478295,0.65754193,1.1689634,0.18144111
Paraguay,PRY,2016,3.3046181,0.48655605,1.2974828,0.2921495
Paraguay,PRY,2017,2.9973009,0.72950315,1.3842857,0.24297754
Paraguay,PRY,2018,3.130693,0.7275432,2.0332243,0.2425386
Paraguay,PRY,2019,3.4098625,0.4035366,1.8562683,0.24212196
Paraguay,PRY,2020,2.5113528,0.6447292,1.661953,0.17920826
Paraguay,PRY,2021,2.6557603,0.87728274,0.935717,0.14621378
