Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Peru,PER,1995,3.7525976,,1.4560355,0.35591978
Peru,PER,1996,3.8700013,,1.3255008,0.34076685
Peru,PER,1997,3.3286629,,1.6316404,0.39446253
Peru,PER,1998,3.4805822,,1.6350327,0.17850217
Peru,PER,1999,3.8024628,0.40777054,1.2559333,0.42408136
Peru,PER,2000,3.8676598,0.68993056,1.5277034,0.32655576
Peru,PER,2001,3.5264149,0.49557936,1.3876222,0.2973476
Peru,PER,2002,3.7181008,0.46068698,1.4794393,0.31326717
Peru,PER,2003,3.482394,0.7063177,1.7749388,0.18419176
Peru,PER,2004,3.413144,0.47245935,1.6704812,0.20637617
Peru,PER,2005,4.5019794,0.58658904,1.4269419,0.15137783
Peru,PER,2006,3.6169486,0.2852378,1.2778281,0.15333937
Peru,PER,2007,3.6624253,0.51143175,1.6877248,0.17159288
Peru,PER,2008,3.576443,0.4258795,1.7546235,0.20442216
Peru,PER,2009,4.5511594,0.71538216,1.7884554,0.27252653
Peru,PER,2010,3.652851,0.8871527,1.5354565,0.22178815
Peru,PER,2011,3.5004497,0.41850054,1.9593434,0.30436403
Peru,PER,2012,3.970704,0.89432454,2.0064254,0.26639453
Peru,PER,2013,4.2129626,1.0016702,1.6061263,0.25905263
Peru,PER,2014,4.3602424,0.8324997,2.5321865,0.38145554
Peru,PER,2015,3.8678098,0.91943306,1.7347794,0.2949125
Peru,PER,2016,3.340701,0.55091023,2.0792418,0.26656947
Peru,PER,2017,3.6987748,0.88147444,1.9968095,0.12592492
Peru,PER,2018,5.6150665,1.0858921,3.0223997,0.3438658
Peru,PER,2019,5.476679,1.0018718,2.5502193,0.12751096
Peru,PER,2020,6.4909654,1.4507655,2.607705,0.16581362
Peru,PER,2021,6.9634013,1.3017669,2.4227328,0.28928155
Peru,PER,2022,6.2023454,1.4360349,1.9924985,0.24143334
