Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Philippines,PHL,1963,2.7482822,,1.4585773,0.03996102
Philippines,PHL,1964,2.8824494,,1.6113129,0.10742085
Philippines,PHL,1965,2.9356673,,2.1045218,0.066962056
Philippines,PHL,1966,2.4438558,,1.4081736,0.14921044
Philippines,PHL,1967,3.0221934,,1.7866789,0.12761992
Philippines,PHL,1968,3.3923612,,1.8923994,0.066795394
Philippines,PHL,1969,3.1747675,,2.0812626,0.15740642
Philippines,PHL,1992,3.6172204,0.4208232,1.7210588,0.16185506
Philippines,PHL,1993,4.154467,0.34510902,1.810495,0.15397172
Philippines,PHL,1994,4.1088986,0.4642318,1.9911628,0.145422
Philippines,PHL,1995,4.2542605,0.62927496,1.8878249,0.18931298
Philippines,PHL,1996,4.0490327,0.48524898,2.26813,0.18537602
Philippines,PHL,1997,3.6556237,0.55660826,1.9205493,0.14020805
Philippines,PHL,1998,3.551615,0.5097244,1.7617657,0.22764389
Philippines,PHL,1999,3.9155312,0.46917346,1.9842128,0.16616559
Philippines,PHL,2000,4.27426,0.5117021,2.0178442,0.19309515
Philippines,PHL,2001,4.2003183,0.5232507,2.0977595,0.19502981
Philippines,PHL,2002,3.946368,0.35632583,2.1426435,0.13596644
Philippines,PHL,2003,3.9100988,0.33291113,1.9651004,0.15720803
Philippines,PHL,2006,3.7417207,0.38908574,2.0947292,0.13572758
Philippines,PHL,2007,3.4329941,0.30399176,1.9646035,0.14065291
Philippines,PHL,2008,3.5468755,0.36985,2.0136278,0.15804434
Philippines,PHL,2009,3.9889312,0.25307485,2.015396,0.16952987
Philippines,PHL,2010,3.4438517,0.36105525,2.397777,0.22218785
Philippines,PHL,2011,3.6227856,0.34922782,2.4032388,0.17920901
Philippines,PHL,2014,4.0343986,0.45413586,2.122821,0.21650663
Philippines,PHL,2016,3.5228267,0.41337875,2.1403832,0.1653515
Philippines,PHL,2017,3.8657691,0.48871562,2.064481,0.21010205
Philippines,PHL,2018,3.393972,0.52731335,1.8683258,0.20001543
Philippines,PHL,2019,3.655528,0.4346903,2.1372273,0.23092923
