Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Poland,POL,1959,4.0260377,,2.940211,0.34254885
Poland,POL,1960,4.516463,,2.6313155,0.3163706
Poland,POL,1961,4.8590245,,3.1238701,0.46139404
Poland,POL,1962,5.036855,,2.9897346,0.5301993
Poland,POL,1963,4.7854047,,3.5998313,0.66273046
Poland,POL,1964,5.0697823,,3.6039922,0.6314687
Poland,POL,1965,5.017346,,3.769084,0.85877866
Poland,POL,1966,5.291758,,3.8292043,0.62719727
Poland,POL,1967,4.668006,,3.096717,0.7870109
Poland,POL,1968,5.9118037,,3.4794588,0.81246245
Poland,POL,1969,5.462149,,3.1976902,0.602993
Poland,POL,1970,5.7255793,,3.6209452,0.6566481
Poland,POL,1971,5.624398,,3.268595,0.703128
Poland,POL,1972,6.0665116,,3.2800016,0.6293026
Poland,POL,1973,6.4699283,,3.5570266,0.608689
Poland,POL,1974,5.373493,,2.623934,0.71221066
Poland,POL,1975,5.914334,,2.830102,0.47780943
Poland,POL,1976,4.3949494,,3.4399102,0.7241916
Poland,POL,1977,5.347594,,2.6812017,0.6879399
Poland,POL,1978,4.984812,,2.7369907,0.8606889
Poland,POL,1979,5.562177,,2.7516701,0.6464767
Poland,POL,1980,5.710207,1.7654848,3.1549866,0.6211891
Poland,POL,1981,4.523285,1.3764625,2.5608604,0.73624736
Poland,POL,1982,4.9365573,1.5867779,2.9536064,0.76982296
Poland,POL,1983,5.140906,1.6653047,2.0507917,0.8480718
Poland,POL,1984,5.0897985,1.304493,2.1842673,0.66741496
Poland,POL,1985,4.452547,1.4442823,2.106245,0.58673966
Poland,POL,1986,4.9027896,1.5931464,1.9839182,0.34568274
Poland,POL,1987,4.5436587,1.7373701,2.160382,0.5287648
Poland,POL,1988,4.3015623,1.3839041,1.8401363,0.53227085
Poland,POL,1989,4.6200266,1.4999691,2.1649039,0.46390796
Poland,POL,1990,4.0228996,1.5605543,1.9703968,0.45713204
Poland,POL,1991,4.6670146,1.4157242,1.5444264,0.43436992
Poland,POL,1992,4.6573925,1.2699983,1.4184397,0.49480456
Poland,POL,1993,3.6583903,1.7744715,1.4673514,0.35830674
Poland,POL,1994,3.5295863,1.5046378,1.4338313,0.37173405
Poland,POL,1995,3.7893367,1.2361395,1.7342854,0.5350455
Poland,POL,1996,4.4694734,1.4786081,1.555419,0.4992703
Poland,POL,1999,3.2051282,1.3538197,1.1819061,0.2793596
Poland,POL,2000,2.7577472,1.2868195,0.93183476,0.16982988
Poland,POL,2001,3.6266482,1.3394935,1.5473459,0.45486537
Poland,POL,2002,3.3344896,1.1548531,1.3473285,0.26465383
Poland,POL,2003,3.0290623,0.9211427,0.796664,0.2454175
Poland,POL,2004,2.9804678,1.4886774,1.1550083,0.1540011
Poland,POL,2005,2.6595767,0.99894136,0.73606205,0.3475534
Poland,POL,2006,3.3319626,1.5802155,1.0445492,0.23759446
Poland,POL,2007,3.0444155,1.028774,0.893409,0.09047855
Poland,POL,2008,2.4417167,1.1917915,1.0563606,0.18211365
Poland,POL,2009,2.3533628,0.9374727,0.9106878,0.11089825
Poland,POL,2010,2.746379,1.1569335,0.68364257,0.14737903
Poland,POL,2011,2.5238245,1.2794365,0.5744409,0.14501144
Poland,POL,2012,1.8626087,1.163818,0.7241534,0.2008466
Poland,POL,2013,2.07452,1.053053,0.5907371,0.19920935
Poland,POL,2014,2.6102715,1.3558698,0.48606652,0.15412088
Poland,POL,2015,2.355965,1.1986285,0.63756835,0.112414934
Poland,POL,2016,2.0214612,0.8652996,0.4326498,0.10179995
Poland,POL,2017,2.3685014,0.8625689,0.3044361,0.1636856
Poland,POL,2018,2.0908446,0.8764513,0.59289354,0.08545131
Poland,POL,2019,2.192837,1.0311192,0.7991174,0.08580733
Poland,POL,2020,2.0726779,1.1488143,0.60051656,0.06434431
Poland,POL,2021,1.8025734,1.1360455,0.50197357,0.17393412
Poland,POL,2022,2.3034275,1.186619,0.7281526,0.088342
