Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Portugal,PRT,1955,2.950988,,2.251732,0.58320373
Portugal,PRT,1956,5.362615,,2.298058,0.5170631
Portugal,PRT,1957,4.5877404,,3.2760959,0.44416243
Portugal,PRT,1958,5.0523276,,2.5294182,0.67688143
Portugal,PRT,1959,6.9608455,,3.5907636,0.49711055
Portugal,PRT,1960,6.314034,,3.0240786,0.79881316
Portugal,PRT,1961,4.387005,,3.6702428,0.76574564
Portugal,PRT,1962,3.8832667,,3.3032866,0.8958065
Portugal,PRT,1963,6.348826,,3.1647327,0.6662595
Portugal,PRT,1964,6.6385036,,3.7444935,1.3032146
Portugal,PRT,1965,5.7240286,,4.5657077,0.44006822
Portugal,PRT,1966,6.380368,,4.580574,1.0485651
Portugal,PRT,1967,5.81036,,4.105181,0.7438631
Portugal,PRT,1968,6.916142,,4.0394974,1.2342908
Portugal,PRT,1969,5.883089,,4.638009,1.5079166
Portugal,PRT,1970,6.767565,,3.5385273,1.0371546
Portugal,PRT,1971,6.8923078,,4.475782,0.5518087
Portugal,PRT,1972,7.3313785,,2.7463953,0.68659884
Portugal,PRT,1973,7.6110973,,4.2737727,0.942744
Portugal,PRT,1974,7.5943165,,3.9926484,0.7605045
Portugal,PRT,1975,6.617317,,3.3294392,0.87616825
Portugal,PRT,1976,5.7902637,,3.2076533,0.8125
Portugal,PRT,1977,6.1721826,,2.9037302,0.6201166
Portugal,PRT,1978,7.3069997,,3.279053,0.740695
Portugal,PRT,1979,6.115563,,2.157915,0.7374178
Portugal,PRT,1980,5.9585195,1.4363126,2.843265,0.71081626
Portugal,PRT,1981,4.336615,1.7675382,2.7427318,0.73682094
Portugal,PRT,1982,5.61732,1.6359918,3.094251,1.2951602
Portugal,PRT,1983,5.966308,0.9453583,2.3949077,1.1789999
Portugal,PRT,1984,6.908665,0.8490766,3.3963065,0.63680744
Portugal,PRT,1985,6.1846166,0.99190146,1.8515494,0.79352117
Portugal,PRT,1986,5.1180406,1.5758585,2.8805556,0.4800926
Portugal,PRT,1987,5.022825,1.40515,1.854483,0.78458893
Portugal,PRT,1988,6.278847,1.4090754,2.5215032,0.81578046
Portugal,PRT,1989,5.195916,1.082817,2.7070422,0.84932613
Portugal,PRT,1990,4.3518643,1.1596096,2.3519661,0.6488182
Portugal,PRT,1991,5.5726047,0.83628047,2.272647,0.7433604
Portugal,PRT,1992,5.0078435,1.1458057,2.8421764,0.66838664
Portugal,PRT,1993,4.763479,0.70125306,2.4543858,0.45278063
Portugal,PRT,1994,4.1850486,0.8873622,1.8675416,0.2957874
Portugal,PRT,1995,3.7257214,1.0804883,0.9904476,0.45020345
Portugal,PRT,1996,5.0946918,1.7225717,1.63191,0.30186218
Portugal,PRT,1997,3.9994497,0.50446147,1.412492,0.40356916
Portugal,PRT,1998,3.3050423,0.81656504,1.6331301,0.90829456
Portugal,PRT,1999,3.9001493,1.0852333,0.9947972,0.692008
Portugal,PRT,2000,3.4481332,0.9049307,0.80754,0.3028275
Portugal,PRT,2001,3.6467576,1.3595072,0.8157043,0.9088513
Portugal,PRT,2002,4.352224,1.4090177,1.6264423,0.36143163
Portugal,PRT,2003,3.6627162,0.7217233,1.1728004,0.18361022
Portugal,PRT,2007,4.8764544,0.6382587,0.6041238,0.20137458
Portugal,PRT,2008,3.4499414,1.1181339,0.8282107,0.20329706
Portugal,PRT,2009,2.7150846,0.93281496,0.5150545,0.0
Portugal,PRT,2010,1.7873324,1.0505265,0.8443557,0.0
Portugal,PRT,2011,2.6713398,1.0757704,0.9779731,0.37895367
Portugal,PRT,2012,3.2293077,0.99585724,0.8776665,0.0
Portugal,PRT,2013,2.3501678,1.5612046,0.7806023,0.25900564
Portugal,PRT,2014,2.565014,1.7703816,0.45569506,0.1985699
Portugal,PRT,2015,2.8025963,1.1676472,0.7005884,0.40222308
Portugal,PRT,2016,2.656723,0.35784236,1.1896278,1.1587352
Portugal,PRT,2017,1.5386243,0.72591287,1.4235483,0.0
Portugal,PRT,2018,2.5339327,0.55389726,1.3293535,0.42133382
Portugal,PRT,2019,2.6076038,0.38566062,0.8998748,0.0
Portugal,PRT,2022,2.967378,1.716675,0.4068475,0.0
