Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Puerto Rico,PRI,1961,2.9690623,,3.4641216,1.0542978
Puerto Rico,PRI,1962,8.115154,,2.695761,0.67654765
Puerto Rico,PRI,1963,3.405751,,4.3255887,1.0441076
Puerto Rico,PRI,1964,2.36259,,2.867485,0.67470235
Puerto Rico,PRI,1965,3.654388,,3.159724,1.1883682
Puerto Rico,PRI,1966,7.9155936,,4.011915,1.1701419
Puerto Rico,PRI,1969,5.3865824,,2.9374387,1.3673203
Puerto Rico,PRI,1970,7.117416,,3.611514,0.86623883
Puerto Rico,PRI,1971,3.3828564,,2.383332,0.8762276
Puerto Rico,PRI,1972,6.1512156,,4.588103,0.3120865
Puerto Rico,PRI,1973,3.7121477,,1.7539775,0.40268025
Puerto Rico,PRI,1974,4.366853,,1.7544044,0.52632135
Puerto Rico,PRI,1975,5.3395987,,3.133683,0.6271136
Puerto Rico,PRI,1976,3.7358155,,1.9106809,1.0421896
Puerto Rico,PRI,1977,3.3853133,,4.0379066,0.6922379
Puerto Rico,PRI,1979,3.601108,,2.0440252,0.7861635
Puerto Rico,PRI,1980,4.1383386,,2.0864382,0.66744536
Puerto Rico,PRI,1981,4.347826,,2.2026432,0.48939642
Puerto Rico,PRI,1982,4.347826,,4.4510384,0.0
Puerto Rico,PRI,1983,2.8169014,,2.1073108,0.28901735
Puerto Rico,PRI,1984,3.6191537,,1.2566761,0.34928396
Puerto Rico,PRI,1985,3.5635965,,1.7001545,0.4612546
Puerto Rico,PRI,1986,2.9877503,,0.791515,0.2900232
Puerto Rico,PRI,1987,2.6501768,,1.2599748,0.0
Puerto Rico,PRI,1988,3.483309,,1.2300123,0.0
Puerto Rico,PRI,1989,4.290618,,1.631765,0.555093
Puerto Rico,PRI,1990,2.4390244,,1.5326976,0.0
Puerto Rico,PRI,1991,1.5243902,,1.3647219,0.0
Puerto Rico,PRI,1992,2.112251,,1.4537525,0.0
Puerto Rico,PRI,1993,2.5264409,,1.1800286,0.34086415
Puerto Rico,PRI,1994,1.9256383,,0.5046079,0.0
Puerto Rico,PRI,1995,3.5838323,,0.67398274,1.5457145
Puerto Rico,PRI,1996,1.9875842,,1.0354897,0.0
Puerto Rico,PRI,1997,3.3473363,,0.823825,0.0
Puerto Rico,PRI,1998,2.359206,,0.56448805,0.0
Puerto Rico,PRI,1999,4.063513,1.689526,0.5172886,0.3379052
Puerto Rico,PRI,2000,2.0373583,0.7725975,1.1588962,0.33987248
Puerto Rico,PRI,2001,0.6791956,0.45952082,0.5889143,0.0
Puerto Rico,PRI,2002,3.0591955,0.59313035,0.3478152,2.0126798
Puerto Rico,PRI,2003,2.7307017,0.6112183,1.0643166,0.0
Puerto Rico,PRI,2004,2.065042,0.6229197,0.6229197,0.48589212
Puerto Rico,PRI,2005,2.0895221,4.0831327,0.84624743,0.0
Puerto Rico,PRI,2006,1.7584026,0.0,1.1299307,0.0
Puerto Rico,PRI,2007,2.1333787,0.38391843,0.51261544,0.0
Puerto Rico,PRI,2008,1.0818725,0.44739527,1.0103806,0.0
Puerto Rico,PRI,2009,2.2018268,1.2010137,0.4003379,0.5327225
Puerto Rico,PRI,2010,2.9949086,0.703441,0.6925016,0.0
Puerto Rico,PRI,2011,1.1594607,0.9518529,0.5546127,0.0
Puerto Rico,PRI,2012,1.5844157,0.0,0.6653522,0.72370946
Puerto Rico,PRI,2013,2.0192149,0.0,1.4876304,0.0
Puerto Rico,PRI,2014,1.2331824,0.78202796,3.1470292,0.0
Puerto Rico,PRI,2015,2.095057,0.769144,0.7056565,0.45288214
Puerto Rico,PRI,2016,1.315328,1.8860807,0.5886214,0.0
Puerto Rico,PRI,2017,0.45478112,0.63990784,0.0,0.0
Puerto Rico,PRI,2021,1.4653374,0.71696925,0.0,0.0
Puerto Rico,PRI,2022,0.0,0.0,1.6131374,0.0
