Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Qatar,QAT,1995,0.0,2.0853317,2.503505,0.0
Qatar,QAT,2001,2.149567,0.0,4.565515,1.9948533
Qatar,QAT,2004,0.0,1.7975589,0.0,4.206276
Qatar,QAT,2005,5.186632,1.8620933,0.0,0.0
Qatar,QAT,2006,3.5947301,0.0,1.6174948,1.8106757
Qatar,QAT,2007,5.51917,1.5321679,1.5321679,0.0
Qatar,QAT,2008,0.0,1.4290818,0.0,0.0
Qatar,QAT,2009,1.6359918,0.0,0.0,0.0
Qatar,QAT,2010,0.0,1.3519542,0.0,0.0
Qatar,QAT,2011,3.9901044,1.129484,0.0,0.0
Qatar,QAT,2012,0.0,0.0,1.0325565,0.0
Qatar,QAT,2013,0.0,0.9576251,0.0,0.0
Qatar,QAT,2014,0.0,0.89620996,0.99535173,0.0
Qatar,QAT,2015,1.0271475,1.5559964,0.96326125,0.0
Qatar,QAT,2016,0.9731508,0.0,1.5322266,0.79985285
Qatar,QAT,2017,0.94433165,0.93714565,0.84654295,0.0
Qatar,QAT,2019,2.5782278,1.4975553,1.236685,1.4975553
Qatar,QAT,2020,0.0,2.2195916,0.0,0.0
Qatar,QAT,2021,1.5687997,0.0,0.72594756,0.0
Qatar,QAT,2022,1.5432813,0.0,0.91705257,0.91705257
Qatar,QAT,2023,1.5160474,1.5989192,3.6525345,0.9131336
