Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Reunion,REU,2001,2.8130186,0.0,2.3749585,0.0
Reunion,REU,2002,1.3999524,0.0,1.4411298,0.0
Reunion,REU,2003,0.0,1.7275035,1.4476389,1.4476389
Reunion,REU,2004,0.0,1.4519689,1.7103081,0.0
Reunion,REU,2005,5.769425,1.4544185,3.4044292,0.0
Reunion,REU,2006,1.450705,6.460366,1.6703693,0.0
Reunion,REU,2007,2.9091332,1.4331369,0.0,0.0
Reunion,REU,2008,2.9198358,0.0,6.7644124,0.0
Reunion,REU,2009,4.400053,2.3105893,0.0,0.0
Reunion,REU,2010,1.4699181,0.0,1.7395238,0.0
Reunion,REU,2011,1.4210904,2.4389946,2.8565307,0.0
Reunion,REU,2012,4.3131337,1.3850416,0.0,0.0
Reunion,REU,2013,4.247066,0.0,1.5813402,0.0
Reunion,REU,2014,1.4001681,1.427511,1.8160026,0.0
Reunion,REU,2015,2.7897506,0.0,1.4511893,0.0
Reunion,REU,2016,2.8041837,1.8150468,2.934832,0.0
