Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Romania,ROU,1959,,,6.3178897,2.3276436
Romania,ROU,1960,,,8.127305,2.7318673
Romania,ROU,1961,,,8.879977,3.1509597
Romania,ROU,1962,,,10.392749,3.6253777
Romania,ROU,1963,6.01906,,3.8848667,1.2949556
Romania,ROU,1964,,,11.293017,4.0761776
Romania,ROU,1965,,,11.094055,4.8841753
Romania,ROU,1966,,,10.663592,3.7466676
Romania,ROU,1967,,,10.031391,3.8897228
Romania,ROU,1968,,,10.482056,4.2638874
Romania,ROU,1969,5.6170673,,3.502211,1.6323866
Romania,ROU,1970,6.413474,,3.9319994,1.4744998
Romania,ROU,1971,5.0728865,,3.7363074,1.3020465
Romania,ROU,1972,6.248086,,3.926774,1.1614401
Romania,ROU,1973,5.998839,,4.0021634,1.5413737
Romania,ROU,1974,6.440678,,3.9111717,1.6274674
Romania,ROU,1975,5.4513273,,3.5965757,1.7223039
Romania,ROU,1976,6.451613,,2.7932277,1.4456178
Romania,ROU,1977,5.123025,,2.9650512,0.8749332
Romania,ROU,1978,5.724271,,3.0586362,1.0692793
Romania,ROU,1980,5.3806295,1.09848,3.1421638,1.2517563
Romania,ROU,1981,6.253526,1.5625801,3.406937,1.3064194
Romania,ROU,1982,6.1975937,1.4710437,2.993703,1.0323113
Romania,ROU,1983,6.2666063,1.0472575,3.2726796,1.3352534
Romania,ROU,1984,5.2105045,1.4912654,2.7694929,1.5445249
Romania,ROU,1985,5.3803144,1.348836,2.886509,1.2139523
Romania,ROU,1986,6.092437,1.5895201,3.2064457,1.2058429
Romania,ROU,1987,6.202512,1.436861,2.9289858,1.0776458
Romania,ROU,1988,6.70323,1.562195,2.8175302,1.1995425
Romania,ROU,1989,5.796955,1.3545547,3.1324077,1.015916
Romania,ROU,1990,6.155568,1.6272231,3.397185,0.9706243
Romania,ROU,1991,5.9260025,1.2691104,2.9514196,1.3871672
Romania,ROU,1992,5.379494,1.5815425,2.7909572,1.116383
Romania,ROU,1993,6.6580877,1.5504857,2.563048,1.4239155
Romania,ROU,1994,5.7904897,1.6811613,2.651062,1.0992209
Romania,ROU,1995,7.3106422,1.7138824,2.6548376,1.1301907
Romania,ROU,1996,6.6899896,1.4631088,2.3340068,1.1754892
Romania,ROU,1997,5.865989,1.6898718,3.0491166,1.285772
Romania,ROU,1998,5.108932,1.3861082,2.618204,0.77006006
Romania,ROU,1999,6.102124,1.3721297,2.9056864,0.6232194
Romania,ROU,2000,5.4755044,1.4811053,2.6236722,0.6093274
Romania,ROU,2001,5.571105,2.0991797,1.8421373,0.17136161
Romania,ROU,2002,5.301826,2.1051114,2.6425865,0.592917
Romania,ROU,2003,4.8870463,1.7724679,2.181499,0.50197953
Romania,ROU,2004,4.4400263,1.9343001,1.8421906,0.5609177
Romania,ROU,2005,4.2978015,1.1559175,1.9881783,0.51356137
Romania,ROU,2006,4.245906,1.6693972,1.6230251,0.6192481
Romania,ROU,2007,4.6670623,2.0902805,1.4399711,0.41238177
Romania,ROU,2008,4.281494,1.865348,1.6321795,0.466337
Romania,ROU,2009,4.337846,1.4023705,1.4491161,0.31235537
Romania,ROU,2010,3.4333987,1.252883,1.4523171,0.18739577
Romania,ROU,2011,2.9212673,0.84988886,1.1331851,0.20851818
Romania,ROU,2012,4.053133,1.3001609,1.1075445,0.37804395
Romania,ROU,2013,4.0077395,1.6604416,1.1720765,0.32177654
Romania,ROU,2014,3.5802176,1.131515,0.88553345,0.19678523
Romania,ROU,2015,2.5660934,1.3851197,1.2861825,0.39574847
Romania,ROU,2016,3.045748,1.2419534,0.745172,0.16563988
Romania,ROU,2017,3.6098306,0.6477278,1.0961547,0.24419586
Romania,ROU,2018,2.461951,1.0988846,0.7991888,0.16724068
Romania,ROU,2019,2.6426163,0.7583843,0.8089433,0.20223582
Romania,ROU,2020,2.3529212,1.0020808,0.90187275,0.3130818
Romania,ROU,2022,2.0161679,0.9012311,0.7510259,0.58177364
