Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Russia,RUS,1980,5.8367653,,3.2468317,1.1240888
Russia,RUS,1981,5.347594,,2.996965,1.2102212
Russia,RUS,1982,6.1426497,,3.3822083,1.1195627
Russia,RUS,1983,5.826914,,3.2553258,0.9109363
Russia,RUS,1984,5.8219595,,3.1755407,0.92676723
Russia,RUS,1985,6.1103024,,3.0206606,0.9411554
Russia,RUS,1986,6.081127,,3.3103802,1.1093531
Russia,RUS,1987,6.1495295,,2.849288,0.9874631
Russia,RUS,1988,5.672263,,3.1126432,1.1634846
Russia,RUS,1989,5.2779865,,2.999495,1.0397679
Russia,RUS,1990,5.262571,,2.8138912,1.0255836
Russia,RUS,1991,5.7221313,,2.762769,1.1846684
Russia,RUS,1992,5.9290514,,2.7421567,1.0081458
Russia,RUS,1993,5.645914,,2.4679568,0.78010124
Russia,RUS,1994,5.0314794,,2.2976692,0.78565466
Russia,RUS,1995,4.8101115,,2.3301713,0.7440015
Russia,RUS,1996,4.965974,,1.9411423,0.6342888
Russia,RUS,1997,4.376278,,1.9698502,0.7248113
Russia,RUS,1998,4.4208593,,1.9389057,0.5441445
Russia,RUS,1999,4.59064,1.3801564,2.0335639,0.3333711
Russia,RUS,2000,4.372312,1.4454124,1.7909012,0.34548882
Russia,RUS,2001,4.4249616,1.4801747,1.6790041,0.20619348
Russia,RUS,2002,4.520661,1.4988483,1.7183765,0.34064734
Russia,RUS,2003,3.9692569,1.3488379,1.4021817,0.20575494
Russia,RUS,2004,3.8947232,1.2776351,1.7707574,0.21832101
Russia,RUS,2005,3.924164,1.3404293,1.6383024,0.26808587
Russia,RUS,2006,3.6889167,1.175471,1.5525087,0.20700116
Russia,RUS,2007,3.7526639,1.1478901,1.3440485,0.3487261
Russia,RUS,2008,3.1060069,1.224099,1.224099,0.14151435
Russia,RUS,2009,3.6482985,1.1997901,1.6248586,0.21253426
Russia,RUS,2010,3.0574818,1.2434711,1.3033173,0.1648618
Russia,RUS,2011,3.2805734,1.2529234,1.2399397,0.14931211
Russia,RUS,2012,2.836398,1.2150557,1.1772819,0.20146
Russia,RUS,2013,2.886357,1.2542418,1.1624681,0.12449407
Russia,RUS,2014,2.6347258,1.0829308,1.1563498,0.122365065
Russia,RUS,2015,2.976387,1.0629721,1.1486957,0.097153366
Russia,RUS,2016,2.9943235,1.0798786,1.1302356,0.10071406
Russia,RUS,2017,2.4907584,0.950804,1.0332437,0.115415506
Russia,RUS,2018,2.5363228,0.97184277,0.80896413,0.090578504
Russia,RUS,2019,2.293125,0.9609551,0.8387527,0.09717338
