Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Saint Kitts and Nevis,KNA,1969,,,0.0,0.0
Saint Kitts and Nevis,KNA,1970,,,0.0,0.0
Saint Kitts and Nevis,KNA,1971,,,0.0,0.0
Saint Kitts and Nevis,KNA,1972,,,0.0,0.0
Saint Kitts and Nevis,KNA,1973,,,0.0,0.0
Saint Kitts and Nevis,KNA,1974,,,0.0,0.0
Saint Kitts and Nevis,KNA,1977,,,0.0,0.0
Saint Kitts and Nevis,KNA,1978,,,0.0,0.0
Saint Kitts and Nevis,KNA,1986,,,0.0,0.0
Saint Kitts and Nevis,KNA,1987,,,0.0,0.0
Saint Kitts and Nevis,KNA,1988,,,0.0,0.0
Saint Kitts and Nevis,KNA,1989,,,0.0,0.0
Saint Kitts and Nevis,KNA,1990,,,0.0,0.0
Saint Kitts and Nevis,KNA,1991,,,0.0,0.0
Saint Kitts and Nevis,KNA,1992,,,0.0,0.0
Saint Kitts and Nevis,KNA,1993,,,0.0,0.0
Saint Kitts and Nevis,KNA,1994,,,0.0,0.0
Saint Kitts and Nevis,KNA,1995,,,0.0,0.0
Saint Kitts and Nevis,KNA,1998,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,1999,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2000,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2001,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2002,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2003,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2004,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2005,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2006,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2007,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2008,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2009,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2010,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2011,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2012,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2013,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2014,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2015,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2016,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2017,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2018,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2019,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2020,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2021,,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,2022,,0.0,0.0,0.0
