Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Saint Vincent and the Grenadines,VCT,1970,8.928572,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1971,0.0,,36.49635,0.0
Saint Vincent and the Grenadines,VCT,1972,15.625,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1974,14.316392,,0.0,7.803355
Saint Vincent and the Grenadines,VCT,1977,7.0288887,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1978,0.0,,6.451613,0.0
Saint Vincent and the Grenadines,VCT,1979,0.0,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1982,7.072136,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1983,14.16832,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1984,7.1108584,,7.101264,0.0
Saint Vincent and the Grenadines,VCT,1985,0.0,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1986,8.264462,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1987,7.4013767,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1990,7.4128985,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,1995,7.8833265,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1996,8.048938,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1997,0.0,,8.398421,0.0
Saint Vincent and the Grenadines,VCT,1998,0.0,,0.0,0.0
Saint Vincent and the Grenadines,VCT,1999,17.110104,,0.0,8.614748
Saint Vincent and the Grenadines,VCT,2000,0.0,8.719156,0.0,47.303688
Saint Vincent and the Grenadines,VCT,2001,8.817565,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2002,8.91822,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2003,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2004,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2005,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2006,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2007,0.0,0.0,0.0,104.32968
Saint Vincent and the Grenadines,VCT,2008,9.434853,13.97624,0.0,0.0
Saint Vincent and the Grenadines,VCT,2009,9.536525,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2010,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2011,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2012,10.427528,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2013,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2014,10.8131485,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2015,0.0,0.0,19.77066,0.0
Saint Vincent and the Grenadines,VCT,2016,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2017,22.655188,15.202189,0.0,15.202189
Saint Vincent and the Grenadines,VCT,2018,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2019,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2020,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2021,24.172106,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,2022,12.135922,0.0,0.0,0.0
