Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Serbia,SRB,1998,4.1675434,1.9738538,0.9508324,0.5433328
Serbia,SRB,1999,2.9867558,2.6272597,1.0070835,1.4047706
Serbia,SRB,2000,5.032735,1.5498132,0.7044605,0.7252368
Serbia,SRB,2001,3.1184845,2.2102377,1.0069784,0.34840292
Serbia,SRB,2002,3.3965392,1.7038924,1.1796178,0.0
Serbia,SRB,2003,2.545872,1.5767856,0.8787308,0.4249307
Serbia,SRB,2004,3.2966309,1.764213,0.8821065,0.2940355
Serbia,SRB,2005,2.3810713,1.4617804,0.4426705,0.32574883
Serbia,SRB,2006,2.417754,1.9318848,1.1888522,0.27453822
Serbia,SRB,2007,2.4665353,1.356243,1.047542,0.27370116
Serbia,SRB,2008,2.2744617,2.5949051,0.7529746,0.34069344
Serbia,SRB,2009,3.6419258,1.5121295,0.8212507,0.0
Serbia,SRB,2010,3.216839,1.6658312,1.3629528,0.36013585
Serbia,SRB,2011,3.118294,1.2820616,0.8012885,0.2811168
Serbia,SRB,2012,2.8527334,1.4575607,1.3169273,1.5165532
Serbia,SRB,2013,3.1314318,1.3110971,0.73945904,0.2899576
Serbia,SRB,2014,3.9520893,1.6413451,1.0444924,0.0
Serbia,SRB,2015,0.560469,1.8349389,0.6672505,0.2974535
Serbia,SRB,2016,2.2488778,1.1744809,1.0592483,0.30051056
Serbia,SRB,2017,2.8519034,0.60782605,1.3676087,1.5509166
Serbia,SRB,2018,2.8995173,1.5356678,0.84517425,0.33806968
Serbia,SRB,2019,1.7647059,1.0191723,1.158319,0.38610634
Serbia,SRB,2020,2.6786191,1.5359935,0.8533297,0.0
Serbia,SRB,2021,3.006931,1.2008241,0.6861852,0.0
Serbia,SRB,2022,1.5441345,1.3948461,0.34871152,0.0
Serbia,SRB,2023,3.4050245,0.3997026,0.6413751,0.0
