Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Seychelles,SYC,1985,0.0,0.0,12.658228,0.0
Seychelles,SYC,1986,12.987013,0.0,0.0,0.0
Seychelles,SYC,1987,0.0,0.0,0.0,12.345679
Seychelles,SYC,2001,,0.0,0.0,0.0
Seychelles,SYC,2002,,0.0,0.0,0.0
Seychelles,SYC,2003,,0.0,0.0,0.0
Seychelles,SYC,2004,,0.0,0.0,0.0
Seychelles,SYC,2005,,0.0,0.0,0.0
Seychelles,SYC,2006,,0.0,0.0,0.0
Seychelles,SYC,2007,,0.0,0.0,0.0
Seychelles,SYC,2008,,0.0,32.970657,0.0
Seychelles,SYC,2009,,0.0,26.34005,0.0
Seychelles,SYC,2010,,0.0,0.0,0.0
Seychelles,SYC,2011,,0.0,0.0,0.0
Seychelles,SYC,2012,,0.0,0.0,0.0
Seychelles,SYC,2013,,0.0,0.0,0.0
Seychelles,SYC,2014,,0.0,0.0,0.0
Seychelles,SYC,2015,,0.0,0.0,0.0
Seychelles,SYC,2016,,0.0,0.0,0.0
Seychelles,SYC,2017,,0.0,0.0,0.0
Seychelles,SYC,2019,,0.0,0.0,0.0
Seychelles,SYC,2020,,0.0,0.0,0.0
Seychelles,SYC,2021,,0.0,63.371357,0.0
