Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Singapore,SGP,1963,5.6034484,,3.28152,0.69084626
Singapore,SGP,1964,3.7468777,,2.6595745,0.5699088
Singapore,SGP,1965,5.633803,,3.934314,0.3776435
Singapore,SGP,1966,3.8865137,,2.8950953,0.6811989
Singapore,SGP,1967,4.90381,,5.1422696,0.9373828
Singapore,SGP,1968,3.6509676,,3.0522702,0.9538344
Singapore,SGP,1969,4.609929,,1.8083183,0.58939093
Singapore,SGP,1970,4.501385,,4.070556,0.71301246
Singapore,SGP,1971,6.1770763,,2.3809524,0.8748906
Singapore,SGP,1972,4.8242593,,3.2388663,0.7437709
Singapore,SGP,1973,5.5710306,,3.6907935,0.6850879
Singapore,SGP,1974,5.954466,,4.420122,1.8643672
Singapore,SGP,1975,5.001786,,3.0930288,0.6486486
Singapore,SGP,1976,6.524103,,3.9186873,4.987531
Singapore,SGP,1977,2.981737,,4.2649274,1.2543904
Singapore,SGP,1978,2.6871402,,3.2497678,1.1606314
Singapore,SGP,1979,4.449838,1.8785223,2.8490028,1.2523482
Singapore,SGP,1980,3.820034,0.0,2.6797678,0.63653725
Singapore,SGP,1981,5.694262,1.0775862,1.9361085,1.0775862
Singapore,SGP,1982,7.5555553,0.0,5.191257,0.0
Singapore,SGP,1983,7.542147,2.4993057,2.9732409,0.8331019
Singapore,SGP,1984,6.21118,1.6842105,4.008016,0.83542186
Singapore,SGP,1985,4.919499,1.5568241,3.352892,0.6053269
Singapore,SGP,1986,4.587156,1.112347,2.9932652,0.6038647
Singapore,SGP,1987,6.12341,1.3881177,3.7537537,1.3881177
Singapore,SGP,1988,1.9900497,1.6680567,2.46063,0.0
Singapore,SGP,1989,4.5638947,0.9896091,3.3428845,1.9792182
Singapore,SGP,1990,4.0302267,1.305483,2.0949721,1.9455253
Singapore,SGP,1991,3.4808552,1.9436346,4.0920715,0.5399568
Singapore,SGP,1992,6.4324594,1.109878,3.2314193,0.5060729
Singapore,SGP,1993,5.3217225,1.3066202,2.8310103,0.0
Singapore,SGP,1994,3.8647344,0.94854164,1.0617965,0.0
Singapore,SGP,1995,6.6793895,0.92785895,1.2091899,0.43365133
Singapore,SGP,1996,5.253104,1.1345587,1.8465326,0.45382348
Singapore,SGP,1997,2.3992321,2.2150624,1.6109545,0.5060729
Singapore,SGP,1998,4.195804,1.5466195,1.6080402,0.0
Singapore,SGP,1999,2.6292725,0.67069083,0.4471272,0.39047247
Singapore,SGP,2000,3.8249044,1.1325028,1.3590034,0.0
Singapore,SGP,2001,2.8340082,0.45945325,1.6080863,0.0
Singapore,SGP,2002,2.7163367,1.1531365,1.3837638,0.0
Singapore,SGP,2003,4.2000766,1.1726079,0.46904317,0.39824772
Singapore,SGP,2004,3.8314176,0.5800464,1.23406,0.0
Singapore,SGP,2005,1.1402508,1.2242899,1.3531799,0.6002401
Singapore,SGP,2006,4.971319,0.7475704,2.4989588,0.7475704
Singapore,SGP,2007,3.9169605,0.63371354,0.7743934,0.0
Singapore,SGP,2008,1.1820331,1.3157895,0.7662835,0.6393862
Singapore,SGP,2009,2.0112631,0.61484355,0.45146728,0.61484355
Singapore,SGP,2010,3.2746623,1.5902464,0.7951232,0.0
Singapore,SGP,2011,1.6632017,0.4805382,0.4805382,0.0
Singapore,SGP,2012,2.1431632,1.9460661,0.48473096,0.48473096
Singapore,SGP,2013,3.9780061,1.0282803,0.48613542,0.0
Singapore,SGP,2014,0.0,0.0,0.0,0.0
Singapore,SGP,2015,2.33222,0.7731421,0.6710689,0.0
Singapore,SGP,2016,1.445818,0.5649255,1.0291533,0.0
Singapore,SGP,2017,2.4242072,0.7727418,0.6481764,0.0
Singapore,SGP,2018,0.9683823,2.5117297,0.502346,0.0
Singapore,SGP,2019,0.0,0.8567439,0.0,0.0
Singapore,SGP,2020,3.391588,0.57408744,0.0,0.0
Singapore,SGP,2021,2.00007,1.3022473,0.68108755,0.0
Singapore,SGP,2022,1.9764897,0.49662295,0.6848752,0.0
