Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Slovakia,SVK,1992,4.7166314,1.4806826,2.181828,0.6169511
Slovakia,SVK,1993,4.3368106,1.5115901,1.2512757,0.9530708
Slovakia,SVK,1994,3.762169,1.5205965,1.2500347,0.48006645
Slovakia,SVK,1995,2.91487,1.5690192,1.8531718,0.5230064
Slovakia,SVK,1996,2.7193928,1.2171785,1.3524204,0.35576427
Slovakia,SVK,1997,3.4531977,1.2577175,1.3974639,0.55898553
Slovakia,SVK,1998,3.754987,1.4446691,1.2612329,0.5778677
Slovakia,SVK,1999,3.8406146,2.0911129,1.6430172,0.4480956
Slovakia,SVK,2000,3.4467223,1.0815772,1.1826922,0.0
Slovakia,SVK,2001,3.2197425,2.109723,1.7706181,0.44039866
Slovakia,SVK,2002,3.7972953,1.0645235,1.6499048,0.30768472
Slovakia,SVK,2003,3.8860304,1.0449795,0.8708162,0.5734186
Slovakia,SVK,2004,2.9378693,1.7820476,0.9900265,0.9574188
Slovakia,SVK,2005,2.7856007,1.417004,0.60728747,0.60728747
Slovakia,SVK,2006,2.9286351,1.0261294,1.2934268,1.8542556
Slovakia,SVK,2007,2.1548939,1.0368217,0.82945734,0.0
Slovakia,SVK,2008,2.9132342,1.1218749,1.482003,0.0
Slovakia,SVK,2009,3.716731,1.8795383,0.83535033,0.0
Slovakia,SVK,2010,3.1310556,1.2417861,1.2417861,0.4139287
Slovakia,SVK,2012,1.459862,1.1239427,1.2554353,0.4302093
Slovakia,SVK,2013,1.8672218,0.9859444,1.4218886,0.73679614
Slovakia,SVK,2014,2.6503806,1.1750973,0.5875487,0.0
Slovakia,SVK,2016,2.6557,1.3582791,0.87328386,1.7484504
Slovakia,SVK,2017,1.5006734,1.1540426,0.38468087,0.0
Slovakia,SVK,2018,2.2138383,0.6862841,1.0294261,0.0
Slovakia,SVK,2019,2.169123,0.95035803,0.5134599,0.0
Slovakia,SVK,2020,2.4707308,0.68966705,0.0,0.3788833
Slovakia,SVK,2021,2.8038497,1.1311321,0.6793547,0.34120727
Slovakia,SVK,2022,2.434588,0.94248307,0.6830589,0.0
Slovakia,SVK,2023,3.1005187,0.7562116,1.9532013,0.0
