Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Slovenia,SVN,1985,6.1643834,1.9788918,1.3192612,0.0
Slovenia,SVN,1986,3.3670034,3.7243948,1.4129283,0.0
Slovenia,SVN,1987,0.6684492,0.6715917,0.78864354,0.0
Slovenia,SVN,1988,1.9933555,1.3755158,0.6877579,0.80418175
Slovenia,SVN,1989,3.960396,0.82101804,1.6420361,0.70621467
Slovenia,SVN,1990,3.9499671,2.1802325,1.1574074,0.7267442
Slovenia,SVN,1991,4.6511626,2.181501,2.181501,0.0
Slovenia,SVN,1992,4.040404,2.0686803,1.8018018,0.7686395
Slovenia,SVN,1993,4.8143053,1.3550136,1.3979497,0.0
Slovenia,SVN,1994,3.5385704,0.80128205,1.4430014,0.0
Slovenia,SVN,1995,1.4630578,4.145937,1.9900497,2.1536252
Slovenia,SVN,1996,2.9585798,0.8250825,0.8250825,2.034588
Slovenia,SVN,1997,5.376344,1.9065777,1.5682175,0.0
Slovenia,SVN,1998,2.3419204,3.9421813,1.8467221,0.0
Slovenia,SVN,1999,3.9840639,0.0,0.0,0.0
Slovenia,SVN,2000,1.6432774,3.942285,0.0,0.0
Slovenia,SVN,2001,1.6619025,2.0188358,1.0094179,0.0
Slovenia,SVN,2002,0.8652989,2.605818,2.7729251,1.3864626
Slovenia,SVN,2003,0.90775406,1.1954144,0.0,1.39268
Slovenia,SVN,2004,0.94215184,1.0683304,3.365417,1.2110056
Slovenia,SVN,2005,3.885117,1.830943,1.0802869,0.0
Slovenia,SVN,2006,2.0050325,1.398484,0.0,0.0
Slovenia,SVN,2007,3.0512612,4.13913,2.1721659,0.0
Slovenia,SVN,2008,3.116009,0.0,1.2108883,0.0
Slovenia,SVN,2009,1.0568143,4.4156446,1.1039112,0.0
Slovenia,SVN,2010,0.0,4.0410104,1.2142701,0.0
Slovenia,SVN,2011,2.1552188,0.0,1.6925725,0.0
Slovenia,SVN,2012,4.3620024,1.0688556,1.0688556,0.0
Slovenia,SVN,2013,3.284252,1.1189812,0.0,1.1189812
Slovenia,SVN,2014,1.0952302,0.98640734,0.98640734,0.98640734
Slovenia,SVN,2015,1.093159,0.0,1.5562103,0.0
Slovenia,SVN,2016,2.1718357,1.0262725,1.162007,0.0
Slovenia,SVN,2017,2.122624,2.7070436,1.0244169,0.0
Slovenia,SVN,2018,1.0460032,3.081949,0.0,0.0
Slovenia,SVN,2019,1.973866,0.0,1.4239335,0.0
Slovenia,SVN,2020,1.8699628,1.5733826,5.254585,0.0
Slovenia,SVN,2021,1.8750293,0.9218714,2.0231447,0.0
Slovenia,SVN,2022,0.0,1.0760788,1.0760788,0.0
Slovenia,SVN,2023,2.7523947,1.2940125,0.0,0.0
