Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
South Africa,ZAF,1996,1.7544584,0.15418261,0.7323674,0.2120011
South Africa,ZAF,1997,1.780978,0.14595038,0.48650125,0.1825768
South Africa,ZAF,1998,1.9110032,0.1869672,0.5904227,0.20672703
South Africa,ZAF,1999,2.2181845,0.20978671,0.5879696,0.18934615
South Africa,ZAF,2000,1.7103791,0.24224336,0.56523454,0.20170431
South Africa,ZAF,2001,1.7889519,0.18274954,0.5380959,0.2538188
South Africa,ZAF,2002,2.0874097,0.2553487,0.46984163,0.23492081
South Africa,ZAF,2003,1.5559807,0.15399325,0.45171353,0.2669216
South Africa,ZAF,2004,2.3776236,0.33314753,0.65866125,0.23670639
South Africa,ZAF,2005,2.4126325,0.34489876,0.52418363,0.24142912
South Africa,ZAF,2006,1.7843038,0.33660847,0.6324159,0.13260333
South Africa,ZAF,2007,1.6044472,0.23192203,0.5949304,0.30250698
South Africa,ZAF,2008,1.7458173,0.17228776,0.53374785,0.18305576
South Africa,ZAF,2009,2.4879892,0.29324642,0.576718,0.28347152
South Africa,ZAF,2010,2.2321503,0.28836837,0.5286754,0.29296649
South Africa,ZAF,2011,1.9050355,0.2862559,0.5082546,0.26505175
South Africa,ZAF,2012,1.9045036,0.4359487,0.6283497,0.24911354
South Africa,ZAF,2013,1.918893,0.19988476,0.745025,0.22380276
South Africa,ZAF,2014,2.4230099,0.36668944,0.5992242,0.1696836
South Africa,ZAF,2015,2.1885414,0.38820592,0.6881832,0.1669314
South Africa,ZAF,2016,2.3262982,0.41981238,0.7958943,0.22739838
South Africa,ZAF,2017,2.309731,0.40487614,0.5473657,0.14770186
South Africa,ZAF,2018,2.5919948,0.34524515,0.5709913,0.19033043
South Africa,ZAF,2019,2.4341507,0.42308503,0.56986964,0.15541899
South Africa,ZAF,2020,1.8013219,0.2330478,0.3711502,0.215785
