Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
South Korea,KOR,1985,4.8257375,0.32812706,2.9400184,0.2887518
South Korea,KOR,1986,4.0703692,0.19950373,2.4688587,0.31172457
South Korea,KOR,1987,4.0539894,0.38602844,2.3161707,0.29204753
South Korea,KOR,1988,4.496714,1.2903053,2.2042716,0.058927517
South Korea,KOR,1989,4.7709203,1.3973176,2.6713426,0.2561694
South Korea,KOR,1990,4.795558,0.6043485,1.7006086,0.29514694
South Korea,KOR,1991,3.8691435,0.4482619,2.125629,0.34704146
South Korea,KOR,1992,4.339664,1.2925848,2.3028808,0.3862897
South Korea,KOR,1993,4.341604,1.4080455,2.0136566,0.37850687
South Korea,KOR,1994,4.5097795,0.97449565,2.436239,0.45679483
South Korea,KOR,1995,4.5945387,0.98659134,2.077821,0.26907036
South Korea,KOR,1996,4.2239227,0.71062684,1.9098096,0.38492286
South Korea,KOR,1997,3.7328668,0.8663094,2.0409663,0.27898097
South Korea,KOR,1998,4.048583,0.8784516,1.2737548,0.11712688
South Korea,KOR,1999,3.3636165,0.8653691,1.5107291,0.112547435
South Korea,KOR,2000,3.9284055,0.80781496,1.5128171,0.24968825
South Korea,KOR,2001,3.921277,0.8461082,1.4695563,0.17812805
South Korea,KOR,2002,3.7512124,0.9009591,1.2979919,0.24432789
South Korea,KOR,2003,3.2301197,0.99683243,1.1234144,0.20511916
South Korea,KOR,2004,2.9500318,0.772116,1.544232,0.229992
South Korea,KOR,2005,3.19875,0.8920826,1.3552792,0.18870977
South Korea,KOR,2006,2.9236298,0.7359304,1.2564665,0.3230914
South Korea,KOR,2007,3.2660553,0.83944327,1.585615,0.2849468
South Korea,KOR,2008,2.4869916,0.8295006,1.2731869,0.10578648
South Korea,KOR,2009,2.222834,0.6986145,1.0379416,0.21952495
South Korea,KOR,2010,2.4615066,0.66136,0.74403,0.16534
South Korea,KOR,2011,2.4123948,0.721311,0.97589135,0.16972023
South Korea,KOR,2012,2.4675794,0.94224066,0.8994115,0.1705487
South Korea,KOR,2013,2.1547365,0.90440744,0.71060586,0.119018614
South Korea,KOR,2014,2.2698624,0.69482553,0.71653885,0.1302798
South Korea,KOR,2015,1.5251831,0.6094523,0.71828306,0.2396871
South Korea,KOR,2016,1.9994506,0.6111726,0.9604141,0.21571048
South Korea,KOR,2017,2.0032222,0.71142715,0.53357035,0.072669305
South Korea,KOR,2018,1.9707075,0.8702626,0.80155766,0.08545811
South Korea,KOR,2019,1.429234,0.8742157,0.49617648,0.06239121
South Korea,KOR,2020,1.9870548,0.5164748,0.47544473,0.13206798
South Korea,KOR,2021,2.4710104,0.7770117,0.31063458,0.04425459
South Korea,KOR,2022,1.7389114,0.9328906,0.53011394,0.20615542
