Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Spain,ESP,1951,0.982906,,0.16831475,0.09053871
Spain,ESP,1952,2.39899,,1.3551666,0.37643516
Spain,ESP,1953,2.240664,,1.4771878,0.31276062
Spain,ESP,1954,2.246732,,2.1185653,0.35309422
Spain,ESP,1955,3.3064516,,2.1959772,0.5536077
Spain,ESP,1956,3.4276605,,2.2291248,0.3654303
Spain,ESP,1957,3.821907,,2.5149267,0.32540166
Spain,ESP,1958,4.2851577,,3.3148181,0.52387667
Spain,ESP,1959,3.3513098,,2.945874,0.3988036
Spain,ESP,1960,5.909264,,3.5858674,0.5140372
Spain,ESP,1961,4.589917,,3.7552156,0.5457026
Spain,ESP,1962,4.5302634,,3.7457044,0.61645156
Spain,ESP,1963,4.9794083,,3.6648343,0.67352664
Spain,ESP,1964,5.145414,,3.3284144,0.47997046
Spain,ESP,1965,4.271917,,3.4849951,0.5485641
Spain,ESP,1966,5.1692758,,3.990423,0.7501995
Spain,ESP,1967,5.527029,,3.9624279,0.69460887
Spain,ESP,1968,5.8499775,,4.0899796,0.75089467
Spain,ESP,1969,5.82472,,3.884941,0.8093627
Spain,ESP,1970,5.835394,,3.2277882,0.8648619
Spain,ESP,1971,6.6598864,,2.9929035,0.84850353
Spain,ESP,1972,6.776348,,3.5363092,0.71346587
Spain,ESP,1973,5.2876143,,2.8671403,0.7090777
Spain,ESP,1974,5.835342,,3.0013769,0.69619566
Spain,ESP,1975,5.8061495,,3.5815735,0.60207486
Spain,ESP,1976,6.5252852,,3.06504,0.56316876
Spain,ESP,1977,5.1944013,,3.1477776,0.5195361
Spain,ESP,1978,6.5783377,,2.5227814,0.87150633
Spain,ESP,1979,6.3046637,,2.4918094,0.50960606
Spain,ESP,1980,6.198035,1.549883,2.278328,0.68194854
Spain,ESP,1981,6.287787,1.3005139,2.521728,0.698324
Spain,ESP,1982,5.714977,1.5585934,2.6950676,0.69811994
Spain,ESP,1983,5.682509,1.303476,2.7907753,0.5514706
Spain,ESP,1984,5.4973426,1.2421288,2.2772362,0.37953937
Spain,ESP,1985,4.3410945,0.73040813,2.333743,0.5522598
Spain,ESP,1986,4.37557,0.53916377,1.5988994,0.6135312
Spain,ESP,1987,4.8284082,0.65920854,2.0164027,0.27473688
Spain,ESP,1988,3.829761,0.7063238,1.6986512,0.5055509
Spain,ESP,1989,4.372444,0.5893744,1.5997306,0.41456506
Spain,ESP,1990,4.292538,0.742277,2.0085144,0.4793634
Spain,ESP,1991,4.1456323,0.8925251,2.0248835,0.31498188
Spain,ESP,1992,3.8561313,0.81623137,1.7257463,0.53891754
Spain,ESP,1993,3.7388554,0.72034,1.9600053,0.4502715
Spain,ESP,1994,4.37142,0.9766155,1.771087,0.36897647
Spain,ESP,1995,3.75598,0.77711767,1.6795769,0.22170492
Spain,ESP,1996,4.4783545,0.8884376,1.5738038,0.27922326
Spain,ESP,1997,3.2556322,0.61473835,1.2807049,0.34082195
Spain,ESP,1998,4.26072,0.6697061,1.8545707,0.25379422
Spain,ESP,1999,3.2702136,0.81717205,1.2634764,0.2141556
Spain,ESP,2000,3.1236494,0.82271516,1.2402953,0.11753073
Spain,ESP,2001,3.0718946,0.7075904,1.2317314,0.20965642
Spain,ESP,2002,2.5592115,1.0527481,1.2324855,0.31605443
Spain,ESP,2003,3.6110756,0.8259562,1.3515648,0.1547708
Spain,ESP,2004,2.7669551,0.7561752,1.0001026,0.21953474
Spain,ESP,2005,3.2625394,0.49919048,1.1172358,0.23770975
Spain,ESP,2006,3.2792387,0.60188055,1.2500596,0.23332183
Spain,ESP,2007,3.3699129,0.6505438,0.987032,0.10048968
Spain,ESP,2008,2.4382746,0.95568657,0.69504476,0.21898705
Spain,ESP,2009,2.9467373,0.55189264,0.84906566,0.0950811
Spain,ESP,2010,3.2409048,0.83414,0.8967005,0.093254656
Spain,ESP,2011,2.6837626,0.7830386,0.55904186,0.14493679
Spain,ESP,2012,2.5284245,0.8218308,0.8218308,0.12398528
Spain,ESP,2013,2.2260232,0.8498401,0.7254732,0.06832123
Spain,ESP,2014,2.5362575,0.8818101,0.8188237,0.04605631
Spain,ESP,2015,2.4514716,0.74417436,0.85048497,0.11668121
Spain,ESP,2016,2.5329623,0.79802954,0.6254826,0.070983134
Spain,ESP,2017,2.3142838,0.8990792,0.70172036,0.14409533
Spain,ESP,2018,1.980459,0.9778177,0.6265754,0.073336326
Spain,ESP,2019,2.6600149,0.7311573,0.5940653,0.04981618
Spain,ESP,2020,2.3251314,0.79383147,0.7237875,0.08647149
Spain,ESP,2021,2.6099026,0.6999321,1.0136948,0.06477657
Spain,ESP,2022,2.5361722,0.6746717,0.76753914,0.099037305
Spain,ESP,2023,2.590842,0.9864811,0.7044094,0.20828329
