Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Sri Lanka,LKA,1955,1.7307693,,0.74142724,0.11061947
Sri Lanka,LKA,1956,2.004008,,0.49335864,0.16977929
Sri Lanka,LKA,1957,0.87890625,,0.44378698,0.110946745
Sri Lanka,LKA,1958,2.478551,,0.46931407,0.08143654
Sri Lanka,LKA,1959,2.5092938,,0.5279831,0.07983395
Sri Lanka,LKA,1960,1.897019,,0.51369864,0.15325671
Sri Lanka,LKA,1961,1.7605634,,0.73333335,0.0
Sri Lanka,LKA,1962,2.3993144,,0.58403635,0.19467878
Sri Lanka,LKA,1963,2.3294258,,0.6538298,0.31468806
Sri Lanka,LKA,1964,3.0263033,,1.0218164,0.24213628
Sri Lanka,LKA,1965,2.7197256,,1.0048373,0.23748875
Sri Lanka,LKA,1966,3.3615386,,0.99321276,0.57184976
Sri Lanka,LKA,1967,3.6885245,,1.1641444,0.064848736
Sri Lanka,LKA,1968,4.0666666,,1.306076,0.22714368
Sri Lanka,LKA,1977,3.0897868,,1.1448028,0.1675321
Sri Lanka,LKA,1980,2.1925135,0.2577984,1.0569735,0.23021583
Sri Lanka,LKA,1981,2.0483193,0.2786221,1.3171226,0.22796352
Sri Lanka,LKA,1982,2.0231214,,,1.6533481
Sri Lanka,LKA,1983,3.133903,0.16291067,1.846321,0.16291067
Sri Lanka,LKA,1984,3.3802817,0.05630631,1.5025489,0.16098739
Sri Lanka,LKA,1985,2.4417315,0.17873101,1.2424002,0.14894252
Sri Lanka,LKA,1986,2.5622854,0.23417148,1.8703241,0.12988362
Sri Lanka,LKA,1996,3.617306,0.16160132,2.060297,0.26116443
Sri Lanka,LKA,1997,3.899818,0.5288995,1.9980649,0.51666844
Sri Lanka,LKA,1998,3.7654898,0.46379778,2.025973,0.2981557
Sri Lanka,LKA,1999,2.9456215,0.30149692,2.501997,0.23449762
Sri Lanka,LKA,2000,3.1779876,0.3947859,2.065034,0.13506167
Sri Lanka,LKA,2001,4.001144,0.6098193,1.795478,0.121727325
Sri Lanka,LKA,2002,4.054502,0.2711222,1.5477871,0.30348766
Sri Lanka,LKA,2003,2.94935,0.45231187,1.6584768,0.13508032
Sri Lanka,LKA,2004,3.821269,0.36956704,2.0053673,0.3891011
Sri Lanka,LKA,2005,3.666825,0.5944888,1.6348442,0.2972444
Sri Lanka,LKA,2006,4.054403,0.52648866,1.6419427,0.13162215
Sri Lanka,LKA,2007,3.0202692,0.29252073,0.928594,0.29018563
Sri Lanka,LKA,2009,3.9560213,0.5431048,1.8865745,0.25486082
Sri Lanka,LKA,2010,3.6926553,0.73921746,1.1941205,0.12648317
Sri Lanka,LKA,2011,3.738272,0.6250526,1.0512247,0.1420574
Sri Lanka,LKA,2012,2.914358,0.65389764,0.9666313,0.31549305
Sri Lanka,LKA,2013,2.9992633,0.51290846,1.1967864,0.17096949
Sri Lanka,LKA,2014,3.9720933,0.7438092,1.0584978,0.14304022
Sri Lanka,LKA,2015,3.7015145,0.47820607,1.207775,0.19128244
Sri Lanka,LKA,2019,2.7256048,0.620563,1.241126,0.1957723
