Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Suriname,SUR,1963,7.986795,,2.0501466,0.0
Suriname,SUR,1964,5.116267,,3.1993856,2.027205
Suriname,SUR,1965,0.0,,6.00769,3.7530494
Suriname,SUR,1966,2.319809,,4.181756,1.8768768
Suriname,SUR,1971,0.0,,3.2206118,0.0
Suriname,SUR,1975,6.4377685,,7.352941,2.1367521
Suriname,SUR,1976,4.255319,,0.0,0.0
Suriname,SUR,1977,0.0,,0.0,0.0
Suriname,SUR,1978,4.132231,,4.7694755,0.0
Suriname,SUR,1979,3.877998,,8.047858,0.0
Suriname,SUR,1980,8.069071,,2.754214,2.754214
Suriname,SUR,1981,2.0839412,,22.35386,0.0
Suriname,SUR,1982,6.557377,,0.0,0.0
Suriname,SUR,1984,7.1301246,,2.0120723,0.0
Suriname,SUR,1985,0.0,,3.257329,0.0
Suriname,SUR,1986,7.1196337,,3.925186,2.5326073
Suriname,SUR,1987,7.307983,,2.4556148,0.0
Suriname,SUR,1988,2.5032542,,2.4191988,2.4191988
Suriname,SUR,1989,2.5540826,,3.5906644,0.0
Suriname,SUR,1990,0.0,,4.878049,0.0
Suriname,SUR,1991,2.5119948,,2.3714104,2.047628
Suriname,SUR,1992,0.0,,0.0,0.0
Suriname,SUR,1995,0.0,0.0,0.0,0.0
Suriname,SUR,1996,0.0,0.0,2.3047316,2.3047316
Suriname,SUR,1997,0.0,1.924113,2.3109632,0.0
Suriname,SUR,1998,4.15291,3.180611,0.0,0.0
Suriname,SUR,1999,4.131207,0.0,2.3272593,1.928752
Suriname,SUR,2000,2.0571053,0.0,1.9314713,2.3349211
Suriname,SUR,2001,4.086386,1.9218572,0.0,0.0
Suriname,SUR,2002,0.0,0.0,0.0,0.0
Suriname,SUR,2003,4.0189695,0.0,0.0,0.0
Suriname,SUR,2004,1.9892976,3.1576622,0.0,0.0
Suriname,SUR,2005,1.9708316,1.9083605,0.0,0.0
Suriname,SUR,2006,3.9202619,2.109994,5.7369056,2.109994
Suriname,SUR,2007,1.9550343,0.0,0.0,0.0
Suriname,SUR,2008,0.0,1.9156355,0.0,0.0
Suriname,SUR,2009,3.9134347,9.57671,1.9158189,0.0
Suriname,SUR,2010,3.9165769,0.0,2.125647,0.0
Suriname,SUR,2011,0.0,0.0,7.17669,0.0
Suriname,SUR,2012,1.9552636,0.0,0.0,0.0
Suriname,SUR,2013,3.9051058,0.0,1.9245203,0.0
Suriname,SUR,2014,5.8508043,0.0,2.8654938,0.0
