Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Sweden,SWE,1951,4.816112,,5.969654,0.9127419
Sweden,SWE,1952,5.267594,,5.1252375,0.57865584
Sweden,SWE,1953,6.1716104,,4.830918,0.54929966
Sweden,SWE,1954,5.231689,,4.2398033,0.6783685
Sweden,SWE,1955,4.902819,,5.3721514,0.43323803
Sweden,SWE,1956,4.4569163,,4.0664783,0.79561526
Sweden,SWE,1957,6.0355783,,5.3119655,0.5401999
Sweden,SWE,1958,6.8933105,,5.220258,0.5495009
Sweden,SWE,1959,6.468918,,5.121997,0.65189046
Sweden,SWE,1960,6.6375265,,5.2965097,0.6620638
Sweden,SWE,1961,6.5010834,,4.28449,0.94906676
Sweden,SWE,1962,6.546081,,5.4373746,0.4237737
Sweden,SWE,1963,7.0921984,,3.43184,0.85796
Sweden,SWE,1964,6.7358456,,4.3355327,1.2252592
Sweden,SWE,1965,5.0074186,,4.4423876,0.46389362
Sweden,SWE,1966,5.4104476,,4.2773933,0.81874937
Sweden,SWE,1967,5.423602,,4.397774,0.30202356
Sweden,SWE,1968,5.0761423,,5.449861,0.62244356
Sweden,SWE,1969,4.3290043,,3.882467,0.6829935
Sweden,SWE,1970,4.704554,,3.6608863,0.34393808
Sweden,SWE,1971,9.261009,,3.3754544,1.2982517
Sweden,SWE,1972,6.441834,,3.707216,0.38175225
Sweden,SWE,1973,5.2681093,,4.753673,0.6688963
Sweden,SWE,1974,5.3308825,,3.7508724,0.578369
Sweden,SWE,1975,5.1491475,,4.2402825,0.38993955
Sweden,SWE,1976,4.976832,,2.424569,0.70089364
Sweden,SWE,1977,3.840374,,4.577916,0.45779163
Sweden,SWE,1978,5.939614,,2.9864676,0.30706245
Sweden,SWE,1979,3.8429408,,2.935606,0.3120125
Sweden,SWE,1980,4.452055,,3.3512065,0.0
Sweden,SWE,1981,4.192872,,2.1396616,0.54844606
Sweden,SWE,1982,3.0200746,,1.5871441,0.21862702
Sweden,SWE,1983,4.132974,,1.8205725,0.4461796
Sweden,SWE,1984,4.3134437,,2.162496,0.20052136
Sweden,SWE,1985,4.1366906,,2.082249,0.26560426
Sweden,SWE,1986,4.021938,,1.6652789,0.7936508
Sweden,SWE,1987,3.3764772,0.80822074,1.7540239,0.0
Sweden,SWE,1988,2.5091681,1.0191948,1.2167917,0.20811655
Sweden,SWE,1989,1.7832376,0.989805,1.2867465,0.0
Sweden,SWE,1990,2.2150624,1.2520466,2.0225368,0.66072017
Sweden,SWE,1991,3.4447823,0.7509622,1.269304,0.0
Sweden,SWE,1992,4.671948,1.2290045,1.1825707,0.50411695
Sweden,SWE,1993,3.0395136,1.1911852,0.9926544,0.2977963
Sweden,SWE,1994,3.0181086,0.8674699,0.8679049,0.19277109
Sweden,SWE,1995,2.1982415,1.0312822,0.5156411,0.1755618
Sweden,SWE,1996,1.9755038,0.9506525,0.9451796,0.16940539
Sweden,SWE,1997,2.1297193,1.0513405,0.7885054,0.19069412
Sweden,SWE,1998,2.0665038,1.6977929,1.1657276,0.32562682
Sweden,SWE,1999,2.1715174,0.89759445,0.698129,0.25559956
Sweden,SWE,2000,3.8260272,1.1331923,0.8488564,0.1675143
Sweden,SWE,2001,3.1821852,1.264016,1.069552,0.17492977
Sweden,SWE,2002,3.0906923,0.79892063,1.5978413,0.0
Sweden,SWE,2003,2.0851796,1.1201515,0.5091598,0.19443244
Sweden,SWE,2004,2.2533236,1.222596,1.2520293,0.203766
Sweden,SWE,2005,2.4714792,0.7251973,1.0417486,0.5133088
Sweden,SWE,2006,2.919139,1.0357906,0.92514735,0.42702743
Sweden,SWE,2007,1.2622005,1.1311462,0.80720264,0.48552057
Sweden,SWE,2008,2.0816066,0.5525344,0.6630413,0.0
Sweden,SWE,2009,2.3669293,1.1852849,1.4437807,0.23163591
Sweden,SWE,2010,1.6246954,1.0330573,0.65740013,0.0
Sweden,SWE,2011,2.0544891,0.6161012,0.82729787,0.3080506
Sweden,SWE,2012,2.44836,0.8123154,0.7220582,0.0
Sweden,SWE,2013,1.7938739,0.97580665,0.7893244,0.0
Sweden,SWE,2014,1.7384686,1.1634378,0.7850868,0.21429612
Sweden,SWE,2015,3.4769373,0.8723187,0.38781258,0.0
Sweden,SWE,2016,1.6290964,0.75846,0.46765488,0.0
Sweden,SWE,2017,1.9238286,0.8270231,0.1837829,0.0
Sweden,SWE,2018,2.7206004,0.6349949,0.49216735,0.0
Sweden,SWE,2019,2.4900873,0.73476195,0.36075833,0.0
Sweden,SWE,2020,2.2738605,0.8136472,0.16071498,0.1808105
Sweden,SWE,2021,2.2410147,0.8184739,0.16077726,0.20936751
Sweden,SWE,2022,1.906823,0.5810194,0.4566817,0.16067393
Sweden,SWE,2023,1.4260622,0.7391615,0.46197593,0.21547127
