Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Switzerland,CHE,1951,5.7989693,,4.892368,0.95134544
Switzerland,CHE,1952,4.96586,,5.0700145,0.4016602
Switzerland,CHE,1953,7.352941,,4.7944384,0.6650705
Switzerland,CHE,1954,5.5524707,,4.2995343,0.0
Switzerland,CHE,1955,5.2232957,,3.5782442,0.47709924
Switzerland,CHE,1956,5.701537,,5.363528,0.83432657
Switzerland,CHE,1957,6.239501,,4.871673,1.0639713
Switzerland,CHE,1958,5.8990088,,5.679801,0.5306447
Switzerland,CHE,1959,7.0307007,,5.534621,0.994629
Switzerland,CHE,1960,6.338028,,4.4460044,1.0495933
Switzerland,CHE,1961,7.165973,,3.9004245,0.9177469
Switzerland,CHE,1962,7.181329,,4.900869,0.77968365
Switzerland,CHE,1963,5.320328,,5.09872,0.542417
Switzerland,CHE,1964,6.0200667,,3.6986156,0.42269894
Switzerland,CHE,1965,6.103074,,3.6063886,0.8135751
Switzerland,CHE,1966,6.375228,,3.8379962,0.56727934
Switzerland,CHE,1967,5.67022,,3.3908448,1.1967688
Switzerland,CHE,1968,3.5906644,,4.3616176,1.0904044
Switzerland,CHE,1969,7.284768,,3.370341,0.7930214
Switzerland,CHE,1970,5.856833,,2.8772695,0.43883708
Switzerland,CHE,1971,5.117271,,3.9777248,0.6591958
Switzerland,CHE,1972,4.2043304,,5.3202167,0.22121446
Switzerland,CHE,1973,6.184292,,3.7863283,1.011236
Switzerland,CHE,1974,4.4319096,,3.4674792,0.5521811
Switzerland,CHE,1975,4.7524753,,2.980093,0.47681487
Switzerland,CHE,1976,4.7142015,,1.4981273,0.6242197
Switzerland,CHE,1977,4.5195518,,2.3894863,0.56657225
Switzerland,CHE,1978,4.9554014,,1.9831433,0.49578583
Switzerland,CHE,1979,4.0346985,,2.0465593,0.9451796
Switzerland,CHE,1980,5.1631556,,2.7480474,0.49115914
Switzerland,CHE,1981,4.4510384,,1.3290018,0.5906674
Switzerland,CHE,1982,2.839668,,1.0486891,0.7896815
Switzerland,CHE,1983,2.2629554,,2.1170423,0.9073038
Switzerland,CHE,1984,4.931893,,2.7368102,0.34083164
Switzerland,CHE,1985,6.091618,,1.8267621,0.45669052
Switzerland,CHE,1986,4.2994437,,1.3652912,0.27419797
Switzerland,CHE,1987,2.604845,,1.216545,0.30120483
Switzerland,CHE,1988,4.5116773,,1.0692328,0.3356831
Switzerland,CHE,1989,3.2145727,,1.472754,0.26504108
Switzerland,CHE,1990,4.265529,,1.0139049,0.26198584
Switzerland,CHE,1991,2.3591087,,2.5326073,0.31496063
Switzerland,CHE,1992,5.7098365,,1.6641243,0.60808754
Switzerland,CHE,1993,2.0361414,,1.4607426,0.4131378
Switzerland,CHE,1994,3.2581453,,1.803535,0.5339028
Switzerland,CHE,1995,4.4598613,0.5284016,0.95374346,0.0
Switzerland,CHE,1996,1.7215937,0.7890584,1.1835876,0.0
Switzerland,CHE,1997,1.9593437,0.7893698,1.0524931,0.0
Switzerland,CHE,1998,3.6425006,0.52808416,0.6601052,0.0
Switzerland,CHE,1999,1.1965587,0.60173035,0.7968487,0.23335752
Switzerland,CHE,2000,3.5370436,0.97031564,1.1764125,0.2352825
Switzerland,CHE,2001,2.5520146,0.81138426,0.67615354,0.0
Switzerland,CHE,2002,2.5043542,1.0222597,1.0004869,0.0
Switzerland,CHE,2003,1.8217467,1.9267576,1.284505,0.2446178
Switzerland,CHE,2004,2.966438,1.573742,1.2876071,0.0
Switzerland,CHE,2005,2.0687752,1.5700169,0.6541737,0.25050226
Switzerland,CHE,2006,1.3942529,1.3199211,0.7300933,0.254996
Switzerland,CHE,2007,2.8206623,0.7348068,0.8817681,0.0
Switzerland,CHE,2008,1.8968898,0.5214879,0.78223187,0.0
Switzerland,CHE,2009,1.9084561,1.4452747,0.43855226,0.29236817
Switzerland,CHE,2010,1.9267312,0.87067944,0.2902265,0.0
Switzerland,CHE,2011,2.4159725,0.85641855,1.1418915,0.2601061
Switzerland,CHE,2012,1.7140416,1.1264259,0.70401615,0.3103195
Switzerland,CHE,2013,1.7304931,0.83169764,0.49879602,0.0
Switzerland,CHE,2014,1.7608469,1.3698686,0.5997343,0.0
Switzerland,CHE,2015,1.7446961,2.2297628,0.4024917,0.0
Switzerland,CHE,2016,1.4908203,0.26391038,0.47978085,0.23989043
Switzerland,CHE,2017,1.475561,1.0521381,0.3898904,0.0
Switzerland,CHE,2018,1.9408243,1.388553,0.57856375,0.0
Switzerland,CHE,2019,0.9552946,1.2734278,0.46207944,0.23103973
Switzerland,CHE,2020,1.7087007,1.1323917,0.56500685,0.27650127
Switzerland,CHE,2021,1.2019635,1.1211517,0.27525613,1.1092131
Switzerland,CHE,2022,0.94748336,1.3710951,0.5484381,0.0
Switzerland,CHE,2023,1.8695083,1.4375458,0.24539877,0.0
