Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Syria,SYR,1998,1.3895457,0.57659256,0.15041544,0.6240763
Syria,SYR,1999,2.2744956,0.6152428,0.988783,0.26367548
Syria,SYR,2000,1.6469116,0.34740436,1.7587346,0.21712771
Syria,SYR,2001,2.626043,0.44698218,1.5963649,0.0
Syria,SYR,2002,1.6403707,0.50441426,1.2820529,0.07935995
Syria,SYR,2003,1.7320232,0.6859145,0.83141154,0.0
Syria,SYR,2004,0.0,0.0,0.0,0.0
Syria,SYR,2005,1.6423994,0.53684175,0.59815717,0.25847936
Syria,SYR,2006,1.2893456,0.7582244,0.5054829,0.10868994
Syria,SYR,2007,2.1512177,0.18994026,0.4642984,0.16883579
Syria,SYR,2008,1.9596103,0.56252193,0.8710017,0.24568078
Syria,SYR,2009,1.7588552,0.5171103,0.76674974,0.091966
Syria,SYR,2010,2.2083757,0.50520676,0.7578102,0.2165172
