Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Tajikistan,TJK,1981,3.5266457,,2.3718002,0.40893105
Tajikistan,TJK,1982,3.4390523,,2.637468,0.54605025
Tajikistan,TJK,1985,3.4105186,,2.8232229,0.43434197
Tajikistan,TJK,1986,3.180774,,2.4297118,0.31938678
Tajikistan,TJK,1987,3.4910107,,2.990232,0.3052736
Tajikistan,TJK,1988,4.473503,,2.3596938,0.89285713
Tajikistan,TJK,1989,4.0410843,,1.9086319,0.76933837
Tajikistan,TJK,1990,3.661175,,2.4232144,0.89230555
Tajikistan,TJK,1991,4.0816326,,1.9414048,0.9412872
Tajikistan,TJK,1992,4.606099,,1.0128862,0.22508581
Tajikistan,TJK,1993,3.8729668,,1.6261986,0.31363693
Tajikistan,TJK,1994,3.6780932,,1.538039,0.36583135
Tajikistan,TJK,1995,0.7090187,,0.8496692,0.13255566
Tajikistan,TJK,1996,2.4174378,,1.0628817,0.24868925
Tajikistan,TJK,1997,1.6634676,,0.8749825,0.22751419
Tajikistan,TJK,1998,1.9668198,,1.0702722,0.0
Tajikistan,TJK,1999,2.6189666,,1.5138106,0.5677921
Tajikistan,TJK,2000,2.0842645,,0.97136754,0.14335725
Tajikistan,TJK,2001,2.5122645,,0.7512388,0.3833486
Tajikistan,TJK,2002,3.3064373,,0.5818741,1.4844235
Tajikistan,TJK,2003,3.4346006,,0.19453739,0.81673276
Tajikistan,TJK,2004,3.209033,,0.45576358,0.64340466
Tajikistan,TJK,2005,2.3880272,,0.70493734,1.057406
Tajikistan,TJK,2016,2.0337238,0.39046142,0.0,0.0
Tajikistan,TJK,2017,2.2782812,0.19296926,0.5789078,0.5789078
Tajikistan,TJK,2018,2.3487778,0.1630261,0.55037916,0.40756524
Tajikistan,TJK,2019,2.7844474,0.55519336,1.0227627,0.43622336
Tajikistan,TJK,2020,3.0703793,0.15518263,0.8147088,0.3034491
Tajikistan,TJK,2021,1.9550838,0.340212,0.61098623,0.15847358
Tajikistan,TJK,2022,1.4918749,0.29363132,0.60462004,0.07715752
