Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Thailand,THA,1969,0.81062824,,0.051909223,0.027943367
Thailand,THA,1970,0.865079,,0.12801349,0.0
Thailand,THA,1971,0.83350855,,0.05003657,0.01961691
Thailand,THA,1972,1.0515711,,0.081907585,0.042556457
Thailand,THA,1973,1.3752203,,0.25038263,0.01691003
Thailand,THA,1974,1.6211131,,0.22368525,0.07912131
Thailand,THA,1975,1.1970929,,0.6102772,0.11888516
Thailand,THA,1976,1.266847,,0.2053682,0.03500235
Thailand,THA,1977,1.5596039,,0.23669806,0.05522955
Thailand,THA,1978,2.1750164,,0.2844942,0.11063663
Thailand,THA,1979,2.1007197,0.3413577,0.41280466,0.026359767
Thailand,THA,1980,2.2186468,0.24864136,0.57720315,0.05328029
Thailand,THA,1981,2.1779585,0.25800902,0.51601803,0.08921308
Thailand,THA,1982,2.4974635,0.2688653,0.4969934,0.11406406
Thailand,THA,1983,2.3797116,0.28860793,0.5442321,0.19790258
Thailand,THA,1984,2.1885333,0.36008018,0.35916987,0.06462978
Thailand,THA,1985,2.3019073,0.33852065,0.7616715,0.0280598
Thailand,THA,1986,2.188308,0.20828572,0.59980243,0.018935068
Thailand,THA,1987,2.0902438,0.3384291,0.58140385,0.057519924
Thailand,THA,1990,2.2160056,0.05273716,0.7788771,0.080098756
Thailand,THA,1991,1.9225549,0.0,0.8330741,0.03562603
Thailand,THA,1992,1.8968352,0.0,0.80548704,0.0
Thailand,THA,1994,2.298444,0.0,1.0492407,0.0
Thailand,THA,1995,1.9247929,0.17229371,0.71789044,0.0
Thailand,THA,1996,2.5572526,0.541761,0.9480817,0.07497736
Thailand,THA,1997,1.6632664,0.20538542,0.86133665,0.01918289
Thailand,THA,1998,2.146211,0.60471547,0.94176996,0.12626247
Thailand,THA,1999,2.748784,0.63324666,1.3469056,0.04428331
Thailand,THA,2000,3.0186026,0.85341585,1.7660148,0.1010624
Thailand,THA,2002,4.0440497,1.0748148,1.6552147,0.046609327
Thailand,THA,2003,3.523082,1.1563536,1.6102494,0.05631813
Thailand,THA,2004,3.5535634,0.84935975,1.6545969,0.0
Thailand,THA,2005,3.7111237,0.97912484,1.7219092,0.0
Thailand,THA,2006,3.6872184,0.9266725,1.5902158,0.0
Thailand,THA,2007,3.9361403,1.1202806,1.650306,0.06201835
Thailand,THA,2008,3.6049833,0.8931018,1.7617351,0.0
Thailand,THA,2009,3.5303116,0.90387857,1.461064,0.02437488
Thailand,THA,2010,3.5487087,0.9880957,1.6509954,0.03138693
Thailand,THA,2011,3.030116,0.9779755,1.2538147,0.0
Thailand,THA,2012,3.383541,1.0345676,1.2869011,0.03201172
Thailand,THA,2013,3.814384,0.75996274,1.5199255,0.10473084
Thailand,THA,2014,3.560735,0.91901404,1.7359154,0.0
Thailand,THA,2015,3.8112783,0.906863,1.4768912,0.056907132
Thailand,THA,2016,3.0306218,0.71250314,1.6625073,0.105556026
Thailand,THA,2017,3.2785606,0.37597933,1.6784792,0.14770617
Thailand,THA,2018,3.2771163,0.5341205,1.4927983,0.14999154
Thailand,THA,2019,3.5697684,0.6725882,1.5413481,0.09183145
Thailand,THA,2021,2.8453586,0.5884154,1.4400692,0.06717832
Thailand,THA,2023,3.990612,0.6308447,1.310216,0.10535752
