Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Trinidad and Tobago,TTO,1951,1.4970059,,1.1655011,2.3310022
Trinidad and Tobago,TTO,1952,4.285714,,2.03666,1.1198208
Trinidad and Tobago,TTO,1953,5.442177,,4.2689433,2.586207
Trinidad and Tobago,TTO,1954,1.3020834,,4.0899796,0.0
Trinidad and Tobago,TTO,1955,3.6585367,,1.0695187,1.0695187
Trinidad and Tobago,TTO,1956,4.6948357,,1.5174507,0.0
Trinidad and Tobago,TTO,1957,4.484305,,2.8887818,0.0
Trinidad and Tobago,TTO,1958,5.370569,,1.843318,0.921659
Trinidad and Tobago,TTO,1960,3.8948393,,1.3215859,1.6750419
Trinidad and Tobago,TTO,1961,2.8818443,,2.6099925,0.89365506
Trinidad and Tobago,TTO,1962,7.5400567,,0.7800312,1.2205045
Trinidad and Tobago,TTO,1963,4.612546,,3.9354584,0.82236844
Trinidad and Tobago,TTO,1966,4.850445,,1.8615041,0.0
Trinidad and Tobago,TTO,1967,1.5698587,,2.3279016,0.0
Trinidad and Tobago,TTO,1968,4.90918,,4.4046717,0.0
Trinidad and Tobago,TTO,1970,3.1327338,,4.494125,0.81711364
Trinidad and Tobago,TTO,1971,4.574112,,2.5467,1.6978
Trinidad and Tobago,TTO,1972,0.74250627,,2.7960408,0.0
Trinidad and Tobago,TTO,1973,2.896389,,2.0267532,0.75927263
Trinidad and Tobago,TTO,1974,1.422971,,2.3076994,1.3846196
Trinidad and Tobago,TTO,1975,3.5519435,,2.5008545,1.06897
Trinidad and Tobago,TTO,1976,0.7273521,,1.8766919,0.87339294
Trinidad and Tobago,TTO,1977,4.5305586,,2.472086,2.6479077
Trinidad and Tobago,TTO,1978,3.167238,,2.8678887,0.87263083
Trinidad and Tobago,TTO,1979,1.6589388,,2.0230465,3.6560397
Trinidad and Tobago,TTO,1980,1.4992504,,2.4875622,1.1655011
Trinidad and Tobago,TTO,1981,3.671072,,2.4342747,0.0
Trinidad and Tobago,TTO,1982,2.183406,,2.4916945,0.8305648
Trinidad and Tobago,TTO,1983,3.5460992,,0.9478673,1.421801
Trinidad and Tobago,TTO,1984,2.514669,,1.8925056,0.0
Trinidad and Tobago,TTO,1985,5.882353,,2.5179856,0.8116883
Trinidad and Tobago,TTO,1986,4.87013,,2.3023791,0.0
Trinidad and Tobago,TTO,1987,2.3980815,,1.4430014,1.5117158
Trinidad and Tobago,TTO,1988,4.716981,,1.1895322,0.0
Trinidad and Tobago,TTO,1989,4.9180326,,2.3489933,2.4916945
Trinidad and Tobago,TTO,1990,5.5555553,,2.0100503,1.3333334
Trinidad and Tobago,TTO,1991,2.3076923,,3.2362459,1.3289037
Trinidad and Tobago,TTO,1992,4.3041606,,3.2746623,0.67980963
Trinidad and Tobago,TTO,1993,4.8577375,,2.2927015,0.0
Trinidad and Tobago,TTO,1994,2.7100272,,3.9635355,2.1905806
Trinidad and Tobago,TTO,1995,4.035838,,3.7929711,0.0
Trinidad and Tobago,TTO,1996,4.7363544,,2.4006836,0.0
Trinidad and Tobago,TTO,1997,4.1441903,,3.2057006,1.6672224
Trinidad and Tobago,TTO,1998,2.1397393,,4.1951146,0.87266886
Trinidad and Tobago,TTO,1999,2.9614494,0.0,4.087973,0.0
Trinidad and Tobago,TTO,2000,5.3806005,0.0,1.1351576,1.396297
Trinidad and Tobago,TTO,2001,2.4115756,0.0,1.7576854,0.0
Trinidad and Tobago,TTO,2002,2.524615,2.8344269,1.8030796,0.0
Trinidad and Tobago,TTO,2003,3.5268393,3.0610247,1.2244098,0.0
Trinidad and Tobago,TTO,2004,3.6953208,1.107432,1.8597846,0.0
Trinidad and Tobago,TTO,2005,4.832272,1.8742503,1.3947002,0.0
Trinidad and Tobago,TTO,2006,5.064984,2.4843023,1.6579531,0.0
Trinidad and Tobago,TTO,2007,1.0556875,1.1499804,5.317452,0.0
Trinidad and Tobago,TTO,2008,4.3720145,1.8320723,1.3156337,0.0
Trinidad and Tobago,TTO,2009,5.612554,2.0733337,3.0170827,0.0
Trinidad and Tobago,TTO,2010,5.705613,1.292808,1.191533,0.0
Trinidad and Tobago,TTO,2011,3.4502192,1.0895976,4.1229825,1.7958319
Trinidad and Tobago,TTO,2012,4.592897,1.1662011,2.147305,1.0736526
Trinidad and Tobago,TTO,2013,4.5523868,1.0586044,3.8222404,1.0586044
Trinidad and Tobago,TTO,2014,4.495443,0.0,3.6274693,0.0
Trinidad and Tobago,TTO,2015,2.2173686,1.7192273,0.0,0.0
Trinidad and Tobago,TTO,2016,2.1857445,1.3011346,2.869424,2.6022692
Trinidad and Tobago,TTO,2017,3.2306697,1.1529105,0.0,0.0
Trinidad and Tobago,TTO,2018,4.246059,2.1097603,2.050525,0.0
Trinidad and Tobago,TTO,2019,2.0962384,1.0315872,2.0631745,1.0315872
Trinidad and Tobago,TTO,2020,0.0,1.0407451,1.0407451,0.0
