Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Turkey,TUR,2009,3.1754441,0.8754382,1.2969455,0.2593891
Turkey,TUR,2010,3.213194,0.91621095,1.3053979,0.29190534
Turkey,TUR,2011,2.5054388,0.894534,1.4556508,0.32745916
Turkey,TUR,2012,2.762966,0.95771873,1.249904,0.24503578
Turkey,TUR,2013,3.4220703,1.1312844,1.4221861,0.22625688
Turkey,TUR,2014,3.0575624,0.8928637,1.2755196,0.33482388
Turkey,TUR,2015,3.6073015,1.0185791,1.1370186,0.22835614
Turkey,TUR,2016,3.253083,1.207087,1.1365429,0.22730859
Turkey,TUR,2017,3.5170424,1.0538903,1.272475,0.28884402
Turkey,TUR,2018,2.6451457,0.94286215,0.8727319,0.23265465
Turkey,TUR,2019,2.8399744,0.8654942,0.93566936,0.13255316
Turkey,TUR,2020,3.134232,0.8328593,0.9192881,0.15714327
Turkey,TUR,2021,2.8309026,0.8337927,1.0402557,0.21440384
Turkey,TUR,2022,2.563193,0.7891607,0.90189797,0.21075413
Turkey,TUR,2023,2.6960673,0.7681749,0.97467345,0.18859924
