Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Turkmenistan,TKM,1981,5.5555553,,2.5472584,1.0725298
Turkmenistan,TKM,1982,4.36324,,4.895105,0.39690414
Turkmenistan,TKM,1985,6.737497,,4.1268463,0.74174803
Turkmenistan,TKM,1986,4.0774717,,4.5325184,0.7526342
Turkmenistan,TKM,1987,4.2627883,,2.8653295,0.5833625
Turkmenistan,TKM,1988,4.455446,,3.3800576,1.1929616
Turkmenistan,TKM,1989,4.6150107,,2.2267404,1.0649627
Turkmenistan,TKM,1990,6.425512,,2.0760593,0.5324814
Turkmenistan,TKM,1991,4.442366,,2.944424,1.0363768
Turkmenistan,TKM,1992,4.1360292,,2.154979,0.20189784
Turkmenistan,TKM,1993,4.606273,,2.154205,1.1668612
Turkmenistan,TKM,1994,4.9398627,,2.458081,0.7900975
Turkmenistan,TKM,1995,4.9656224,,1.9411445,0.3882289
Turkmenistan,TKM,1996,4.2318306,,1.7214667,0.5432252
Turkmenistan,TKM,1997,4.2500443,,1.4850712,0.70345473
Turkmenistan,TKM,1998,3.9182284,,1.3496348,0.8732931
Turkmenistan,TKM,1999,2.5218363,,2.0937815,
Turkmenistan,TKM,2000,5.469668,0.34397477,3.1743484,0.17198738
Turkmenistan,TKM,2001,3.6424754,0.5253845,2.2066147,0.2627879
Turkmenistan,TKM,2002,4.645505,1.8563265,1.8659153,0.32475474
Turkmenistan,TKM,2003,4.6403074,0.6972181,0.99908084,0.26677766
Turkmenistan,TKM,2004,3.8020186,0.34069848,1.5899262,0.0
Turkmenistan,TKM,2005,5.78792,0.8366591,1.1564999,0.20916475
Turkmenistan,TKM,2006,4.702971,0.4589493,1.4185705,0.21531028
Turkmenistan,TKM,2007,5.079131,1.3938107,1.516291,0.0
Turkmenistan,TKM,2008,3.3466806,0.5193789,1.4441024,0.21300615
Turkmenistan,TKM,2009,4.3170347,1.8885685,1.1113248,0.4445299
Turkmenistan,TKM,2010,4.0254664,1.5539759,3.0108283,0.5596754
Turkmenistan,TKM,2011,4.0755477,0.6663779,1.80874,0.53540814
Turkmenistan,TKM,2012,5.138196,0.36824104,1.6708629,0.69228584
Turkmenistan,TKM,2013,3.80241,0.9104612,1.5174353,0.6069741
Turkmenistan,TKM,2014,3.7381392,0.7844099,1.5360328,0.397559
Turkmenistan,TKM,2015,4.711879,0.49744025,1.5752275,0.47630343
