Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Ukraine,UKR,1981,6.175868,,3.814166,1.0740252
Ukraine,UKR,1982,6.577442,,4.198095,1.2938391
Ukraine,UKR,1985,6.930064,,3.7281175,1.0941215
Ukraine,UKR,1986,6.557827,,3.6957896,1.1423349
Ukraine,UKR,1987,6.820682,,3.7473233,1.2580299
Ukraine,UKR,1988,6.466232,,3.6602635,1.4427316
Ukraine,UKR,1989,6.9076037,,3.502627,1.2031925
Ukraine,UKR,1990,6.3158474,,3.4270508,1.357381
Ukraine,UKR,1991,6.373293,,3.5234172,1.2738508
Ukraine,UKR,1992,5.7368727,,3.0122545,1.054289
Ukraine,UKR,1993,6.142407,,2.801199,0.85436565
Ukraine,UKR,1994,5.0784245,,2.8369412,1.0911313
Ukraine,UKR,1995,5.7367387,,2.4028592,0.76039845
Ukraine,UKR,1996,5.4701476,,2.3987334,0.8475525
Ukraine,UKR,1997,5.29849,,2.3660238,0.7605077
Ukraine,UKR,1998,4.948058,,2.293989,0.82440233
Ukraine,UKR,1999,4.8367915,,2.1914363,0.571679
Ukraine,UKR,2000,5.1680994,,1.938963,0.5857284
Ukraine,UKR,2001,4.354624,,2.2208443,0.55521107
Ukraine,UKR,2002,4.6754823,,2.2483082,0.6358851
Ukraine,UKR,2003,3.8347871,,1.8230088,0.7011572
Ukraine,UKR,2004,5.1962256,,2.1803682,0.42564818
Ukraine,UKR,2005,4.3260407,1.3891109,2.0958517,0.2717316
Ukraine,UKR,2006,3.7454085,1.769466,1.8677697,0.3932147
Ukraine,UKR,2007,3.482131,1.6650289,1.7629719,0.27613088
Ukraine,UKR,2008,3.5495615,1.4215761,1.7348047,0.21840182
Ukraine,UKR,2009,4.14135,1.6673023,1.5968529,0.18662024
Ukraine,UKR,2010,3.782683,1.3028944,1.7600503,0.16000457
Ukraine,UKR,2011,4.160049,1.4239455,1.5574404,0.25012124
Ukraine,UKR,2012,3.535039,1.2110263,1.5786593,0.23788017
Ukraine,UKR,2014,3.1434884,1.2948526,1.3606926,0.17119402
Ukraine,UKR,2015,2.5534592,1.350195,1.3719724,0.17421873
Ukraine,UKR,2017,2.6305158,1.1509008,1.217299,0.16908245
Ukraine,UKR,2018,2.5714114,1.1575857,0.7944216,0.05947892
Ukraine,UKR,2019,2.2863414,1.1773105,0.9653946,0.18624562
