Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
United Kingdom,GBR,1950,4.76633,,3.606421,0.73137206
United Kingdom,GBR,1951,5.521007,,3.8245888,0.6683747
United Kingdom,GBR,1952,5.2357607,,4.051416,0.60157394
United Kingdom,GBR,1953,5.8295164,,3.822218,0.7472926
United Kingdom,GBR,1954,5.461323,,3.8035877,0.7239086
United Kingdom,GBR,1955,5.1643324,,3.554342,0.7133282
United Kingdom,GBR,1956,5.957034,,3.7844346,0.6266434
United Kingdom,GBR,1957,5.39707,,3.452447,0.7938108
United Kingdom,GBR,1958,5.420834,,3.786002,0.5971211
United Kingdom,GBR,1959,5.9439235,,4.147325,0.5073181
United Kingdom,GBR,1960,5.773157,,4.158344,0.77890426
United Kingdom,GBR,1961,5.7174993,,3.93073,0.580957
United Kingdom,GBR,1962,5.582745,,3.4037828,0.66385835
United Kingdom,GBR,1963,5.5873046,,3.8228736,0.6135476
United Kingdom,GBR,1964,5.4857917,,3.5534225,0.8306702
United Kingdom,GBR,1965,5.740165,,3.652474,0.8454801
United Kingdom,GBR,1966,5.5644927,,3.341965,0.68609875
United Kingdom,GBR,1967,6.160915,,3.0551343,0.6983164
United Kingdom,GBR,1968,5.3766193,,3.4549026,0.7017771
United Kingdom,GBR,1969,5.6749697,,3.014504,0.4406388
United Kingdom,GBR,1970,5.7807717,,3.029359,0.49415076
United Kingdom,GBR,1971,5.483467,,3.0487804,0.5335366
United Kingdom,GBR,1972,4.682382,,3.1545048,0.5495653
United Kingdom,GBR,1973,5.050505,,2.8835192,0.4694101
United Kingdom,GBR,1974,4.6293235,,2.6390977,0.37865314
United Kingdom,GBR,1975,4.823603,,2.8408418,0.3617945
United Kingdom,GBR,1976,4.7502365,,2.248564,0.6129165
United Kingdom,GBR,1977,4.760986,,2.4450188,0.49407116
United Kingdom,GBR,1978,4.8834243,,2.6243978,0.44392797
United Kingdom,GBR,1979,4.895854,1.2581816,2.3022046,0.41493222
United Kingdom,GBR,1980,4.1651816,1.1718696,2.2347283,0.4769237
United Kingdom,GBR,1981,4.2311735,1.0366583,1.9612455,0.3782402
United Kingdom,GBR,1982,4.5661135,0.9701614,1.983124,0.238169
United Kingdom,GBR,1983,3.7891939,1.2092557,1.583549,0.15835491
United Kingdom,GBR,1984,4.373673,0.83478427,1.8710681,0.25907096
United Kingdom,GBR,1985,3.886987,1.3268824,1.2127419,0.14267552
United Kingdom,GBR,1986,4.014045,0.95655185,1.4488947,0.18287021
United Kingdom,GBR,1987,3.7307823,1.1474236,1.0921261,0.24883886
United Kingdom,GBR,1988,3.624569,1.0049839,1.3852481,0.24445555
United Kingdom,GBR,1989,3.1906295,1.0757439,1.4791479,0.16136159
United Kingdom,GBR,1990,3.8486412,1.0154827,1.4029695,0.13361613
United Kingdom,GBR,1991,3.0850787,1.335943,1.3227158,0.2069028
United Kingdom,GBR,1992,3.1882422,0.94460607,1.1545185,0.17555429
United Kingdom,GBR,1993,3.5420225,0.90091926,0.8095217,0.117511205
United Kingdom,GBR,1994,3.395346,0.7661087,1.0387914,0.12984893
United Kingdom,GBR,1995,3.138426,0.7021096,1.0531644,0.19503045
United Kingdom,GBR,1996,2.793397,0.8221191,0.8221191,0.1304951
United Kingdom,GBR,1997,3.2441688,0.7984523,0.9424355,0.117804445
United Kingdom,GBR,1998,2.7671747,0.87125343,1.0296631,0.16032583
United Kingdom,GBR,1999,2.6723962,1.1036998,1.1169974,0.08807536
United Kingdom,GBR,2000,2.576228,0.6869531,0.99675554,0.11871033
United Kingdom,GBR,2001,2.7789807,0.84611076,0.90159345,0.213839
United Kingdom,GBR,2002,3.141874,0.9432803,0.9151226,0.093143694
United Kingdom,GBR,2003,3.1060445,0.923824,0.7674846,0.18879962
United Kingdom,GBR,2004,2.7671115,0.97158027,0.7001093,0.07943596
United Kingdom,GBR,2005,2.5401747,0.84480935,0.5011581,0.095727384
United Kingdom,GBR,2006,3.1188688,0.8874834,0.7013982,0.11191942
United Kingdom,GBR,2007,2.672598,0.94060266,0.6555715,0.07125778
United Kingdom,GBR,2008,1.8858348,0.97253245,0.57081544,0.06342395
United Kingdom,GBR,2009,2.270118,0.72388566,0.58467686,0.14684038
United Kingdom,GBR,2010,2.3549676,0.78030723,0.52020484,0.054758403
United Kingdom,GBR,2011,2.2194698,0.6981706,0.563907,0.12083722
United Kingdom,GBR,2012,2.2089467,0.90344894,0.5237385,0.1346199
United Kingdom,GBR,2013,2.1516762,0.72023714,0.5659006,0.02658616
United Kingdom,GBR,2014,1.9591175,0.90038335,0.48189533,0.18291107
United Kingdom,GBR,2015,2.000422,0.67656136,0.40092525,0.14795354
United Kingdom,GBR,2016,2.0689301,0.6085618,0.4222674,0.041269336
United Kingdom,GBR,2017,1.8481882,0.80503464,0.5697168,0.09724207
United Kingdom,GBR,2018,2.380588,0.7306099,0.46143782,0.0845395
United Kingdom,GBR,2019,1.9980445,0.6744002,0.4870668,0.08236968
United Kingdom,GBR,2020,2.0041037,0.6297971,0.45611414,0.08817159
United Kingdom,GBR,2021,1.4392588,0.72585136,0.4004697,0.10260532
