Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
United States,USA,1950,5.8636785,,4.4920173,0.7458315
United States,USA,1951,5.772422,,4.5307236,0.745398
United States,USA,1952,5.4823275,,4.5444593,0.78816503
United States,USA,1953,5.65948,,4.2089543,0.76498735
United States,USA,1954,5.9468513,,4.383715,0.74879867
United States,USA,1955,5.8190928,,4.2630696,0.893594
United States,USA,1956,6.0424485,,4.4260406,0.8034882
United States,USA,1957,6.0496793,,4.3691425,0.72864187
United States,USA,1958,6.2366705,,4.2987027,0.63802636
United States,USA,1959,6.305303,,4.335019,0.6751473
United States,USA,1960,6.104868,,4.380636,0.63569206
United States,USA,1961,6.27325,,4.254946,0.7488104
United States,USA,1962,6.0985937,,4.1204515,0.64227664
United States,USA,1963,5.87159,,4.291593,0.72751325
United States,USA,1964,6.004556,,3.728252,0.57264
United States,USA,1965,5.887318,,3.6261966,0.61535454
United States,USA,1966,5.9526877,,3.5810912,0.53617984
United States,USA,1967,6.090018,,3.7030573,0.55358833
United States,USA,1968,5.5410013,,3.4558823,0.47160244
United States,USA,1969,5.3562727,,3.3696856,0.46149483
United States,USA,1970,5.208736,,3.2311106,0.5089391
United States,USA,1971,5.0589576,,3.3240163,0.44393292
United States,USA,1972,4.9542685,,2.726382,0.37508747
United States,USA,1973,4.8041,,2.6681602,0.4738928
United States,USA,1974,4.6338754,,2.4828033,0.42806956
United States,USA,1975,4.25264,,2.3904855,0.37963045
United States,USA,1976,4.4454403,,2.2710204,0.33043948
United States,USA,1977,4.4298606,,2.0728834,0.32029974
United States,USA,1978,3.805698,,1.9434522,0.30877277
United States,USA,1979,4.125779,0.87243646,1.8266639,0.34533945
United States,USA,1980,3.9497504,0.9197071,1.7274762,0.26018032
United States,USA,1981,3.7110124,0.8699342,1.7156194,0.26977053
United States,USA,1982,3.728362,1.0021603,1.6172588,0.29704753
United States,USA,1983,3.5904474,0.8461995,1.6092637,0.24643706
United States,USA,1984,3.5122788,0.836174,1.2819393,0.1631559
United States,USA,1985,3.3682241,0.8209191,1.3289704,0.18944287
United States,USA,1986,3.2781937,0.85267377,1.2846575,0.23999096
United States,USA,1987,3.0391264,0.7935845,1.3393478,0.17542395
United States,USA,1988,3.0673,0.7537757,1.1950772,0.18912919
United States,USA,1989,3.1270282,0.86295515,1.1253585,0.17583726
United States,USA,1990,3.0772839,0.8561574,1.0355427,0.14004621
United States,USA,1991,2.9766283,0.8649688,1.1159165,0.13882215
United States,USA,1992,3.0268216,0.77128696,1.1146681,0.10565575
United States,USA,1993,2.7374332,0.88435376,1.0282575,0.14390372
United States,USA,1994,2.7196083,0.8085876,0.9537187,0.11143996
United States,USA,1995,2.6593354,0.7394792,0.96106523,0.11594621
United States,USA,1996,2.6605413,0.82887477,0.8908467,0.08262926
United States,USA,1997,2.5368047,0.7714462,0.8768772,0.10800247
United States,USA,1998,2.733632,0.6891781,0.7123222,0.10800552
United States,USA,1999,2.5730896,0.7894286,0.7097143,0.08485714
United States,USA,2000,2.5574734,0.7300133,0.79798007,0.09062234
United States,USA,2001,2.4663048,0.72307324,0.8419,0.040451653
United States,USA,2002,2.5311725,0.8301699,0.6909646,0.10124023
United States,USA,2003,2.6423368,0.75105155,0.80668503,0.05816224
United States,USA,2004,2.3315032,0.77375114,0.75358826,0.06804978
United States,USA,2005,2.4691072,0.72786564,0.67013836,0.08784586
United States,USA,2006,2.1718688,0.73017216,0.6454423,0.049841102
United States,USA,2007,2.3574164,0.7223788,0.64916474,0.061011717
United States,USA,2008,2.0575984,0.73704004,0.60611844,0.06061184
United States,USA,2009,2.0033274,0.6972799,0.63213605,0.056501362
United States,USA,2010,2.28807,0.6763883,0.5969548,0.050548594
United States,USA,2011,2.0168762,0.776987,0.5171895,0.053385507
United States,USA,2012,2.2701983,0.74043137,0.60778075,0.055472057
United States,USA,2013,2.161369,0.74586064,0.51096296,0.03148113
United States,USA,2014,2.0040965,0.6980095,0.4839857,0.063234314
United States,USA,2015,2.0629365,0.7206081,0.5569446,0.051297523
United States,USA,2016,2.069851,0.7467216,0.598856,0.04617941
United States,USA,2017,2.0814564,0.70699805,0.51102316,0.034729727
United States,USA,2018,2.137273,0.66342574,0.4663933,0.042399395
United States,USA,2019,1.9103947,0.60162693,0.45874053,0.047274925
United States,USA,2020,1.9488384,0.68476796,0.4481202,0.027987164
United States,USA,2021,2.135241,0.6094335,0.38026634,0.042054962
United States,USA,2022,2.1186168,0.5938327,0.45795572,0.027678642
