Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Uruguay,URY,1955,5.365854,,4.5751634,0.5319149
Uruguay,URY,1956,5.2884617,,3.0237582,0.9592326
Uruguay,URY,1957,7.582938,,2.8235295,1.059322
Uruguay,URY,1958,4.2056074,,5.4393306,0.9300163
Uruguay,URY,1959,8.29493,,4.333471,0.91722083
Uruguay,URY,1960,7.7272725,,4.4770045,1.5829941
Uruguay,URY,1963,6.102877,,3.6892362,0.4340278
Uruguay,URY,1964,6.0240965,,3.8557932,1.4995716
Uruguay,URY,1965,5.952381,,3.6176693,1.481168
Uruguay,URY,1966,9.235936,,5.6422796,0.83594567
Uruguay,URY,1967,6.6362505,,2.9728725,0.61945075
Uruguay,URY,1968,6.1450224,,3.3021464,1.1007155
Uruguay,URY,1969,4.8582997,,4.350979,1.0660981
Uruguay,URY,1970,7.2,,3.582945,0.8957363
Uruguay,URY,1971,6.716713,,4.424779,0.53097343
Uruguay,URY,1972,6.245121,,3.1490552,2.1340163
Uruguay,URY,1973,6.7114096,,2.8109627,0.78125
Uruguay,URY,1974,3.6290324,,2.9598308,0.845666
Uruguay,URY,1975,5.45809,,1.7853158,0.9968102
Uruguay,URY,1976,6.194348,,4.354711,0.6647463
Uruguay,URY,1977,3.8491147,,4.133858,0.8812514
Uruguay,URY,1978,3.4429991,,3.9413183,0.4793864
Uruguay,URY,1980,6.5252852,,2.9547553,1.2543117
Uruguay,URY,1981,5.645161,,2.9166667,1.1111112
Uruguay,URY,1982,4.0048056,,3.3198082,1.1066028
Uruguay,URY,1983,4.3772383,,3.085785,1.1045655
Uruguay,URY,1984,5.7230067,,2.4772916,1.4450867
Uruguay,URY,1985,6.436956,,3.4836066,0.8196721
Uruguay,URY,1986,5.263158,,1.8229694,0.90212
Uruguay,URY,1987,5.5949273,,2.8917406,1.3428828
Uruguay,URY,1988,4.442799,,1.7940438,1.435235
Uruguay,URY,1989,3.6751194,,2.178218,0.5940594
Uruguay,URY,1990,3.5842295,,2.559181,0.3846154
Uruguay,URY,1993,3.770668,,3.30735,0.38415146
Uruguay,URY,1994,2.3050148,,1.2285893,0.40952975
Uruguay,URY,1995,3.496123,,2.36789,1.0150079
Uruguay,URY,1996,3.895082,,1.6119282,0.0
Uruguay,URY,1997,6.199748,0.90407413,2.5314076,0.36488226
Uruguay,URY,1998,3.8349733,0.0,1.4463277,0.40018007
Uruguay,URY,1999,3.7929647,0.45193043,1.4018449,0.0
Uruguay,URY,2000,2.2559698,0.8046509,1.4580528,0.60348815
Uruguay,URY,2001,2.2396667,0.81342643,1.016783,0.81342643
Uruguay,URY,2002,3.3403728,0.7449261,1.5304748,0.36272362
Uruguay,URY,2003,2.5874944,0.7358189,1.3197587,0.0
Uruguay,URY,2004,1.4753996,1.058004,0.6348024,0.748293
Uruguay,URY,2005,4.0597596,1.287924,0.37991324,0.0
Uruguay,URY,2006,2.966534,0.7703122,1.4941727,0.0
Uruguay,URY,2007,2.9885762,0.6596161,0.6596161,0.5046529
Uruguay,URY,2008,3.772318,0.6676652,1.2079507,0.39336938
Uruguay,URY,2009,3.050594,0.90012443,2.2503111,0.39691046
Uruguay,URY,2010,3.8533864,0.8224919,1.2030317,0.40101054
Uruguay,URY,2012,2.3558514,1.392984,1.7056115,0.0
Uruguay,URY,2013,3.1701121,1.6659864,0.70147216,0.53312296
Uruguay,URY,2014,4.8022857,1.1760694,0.84392816,0.5314682
Uruguay,URY,2015,2.8329644,0.70895505,2.1028726,0.53025365
Uruguay,URY,2016,0.40981928,0.0,1.26833,0.0
Uruguay,URY,2017,2.4910116,0.63402694,2.0571053,1.0437379
Uruguay,URY,2018,5.04734,0.8360575,0.9408488,0.0
Uruguay,URY,2019,2.9778364,0.84542644,0.46956953,0.0
Uruguay,URY,2020,2.5716527,2.1103427,0.9379301,0.0
Uruguay,URY,2021,2.1492064,0.8473445,0.42183414,1.0590584
Uruguay,URY,2022,5.15278,1.1764235,0.9411388,0.0
