Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Uzbekistan,UZB,1981,4.6591716,,2.381259,0.53631955
Uzbekistan,UZB,1982,4.2796717,,2.455971,0.4618065
Uzbekistan,UZB,1985,5.0171146,,2.6534379,0.8460237
Uzbekistan,UZB,1986,6.0246506,,2.8972588,1.0028973
Uzbekistan,UZB,1987,6.1616526,,2.7990599,0.8791919
Uzbekistan,UZB,1988,5.4999104,,2.228684,0.59199417
Uzbekistan,UZB,1989,4.599413,,2.3627,0.8037508
Uzbekistan,UZB,1990,4.8013034,,1.9267503,0.48512894
Uzbekistan,UZB,1991,5.4359365,,2.4949937,0.6401628
Uzbekistan,UZB,1992,4.1523886,,2.5467157,0.82807326
Uzbekistan,UZB,1993,4.5499506,,2.1876407,0.7602439
Uzbekistan,UZB,1994,4.464118,,2.2280612,0.7990289
Uzbekistan,UZB,1995,4.444763,,2.085026,0.7665537
Uzbekistan,UZB,1996,3.6112475,,1.4605273,0.42677408
Uzbekistan,UZB,1997,4.0706477,,1.7662643,0.57326126
Uzbekistan,UZB,1998,4.359283,,2.025881,0.6039168
Uzbekistan,UZB,1999,4.5272093,,1.9805696,0.6818386
Uzbekistan,UZB,2000,4.132577,,1.8738556,0.3910655
Uzbekistan,UZB,2001,3.5591388,,1.5910512,0.50243723
Uzbekistan,UZB,2002,4.3621864,,1.4655974,0.71918195
Uzbekistan,UZB,2003,3.8799865,,1.7545066,0.51394635
Uzbekistan,UZB,2004,4.24475,0.58060294,1.5603703,0.5206627
Uzbekistan,UZB,2005,4.311283,0.8340464,1.9461083,0.4262904
Uzbekistan,UZB,2009,3.9251745,0.6632016,1.2711363,0.6079348
Uzbekistan,UZB,2010,4.584652,0.8615189,1.5973996,0.6640875
Uzbekistan,UZB,2011,4.02727,0.6829497,1.2258072,0.36774215
Uzbekistan,UZB,2012,3.6390529,0.7923353,1.4296485,0.75788593
Uzbekistan,UZB,2013,3.1724844,0.65737927,1.4158939,0.4341663
Uzbekistan,UZB,2014,3.8202426,0.8686531,1.0981086,0.4425214
Uzbekistan,UZB,2015,3.7749684,1.0343015,1.5275838,0.33415896
Uzbekistan,UZB,2016,4.2356567,0.9128009,1.3769369,0.35583764
Uzbekistan,UZB,2017,4.285001,1.0311853,1.8803967,0.5004282
Uzbekistan,UZB,2018,5.120134,0.9852731,1.2838408,0.36744025
Uzbekistan,UZB,2019,3.7858229,1.0249624,1.5520859,0.38070032
Uzbekistan,UZB,2020,3.276103,0.9855497,1.214083,0.32300034
Uzbekistan,UZB,2021,3.2734191,0.9265617,1.0371959,0.24892703
Uzbekistan,UZB,2022,4.1957808,0.6393717,0.83917534,0.26640487
Uzbekistan,UZB,2023,4.287157,1.0652696,1.2064499,0.48771378
