Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Venezuela,VEN,1955,2.8926816,,2.644503,0.32381672
Venezuela,VEN,1956,3.6206656,,2.181025,0.9434518
Venezuela,VEN,1957,2.4164317,,2.3517637,0.96590906
Venezuela,VEN,1958,3.7864907,,2.040462,0.47755492
Venezuela,VEN,1959,3.8850954,,2.594685,0.5021971
Venezuela,VEN,1960,5.0974174,,2.8586383,0.7787805
Venezuela,VEN,1961,2.5158608,,2.7215116,0.34990865
Venezuela,VEN,1962,5.0526314,,2.5440533,0.8604886
Venezuela,VEN,1963,5.3752537,,3.3166301,0.61285555
Venezuela,VEN,1964,4.6975923,,2.330597,0.7304856
Venezuela,VEN,1965,6.081916,,3.2061226,0.51711655
Venezuela,VEN,1966,5.146586,,2.4340637,0.9336134
Venezuela,VEN,1967,4.07332,,2.6740491,0.8591988
Venezuela,VEN,1968,5.3777432,,3.2353485,0.83194673
Venezuela,VEN,1969,3.9446077,,2.684884,1.0739536
Venezuela,VEN,1970,5.0312424,,2.3652253,1.1158516
Venezuela,VEN,1971,4.025262,,2.474067,0.9836652
Venezuela,VEN,1972,4.241282,,2.6312745,0.9831136
Venezuela,VEN,1973,5.0927134,,2.916433,0.7851935
Venezuela,VEN,1974,5.008669,,2.6934516,0.7623646
Venezuela,VEN,1975,4.7840867,,2.6906815,0.9884136
Venezuela,VEN,1976,4.6387925,,3.0329056,0.88571584
Venezuela,VEN,1977,4.4591045,,2.6959822,0.94228506
Venezuela,VEN,1978,5.514052,,2.9724855,0.6859582
Venezuela,VEN,1979,4.2205963,,2.3389132,0.94015133
Venezuela,VEN,1980,4.16222,,2.3970213,0.5231494
Venezuela,VEN,1981,5.464771,,2.1754894,0.9517766
Venezuela,VEN,1982,4.196831,,2.0772562,0.70715106
Venezuela,VEN,1983,5.00671,,2.3934793,0.711575
Venezuela,VEN,1985,4.5834994,,2.4832382,0.60179615
Venezuela,VEN,1986,4.3646946,,2.4574478,0.58414745
Venezuela,VEN,1987,4.816319,,2.255521,0.5491704
Venezuela,VEN,1988,4.345816,,2.3730912,0.72224516
Venezuela,VEN,1989,4.012624,,2.7652602,0.6892907
Venezuela,VEN,1990,6.4726343,,2.514361,0.42550722
Venezuela,VEN,1992,5.12625,,1.980833,0.77346814
Venezuela,VEN,1993,5.135056,,2.1840174,0.48533723
Venezuela,VEN,1994,5.102461,,2.423368,0.5977286
Venezuela,VEN,1996,4.308082,0.5892498,2.7457035,0.60405475
Venezuela,VEN,1997,3.9900515,0.4922368,2.7164178,0.4922368
Venezuela,VEN,1998,4.18205,0.4847262,2.0163016,0.40393847
Venezuela,VEN,1999,3.771332,0.60496676,2.3006191,0.3441871
Venezuela,VEN,2000,3.7600324,0.6867666,2.2771735,0.45182016
Venezuela,VEN,2001,4.096727,0.5578341,2.303315,0.52154744
Venezuela,VEN,2002,4.883942,0.4121857,2.0430074,0.3942646
Venezuela,VEN,2003,4.213448,0.49764267,1.7674026,0.5175484
Venezuela,VEN,2004,4.611383,0.41645026,2.3479724,0.5156051
Venezuela,VEN,2005,3.7281096,0.6205285,1.7020211,0.3161939
Venezuela,VEN,2006,4.418584,0.7236107,2.117885,0.41297668
Venezuela,VEN,2007,4.7063975,0.43971848,1.6357527,0.26383108
Venezuela,VEN,2008,4.445737,0.578649,1.9463649,0.29276833
Venezuela,VEN,2009,4.00063,0.61153114,2.0966783,0.2527147
Venezuela,VEN,2010,3.661564,0.6263825,2.1227407,0.34836724
Venezuela,VEN,2011,5.84161,0.6578572,1.748515,0.32755527
Venezuela,VEN,2012,4.475593,0.7563021,2.337661,0.4297171
Venezuela,VEN,2013,4.447981,0.6479303,1.8469971,0.29073104
Venezuela,VEN,2014,4.2623053,0.84081054,1.8188963,0.24023159
Venezuela,VEN,2015,4.068485,0.47076735,2.2666576,0.3874441
Venezuela,VEN,2016,4.4063745,0.7630389,1.5739794,0.4067587
