Entity,Mortality Status,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma
Albania,Medium Mortality,3.8002510199999997,0.89052035,1.860349224,0.718430664
Argentina,Medium Mortality,3.6346322076923077,0.7767357257692308,1.4416208961538461,0.2040382996153846
Armenia,Medium Mortality,3.43950387875,1.64820538625,1.15511190125,0.6949649450000001
Australia,Low Mortality,2.752610635,1.03691257875,1.1583130670000001,0.21213107225
Austria,Low Mortality,2.6737955416666668,1.03315894,1.1289960433333335,0.44240821291666665
Azerbaijan,Medium Mortality,5.56818656,0.9087086339999999,3.22906014,0.440483596
Bahrain,Medium Mortality,4.1398402,1.44272975,1.5831406,1.52941405
Belarus,Low Mortality,2.544022575,1.04972824125,0.69359229,0.31268476125
Belgium,Low Mortality,3.152639216129032,1.2467302032258065,1.1256191351612903,0.2798763141935484
Bosnia and Herzegovina,Medium Mortality,3.46695668,1.6045175888888887,1.5971286444444444,0.7422957633333334
Brazil,Medium Mortality,3.6902465384615386,1.1026119796153846,1.3952833,0.2551086053846154
Bulgaria,Medium Mortality,4.488972382051282,1.5709865176923077,1.8659514620512823,0.6122064561538461
Canada,Low Mortality,2.7388274674999997,0.93100696225,1.03139098225,0.171532555575
Chile,Low Mortality,3.229296540909091,0.7879706986363636,1.3255625,0.184385265
Colombia,Medium Mortality,4.43153354,0.7758783375999999,2.0438200799999997,0.3682756644
Costa Rica,Medium Mortality,4.257639838888888,0.9936849616666668,1.600077927777778,0.43838323611111113
Croatia,Low Mortality,2.7835640145833334,1.4523756975,1.3438853029166669,0.7567306108333334
Cuba,Medium Mortality,4.303056804545455,1.1440831595454546,1.8109082272727273,0.5715826277272726
Czechia,Medium Mortality,3.4445001,1.3497483968965516,1.1664281637931035,0.4645883951724138
Denmark,Low Mortality,2.2807239066666667,0.9421110126666666,0.8552776326666667,0.39170517266666666
Dominican Republic,Low Mortality,1.8813925900000001,0.3601544475,0.6884590165,0.260311979
Ecuador,Medium Mortality,4.653806169230769,0.7573264619230768,2.0535047538461537,0.3018500776923077
Egypt,Medium Mortality,3.728014425,1.3485583241666665,1.7289200183333333,0.07567518054166666
El Salvador,Medium Mortality,3.7005797066666664,0.6074970719999999,1.2007338133333334,0.32244067733333337
Estonia,High Mortality,4.4350989400000005,2.86075934,2.0489956400000002,2.6197593279999998
Fiji,High Mortality,5.33395964,5.28126756,3.3832358,4.01093944
Finland,Low Mortality,2.6295856263157895,1.1069488747368421,1.0230106410526316,0.515559705263158
France,Low Mortality,2.758093339534884,0.8507432309302325,1.0804565397674417,0.20149945786046514
Georgia,Low Mortality,3.1986597999999997,0.983917428888889,1.0103025733333333,0.47932045666666667
Germany,Low Mortality,2.3158108129032255,0.9277564935483871,0.6823363974193548,0.10915940825806453
Greece,Medium Mortality,3.6479630515151515,1.6105885424242423,1.4602793303030304,0.38000464424242425
Guatemala,Medium Mortality,3.766030247826087,0.45067249086956523,1.6036261130434784,0.19193674886956522
Guyana,High Mortality,4.198832533333333,1.569465,3.8530354,3.1129265000000004
Hong Kong,Medium Mortality,3.7275572692307692,1.119715285,1.4192538253846154,0.4786725242307692
Hungary,Medium Mortality,3.931138348717949,1.5669380982051282,1.5295868928205127,0.4914760043589743
Iran,Medium Mortality,3.75867164,1.038997114,1.4224283,0.400278564
Iraq,Medium Mortality,3.4650155333333337,1.3492392333333332,1.6252145666666669,0.16334370666666667
Ireland,Low Mortality,3.1267656555555554,1.2103453800000001,1.3496623355555557,0.43785139833333336
Israel,Low Mortality,2.8224665225,0.9700832762499999,0.8974888142499999,0.3709850235
Italy,Medium Mortality,3.9301350976744187,0.8411168439534883,1.3683076730232557,0.23900616511627906
Jamaica,Medium Mortality,3.5422823875000002,0.89758866,1.4415004125,0.514841195
Japan,Low Mortality,2.5848354590909093,0.4618250579545455,1.0759018352272727,0.20299592302272726
Jordan,Low Mortality,1.6528658875,0.51182451375,0.5535733700000001,0.21583719625
Kazakhstan,Medium Mortality,3.35730632,0.8886876505,1.4670797150000001,0.1859890447
Kuwait,Medium Mortality,3.943401019130435,1.0101180600000002,1.774982695652174,0.8350907226086955
Kyrgyzstan,Low Mortality,2.918548935,0.569674473,1.29446482,0.2997364305
Latvia,Medium Mortality,3.5715061625,1.6969489500000001,2.04324787125,1.40188359625
Lebanon,Low Mortality,1.5897693499999999,0.6437794125,0.9355868,0.66128356
Lithuania,Medium Mortality,3.7455648428571426,1.5192350714285714,1.8214150357142855,0.8446506864285714
Malaysia,Low Mortality,2.366448380952381,0.3702596219047619,1.0953907204761906,0.1641031019047619
Malta,High Mortality,3.7037036,3.558719,5.964215,4.5045047
Mauritius,Medium Mortality,3.8873967929999997,1.4479726899999998,2.95558415,1.50815654
Mexico,Medium Mortality,4.71435976,0.722574122,2.288934624,0.24311151320000002
Moldova,Medium Mortality,5.1458254666666665,1.5670193207407408,2.222408759259259,1.1230335440740742
Mongolia,Medium Mortality,4.0936468,0.9239450471428572,2.198764814285714,0.43204207142857143
Netherlands,Low Mortality,2.9071361972972976,1.0466449754054055,1.0494560721621622,0.32675100405405405
New Zealand,Medium Mortality,4.093752422727273,1.500120286818182,1.7939314181818182,0.6322069681818182
Nicaragua,Medium Mortality,4.5190573375,0.94166395625,1.77267156875,0.394240815625
North Macedonia,Medium Mortality,5.053927758333333,1.7695183716666667,1.885324875,1.0877077658333334
Norway,Low Mortality,2.6870417157894737,1.1983387257894735,1.0491559210526316,0.5587930357894737
Oman,Low Mortality,0.6779523,0.41637868,0.6939645,0.28511637
Panama,Medium Mortality,4.185294642105263,1.0506072384210527,1.4695944784210526,0.48843797947368417
Paraguay,Medium Mortality,3.430465084210526,0.551408147368421,1.6013740947368422,0.30218124842105265
Peru,Medium Mortality,4.294670204166667,0.7674817229166666,1.878234,0.24972690125
Philippines,Medium Mortality,3.8211890173913043,0.4325610060869565,2.034398152173913,0.1773700495652174
Poland,Medium Mortality,3.3855097731707318,1.297414308780488,1.3058964004878049,0.3295094571707317
Portugal,Medium Mortality,4.359673990625,1.114907050625,1.750835964375,0.5883499453125
Puerto Rico,Low Mortality,2.586998766666667,0.9413885416666666,0.6254856833333333,0.69365904
Qatar,Low Mortality,2.0471376,1.5482372500000001,2.4446097499999997,1.20534445
Romania,Medium Mortality,4.873055461904762,1.4310230133333333,2.1399078619047622,0.7449530888095237
Russia,Medium Mortality,3.4228122571428568,1.2187533176190475,1.3703738395238094,0.19481744242857144
Saudi Arabia,Low Mortality,1.7643790666666668,0.6644512499999999,0.5303171,0.19693987000000002
Serbia,Low Mortality,2.8069797631578943,1.62819015,0.9568663047368421,0.5408532157894737
Singapore,Medium Mortality,4.316382471428572,1.357850306190476,2.1792902052380954,0.8016942747619047
Slovakia,Medium Mortality,3.2090281842105264,1.3883188315789474,1.307593317368421,0.6802559742105263
Slovenia,Low Mortality,2.3631601266666666,1.7863357644444444,1.6920983155555556,1.1975409844444445
South Africa,Low Mortality,2.050231576,0.2813900924,0.5798314728,0.217278956
