Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma,Cluster_ID,Cluster_Name
Albania,ALB,1987,3.1635559,0.96914876,2.261347,0.48457438,0,Standard/Lower Rate
Albania,ALB,1988,7.133995,0.9501188,2.2169437,1.1084719,0,Standard/Lower Rate
Albania,ALB,1989,4.2813454,1.0928962,1.7174083,0.7806401,0,Standard/Lower Rate
Albania,ALB,1992,3.8472922,0.7627765,0.9153318,0.7627765,0,Standard/Lower Rate
Albania,ALB,1993,3.2276995,0.8333333,2.20234,0.8258775,0,Standard/Lower Rate
Albania,ALB,1994,3.194888,0.6901311,2.2084196,0.3057169,0,Standard/Lower Rate
Albania,ALB,1995,2.586207,0.79533404,0.91982216,0.3066074,0,Standard/Lower Rate
Albania,ALB,1996,4.255319,0.45392647,1.2417219,0.5235602,0,Standard/Lower Rate
Albania,ALB,1997,2.2427812,1.2269939,1.2269939,0.0,0,Standard/Lower Rate
Albania,ALB,1998,2.7708507,0.44629574,3.0013642,0.35599858,0,Standard/Lower Rate
Albania,ALB,1999,3.581267,0.94953877,3.2555616,0.295858,0,Standard/Lower Rate
Albania,ALB,2000,2.085195,0.27480078,1.3206162,0.0,0,Standard/Lower Rate
Albania,ALB,2001,3.689481,0.76701677,1.7434086,0.6586249,0,Standard/Lower Rate
Albania,ALB,2002,1.8411007,0.5864392,0.8869305,0.7819189,0,Standard/Lower Rate
Albania,ALB,2003,6.2361245,1.091298,2.182596,1.1590395,0,Standard/Lower Rate
Albania,ALB,2004,4.852045,1.6550708,2.2757225,2.0552027,0,Standard/Lower Rate
Albania,ALB,2005,2.3425944,1.3144808,0.8763205,0.3715925,0,Standard/Lower Rate
Albania,ALB,2006,3.1001236,1.694707,0.7701698,0.0,0,Standard/Lower Rate
Albania,ALB,2007,2.1345172,1.208649,0.0,0.0,0,Standard/Lower Rate
Albania,ALB,2008,2.2030232,0.93751466,0.93751466,0.0,0,Standard/Lower Rate
Albania,ALB,2009,1.5176694,1.6127515,1.6127515,0.0,0,Standard/Lower Rate
Albania,ALB,2010,0.78963995,0.94505453,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,1998,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,1999,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2000,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2001,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2002,13.914011,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2003,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2004,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2005,13.640704,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2006,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2007,0.0,0.0,23.11337,0.0,2,Elevated Leukemia & Brain Cancer
Antigua and Barbuda,ATG,2008,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2009,13.222266,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2010,13.113034,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2011,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2012,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2013,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2014,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2015,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2016,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2017,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2018,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2019,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2020,0.0,0.0,0.0,0.0,0,Standard/Lower Rate
Antigua and Barbuda,ATG,2021,14.575135,0.0,0.0,0.0,0,Standard/Lower Rate
Argentina,ARG,1997,3.5533884,0.70774585,1.6561253,0.28276527,0,Standard/Lower Rate
Argentina,ARG,1998,3.0682395,0.7499179,1.9950647,0.2688385,0,Standard/Lower Rate
Argentina,ARG,1999,3.623024,0.7641948,1.8680317,0.24057984,0,Standard/Lower Rate
Argentina,ARG,2000,3.791907,0.9244997,1.7832171,0.3603982,0,Standard/Lower Rate
Argentina,ARG,2001,3.6720846,0.87912846,1.5030261,0.26719397,0,Standard/Lower Rate
Argentina,ARG,2002,3.727619,0.7940318,1.630601,0.14169566,0,Standard/Lower Rate
Argentina,ARG,2003,2.9013605,0.65179497,1.3177594,0.09918619,0,Standard/Lower Rate
Argentina,ARG,2004,3.814152,0.7366862,1.4592054,0.25265485,0,Standard/Lower Rate
Argentina,ARG,2005,4.3904037,0.8219032,1.5729527,0.24090266,0,Standard/Lower Rate
Argentina,ARG,2006,3.9399483,0.9885979,1.2145631,0.31514996,0,Standard/Lower Rate
Argentina,ARG,2007,3.980678,0.7328877,1.4657754,0.29597387,0,Standard/Lower Rate
Argentina,ARG,2008,3.4634306,0.78788084,1.3506528,0.25073656,0,Standard/Lower Rate
Argentina,ARG,2009,3.8534336,0.6734957,1.5434277,0.18737334,0,Standard/Lower Rate
Argentina,ARG,2010,3.8357782,0.7268481,1.1322057,0.18657708,0,Standard/Lower Rate
Argentina,ARG,2011,3.7216375,0.86389416,1.3655101,0.13933776,0,Standard/Lower Rate
Argentina,ARG,2012,3.5413253,0.7767562,1.2483582,0.09267104,0,Standard/Lower Rate
Argentina,ARG,2013,3.3842611,0.786433,1.5314747,0.16913722,0,Standard/Lower Rate
Argentina,ARG,2014,3.3690996,0.6864136,1.5787513,0.16840293,0,Standard/Lower Rate
Argentina,ARG,2015,2.9621956,0.820216,1.4353781,0.16772525,0,Standard/Lower Rate
Argentina,ARG,2016,4.1067104,0.6660751,1.3321502,0.18183896,0,Standard/Lower Rate
Argentina,ARG,2017,3.7313516,0.81215876,1.5701736,0.18090914,0,Standard/Lower Rate
Argentina,ARG,2018,3.5265975,0.6611449,1.1873623,0.16512507,0,Standard/Lower Rate
Argentina,ARG,2019,3.7399392,0.6593912,1.076557,0.13460141,0,Standard/Lower Rate
Argentina,ARG,2020,3.530462,0.65803033,1.060906,0.14912413,0,Standard/Lower Rate
Argentina,ARG,2021,3.2893836,1.0735224,1.3687412,0.17874195,0,Standard/Lower Rate
Argentina,ARG,2022,3.9820266,0.7914801,1.2341725,0.18735498,0,Standard/Lower Rate
Armenia,ARM,2006,2.8677711,2.115091,1.3332694,0.0,0,Standard/Lower Rate
Armenia,ARM,2007,5.7424297,1.21994,1.5249249,1.21994,0,Standard/Lower Rate
Armenia,ARM,2008,1.2866149,0.0,1.0682876,0.6739589,0,Standard/Lower Rate
Armenia,ARM,2009,4.1105742,2.740143,1.0753498,0.0,0,Standard/Lower Rate
Armenia,ARM,2010,5.4411407,0.90142334,2.5359952,0.57117397,0,Standard/Lower Rate
Armenia,ARM,2011,2.8371208,1.4708261,1.9441919,0.0,0,Standard/Lower Rate
Armenia,ARM,2012,5.139098,1.9869317,1.0147803,0.54245526,0,Standard/Lower Rate
Armenia,ARM,2013,1.7428485,1.3929827,0.74807745,0.0,0,Standard/Lower Rate
Armenia,ARM,2014,4.6353436,1.4759058,0.0,0.0,0,Standard/Lower Rate
Armenia,ARM,2015,2.2942095,2.43804,1.6253599,1.1973681,0,Standard/Lower Rate
Armenia,ARM,2016,2.810947,1.2142062,0.80301934,0.48494253,0,Standard/Lower Rate
Armenia,ARM,2017,3.2728403,1.6152349,0.5325537,0.0,0,Standard/Lower Rate
Armenia,ARM,2018,2.6493857,0.95066524,1.2203828,0.0,0,Standard/Lower Rate
Armenia,ARM,2019,3.590738,0.81345785,0.4756763,0.4756763,0,Standard/Lower Rate
Armenia,ARM,2020,1.5116929,2.4391792,0.4675672,0.60146034,0,Standard/Lower Rate
Armenia,ARM,2021,0.98577523,2.1724648,0.79357207,0.46670306,0,Standard/Lower Rate
Armenia,ARM,2022,2.396059,0.56852424,0.85278636,0.0,0,Standard/Lower Rate
Armenia,ARM,2023,2.555401,1.1959755,0.5180944,0.0,0,Standard/Lower Rate
Australia,AUS,1979,3.7833052,0.9353776,2.3181098,0.31300303,0,Standard/Lower Rate
Australia,AUS,1980,4.1119723,1.1920421,2.6307137,0.5343637,0,Standard/Lower Rate
Australia,AUS,1981,4.48124,1.6187274,2.3243265,0.41310933,0,Standard/Lower Rate
Australia,AUS,1982,3.9864166,0.9624236,2.3432922,0.37660056,0,Standard/Lower Rate
Australia,AUS,1983,3.722356,0.92487496,1.9338294,0.58855677,0,Standard/Lower Rate
Australia,AUS,1984,4.5521293,1.3091216,1.8158784,0.38006756,0,Standard/Lower Rate
Australia,AUS,1985,3.6377134,1.2653422,1.8136573,0.1687123,0,Standard/Lower Rate
Australia,AUS,1986,3.5836828,1.1725293,1.3819095,0.2512563,0,Standard/Lower Rate
Australia,AUS,1987,3.460752,1.1611993,1.3685564,0.29029983,0,Standard/Lower Rate
Australia,AUS,1988,3.6054804,1.0645267,1.1873567,0.22758307,0,Standard/Lower Rate
Australia,AUS,1989,3.8703434,1.0866503,1.569606,0.1789549,0,Standard/Lower Rate
