YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Alex Clark,Why my dad deserves a medal (but i got him a bike),2020-01-30 01:00:45+00:00,275567,12165,962,154,78.99350649350649,0.012659268392930538,4.819517576487751
Alex Clark,The Toilet Paper King,2020-04-25 17:37:09+00:00,306362,16354,1530,213,76.77934272300469,0.013024336553748319,5.90706419203426
Alex Clark,My Sister’s Revenge (TP KING PART 2),2020-05-02 14:29:42+00:00,224657,10750,1050,237,45.358649789029535,0.022046511627906978,5.3579456682854305
Alex Clark,Our Baby Announcement,2020-05-06 19:35:59+00:00,527479,35121,5741,1146,30.646596858638745,0.032630050397198254,7.963918942744639
Alex Clark,MY MOM'S CIRCULAR SECRET WEAPON,2020-05-14 18:01:49+00:00,463807,20087,1037,206,97.50970873786407,0.010255389057599443,4.598895661341895
Alex Clark,Sugar Heist: A Baby VS Baby Brawl,2020-05-26 16:11:34+00:00,99825,6063,634,63,96.23809523809524,0.010390895596239486,6.771850738792888
Alex Clark,I AM NOT A FURRY,2020-05-27 20:30:28+00:00,289528,18431,3225,1310,14.069465648854962,0.07107590472573382,7.932220717858031
Alex Clark,My Evil Sister Spawned a Sibling (Phone Stories),2020-06-08 21:01:21+00:00,284278,17152,832,148,115.89189189189189,0.008628731343283583,6.378263530769177
Alex Clark,Racism Explained With Cake,2020-06-16 19:01:41+00:00,310253,26921,3981,1656,16.256642512077295,0.06151331674157721,10.494016173896787
Alex Clark,Trampoline Accident ( Thx Brewstew ),2020-07-02 17:07:02+00:00,1741985,53750,2738,1662,32.340553549939834,0.03092093023255814,3.3381458508540547
Alex Clark,Here’s What Happened With Pam,2020-07-20 19:33:45+00:00,526306,26948,1461,375,71.86133333333333,0.013915689476027905,5.469061724548077
Alex Clark,Odd1sOut VS Alex Clark: How we Trained To Chess-Box,2020-08-06 16:12:43+00:00,752595,37652,1372,499,75.45490981963928,0.013252948050568363,5.25156292561072
Alex Clark,Odd1sOut VS Alex Clark: Planning Chess Boxing  ( Part 2 ),2020-08-07 16:06:34+00:00,458400,22102,1191,232,95.26724137931035,0.010496787621029771,5.131980802792321
Alex Clark,The Night I Punched TheOdd1sout RECAP,2020-08-28 17:21:16+00:00,880844,31098,1193,662,46.97583081570997,0.021287542607241625,3.7410710636616695
Alex Clark,A Street Race To Remember.,2020-09-16 22:09:59+00:00,124693,8747,1595,130,67.28461538461538,0.014862238481765176,8.398226043162007
Alex Clark,The Curse of Butt-Cheek Shire,2020-10-07 22:35:15+00:00,204003,9624,676,363,26.512396694214875,0.03771820448877806,5.226883918373749
Alex Clark,My Adult Fantasy,2020-11-04 22:34:06+00:00,1259712,112559,4582,1741,64.65192418150488,0.015467443740616033,9.437236447695982
Alex Clark,Clarks CORRUPT thoughts on Thanksgiving,2020-11-24 22:07:37+00:00,352641,40550,2352,831,48.796630565583634,0.020493218249075216,12.40156419701623
Alex Clark,1 Delightful XXXmas Story,2020-12-03 22:05:43+00:00,774826,75826,2330,1129,67.16209034543844,0.014889351937330203,10.23261996887043
Alex Clark,Among Us Revenge,2020-12-17 00:11:32+00:00,272357,16060,865,279,57.562724014336915,0.017372353673723535,6.316709319018788
Alex Clark,PWWeeassee Forgive Me,2020-12-23 21:16:43+00:00,217886,18142,1059,363,49.97796143250689,0.020008819314298314,8.979007370826947
Alex Clark,A Guatemalan Drug Lord Tracked Me Down,2021-01-27 21:00:31+00:00,267653,28898,775,334,86.52095808383234,0.011557893279811752,11.211157730344887
