YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Ben Shapiro,Welcome To 2020! | Ep. 923,2020-01-02 20:10:15+00:00,104504,2481,410,147,16.877551020408163,0.0592503022974607,2.907065758248488
Ben Shapiro,"So Long, Soleimani! | Ep. 924",2020-01-03 18:53:01+00:00,211064,5888,1512,647,9.10046367851623,0.1098845108695652,3.8125876511389913
Ben Shapiro,Will We End Up In A War With Iran? | Ep. 925,2020-01-06 19:19:50+00:00,188482,5160,766,291,17.7319587628866,0.0563953488372093,3.298458208210864
Ben Shapiro,The Media’s Not-So-Secret Iran Agenda | Ep. 926,2020-01-07 17:55:23+00:00,156375,3509,665,215,16.32093023255814,0.06127101738387,2.806714628297362
Ben Shapiro,The War That Wasn’t | Ep. 927,2020-01-08 18:38:25+00:00,172846,4203,640,160,26.26875,0.0380680466333571,2.8944841072399705
Ben Shapiro,Iran Has Attacked American Troops -- Democrats Side With The Enemy,2020-01-08 21:50:09+00:00,108164,4754,676,225,21.128888888888888,0.0473285654185948,5.228172035057875
Ben Shapiro,The Revisionist History Begins | Ep. 928,2020-01-09 18:03:37+00:00,116106,3089,498,116,26.629310344827587,0.0375526060213661,3.189326994298314
Ben Shapiro,Nancy And The Giant Impeachment | Ep. 929,2020-01-10 18:50:19+00:00,133736,3275,513,122,26.84426229508197,0.0372519083969465,2.923670515044565
Ben Shapiro,Ben Shapiro: Judeo-Christian Values Made The West Great (MONTAGE),2020-01-11 14:00:08+00:00,59726,2819,495,254,11.098425196850394,0.0901028733593472,5.97394769447142
Ben Shapiro,When The Media Don’t Care About Iranians | Ep. 930,2020-01-13 18:17:14+00:00,132582,2915,396,102,28.57843137254902,0.0349914236706689,2.574255932177822
Ben Shapiro,The Bernie Moment | Ep. 931,2020-01-14 18:04:14+00:00,134432,2985,447,169,17.662721893491124,0.0566164154103852,2.678677695786717
Ben Shapiro,The Debate Night Of The Living Dead! | Ep. 932,2020-01-15 17:54:19+00:00,179940,4687,1200,142,33.00704225352113,0.0302965649669298,3.3505612982105144
Ben Shapiro,Impeachment Hits The Senate | Ep. 933,2020-01-16 18:35:25+00:00,149705,3490,629,170,20.529411764705884,0.0487106017191977,2.8649677699475635
Ben Shapiro,"So Somber, So Serious, So Stupid | Ep. 934",2020-01-17 18:17:34+00:00,142403,3361,557,95,35.37894736842105,0.0282653972032133,2.818058608315836
Ben Shapiro,"Ben Shapiro Q&A - Big Tech Censorship, Jordan Peterson, Radical Islam",2020-01-18 13:30:02+00:00,2970150,70000,4843,1720,40.69767441860465,0.0245714285714285,2.5777485985556283
Ben Shapiro,The Impeachment Trial Of The New Century | Ep. 935,2020-01-20 17:51:54+00:00,153105,3457,550,120,28.808333333333334,0.0347121781891813,2.695535743444042
Ben Shapiro,Hillary vs. Bernie: The Revenge | Ep. 936,2020-01-21 17:42:13+00:00,133976,3201,602,126,25.404761904761905,0.0393626991565135,2.932614796680002
Ben Shapiro,The Schiff Show Begins | Ep. 937,2020-01-22 18:30:20+00:00,151658,3503,501,128,27.3671875,0.036540108478447,2.7245512930409213
Ben Shapiro,HELP: My Co-Workers Are Intolerant Liberals - What Should I Do?,2020-01-23 01:10:35+00:00,190066,6866,805,117,58.68376068376068,0.0170404893678997,4.097524017972704
Ben Shapiro,"The Schiff Show, Day 2 | Ep. 938",2020-01-23 17:48:16+00:00,167954,4034,778,157,25.694267515923567,0.0389191869112543,2.95854817390476
Ben Shapiro,Hunting For Hunter | Ep. 939,2020-01-24 17:54:27+00:00,137855,3121,458,102,30.598039215686278,0.0326818327459147,2.670196946066519
Ben Shapiro,"Joe Rogan Has Been ""Cancelled"" by Angry Leftists",2020-01-24 23:23:45+00:00,2901897,90287,10205,13091,6.89687571614086,0.14499318838814,3.914094814529944
Ben Shapiro,The Worst Of Times | Ep. 940,2020-01-27 17:41:31+00:00,166038,3666,1005,275,13.33090909090909,0.075013638843426,2.978836170033366
Ben Shapiro,A Bolton Out Of The Blue | Ep. 941,2020-01-28 17:36:38+00:00,127209,2475,535,156,15.865384615384617,0.063030303030303,2.488817615105849
Ben Shapiro,BREAKING: Palestine Rejects Trump's Middle East Peace Proposal,2020-01-28 23:28:19+00:00,136257,4646,788,366,12.693989071038253,0.0787774429616874,4.256662043051
Ben Shapiro,The First Real Peace Plan | Ep. 942,2020-01-29 17:42:33+00:00,118128,3023,579,176,17.176136363636363,0.058220310949388,3.198225653528376
Ben Shapiro,"Caller Debates Ben Shapiro: ""Parents Should have the Right to Abort their Child""",2020-01-30 00:15:00+00:00,207990,7543,1192,206,36.61650485436893,0.0273100888240753,4.298764363671331
Ben Shapiro,Decision Day Approaches | Ep. 943,2020-01-30 17:52:37+00:00,120828,2506,484,95,26.37894736842105,0.0379090183559457,2.553216141953852
Ben Shapiro,The Myth of the Tiny Radical Muslim Minority (Ben Shapiro),2020-01-30 23:30:01+00:00,136906,9026,2171,1564,5.771099744245524,0.1732771992023044,9.320993966663258
Ben Shapiro,The End? | Ep. 944,2020-01-31 17:08:22+00:00,181089,3859,741,146,26.431506849315067,0.0378336356569059,2.620810761559233
Ben Shapiro,Caller Asks Shapiro: What Is The Conservative Solution To The Student Debt Crisis?,2020-02-01 00:30:01+00:00,1610876,34324,7045,1516,22.641160949868077,0.0441673464631161,2.662216086154366
Ben Shapiro,Caller Debates Ben Shapiro On When Life Begins,2020-02-03 01:30:01+00:00,188486,5547,975,146,37.99315068493151,0.0263205336217775,3.537663274725974
Ben Shapiro,Iowat The Hell Is Going On | Ep. 945,2020-02-03 17:53:17+00:00,146566,3148,615,120,26.23333333333333,0.0381194409148665,2.649318395808032
