YouTuber_Name,Title,Date,Duration_Seconds,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
CD-Call,Treasure Planet in Ten Minutes,2020-01-05 23:21:48+00:00,624,60765,0,248,102,0.0,,0.5759894676211635
CD-Call,Why MLP Turned Into A Creepy Centrist Melodrama (Glass of Water),2020-01-13 00:16:22+00:00,1204,213065,0,486,302,0.0,,0.36984018961349824
CD-Call,Brother Bear in Six Minutes,2020-01-20 01:58:13+00:00,404,38989,0,143,44,0.0,,0.4796224576162507
CD-Call,Making Rey Into Kylo Ren's Support Character Was Gross (Glass of Water),2020-01-26 10:09:39+00:00,996,167817,0,941,447,0.0,,0.8270914150533021
CD-Call,Chicken Little in Six Minutes,2020-01-31 17:58:28+00:00,404,48670,0,141,46,0.0,,0.3842202588863777
CD-Call,Princess and the Frog in 12 Minutes,2020-02-09 03:20:15+00:00,775,67483,0,354,73,0.0,,0.6327519523435532
CD-Call,Disney Roundup - The 2000's Era,2020-02-18 04:50:38+00:00,1046,60591,0,235,91,0.0,,0.5380337013747917
CD-Call,"Ships Have Discourse Now, Deal With It (Glass of Water)",2020-02-23 19:10:50+00:00,1083,170349,0,1036,388,0.0,,0.835930941772479
CD-Call,Your Mental Health Questions Answered with ILoveKimPossibleALot,2020-02-28 04:03:38+00:00,574,30306,0,130,89,0.0,,0.7226291823401306
CD-Call,Tangled in 11 Minutes,2020-03-08 16:09:30+00:00,680,64480,0,240,79,0.0,,0.494727047146402
CD-Call,Star Wars - Knights of the Fallen Empire (Part 1),2020-03-12 11:35:26+00:00,11892,17122,0,45,27,0.0,,0.4205116224740101
CD-Call,The Owl House is Lovely | First Impressions,2020-03-22 15:52:23+00:00,743,93527,0,353,236,0.0,,0.6297646668876367
CD-Call,Frozen in 10 Minutes,2020-03-29 03:42:50+00:00,648,49284,0,222,64,0.0,,0.5803100397694992
CD-Call,"Talking About Work, Stress, Recovery, Cluelessness and Burnout",2020-04-04 13:58:03+00:00,1240,52647,0,603,234,0.0,,1.5898341785856744
CD-Call,Stop Shipping Siblings You Freaks (Glass of Water),2020-04-12 22:02:25+00:00,861,141548,0,464,161,0.0,,0.44154633057337445
CD-Call,"Top 5 Best, Worst and Blandest Star Wars Characters (Glass of Water)",2020-04-24 17:52:41+00:00,988,85309,0,392,453,0.0,,0.9905168270639675
CD-Call,Top Ten Best/Worst/Blandest Episodes of MLP (Glass of Water),2020-05-07 12:43:33+00:00,1503,167012,0,614,304,0.0,,0.5496611021962494
CD-Call,Big Hero Six in Eight Minutes,2020-05-17 12:24:58+00:00,490,47063,0,184,106,0.0,,0.6161953126660009
CD-Call,Zootopia in 11 Minutes,2020-05-24 19:33:09+00:00,708,73179,0,359,162,0.0,,0.711952882657593
CD-Call,WoW Transmog Competition (Battle for Azeroth),2020-05-30 18:24:00+00:00,4766,10907,0,28,28,0.0,,0.5134317410837077
CD-Call,Moana in 9 Minutes,2020-06-09 00:44:54+00:00,562,51014,0,205,94,0.0,,0.5861136158701533
CD-Call,Frozen II in 14 Minutes,2020-06-15 11:19:20+00:00,888,51175,0,281,98,0.0,,0.7405959941377627
CD-Call,??? in 14 Minutes,2020-06-22 13:44:13+00:00,866,70471,0,268,98,0.0,,0.5193625746761079
CD-Call,Disney Roundup - 2010's Era,2020-07-13 13:33:18+00:00,1248,40110,0,247,74,0.0,,0.8002991772625281
CD-Call,The Complete Disney Roundup (In A Minute Roundup Compilation),2020-07-15 12:19:58+00:00,5062,177083,0,546,301,0.0,,0.4783067826951204
CD-Call,"Top 5 Best, Worst and Blandest Disney Films (Glass of Water)",2020-07-20 15:29:14+00:00,570,80364,0,364,381,0.0,,0.9270320043800706
CD-Call,World of Warcraft Needs to Accept the Champion's Agency (Glass of Water),2020-08-03 06:10:02+00:00,769,66399,0,235,133,0.0,,0.5542252142351541
CD-Call,Got The Owl House On The Brain,2020-08-28 20:15:35+00:00,747,67234,0,370,185,0.0,,0.8254752059969659
CD-Call,Slow Burn Romance Arcs Are Played Out (Glass of Water),2020-09-07 12:31:33+00:00,477,83853,0,921,214,0.0,,1.3535592047988743
CD-Call,SquadCast - The Owl House Season 1 Roundup,2020-09-13 22:25:54+00:00,5726,67224,0,198,72,0.0,,0.4016422706176365
CD-Call,Let's Rank Every Cartoon Lily Liked As A Kid From Worst To Best (Glass of Water),2020-09-24 22:00:05+00:00,1039,77281,0,501,182,0.0,,0.8837877356659464
CD-Call,Hotel Transylvania in 11 Minutes,2020-10-17 17:38:44+00:00,683,43308,0,212,86,0.0,,0.6880945783688925
CD-Call,Corpse Bride in 11 Minutes,2020-10-31 17:09:54+00:00,721,38405,0,150,113,0.0,,0.6848066657987241
CD-Call,Kim Possible Had One of the Best Character Arcs (Glass of Water),2020-11-17 10:30:10+00:00,1194,111530,0,285,217,0.0,,0.4501031112705102
CD-Call,Grading Gay Rep - We Shouldn't Have to Settle for Scraps (Glass of Water),2020-11-30 21:22:39+00:00,889,128597,0,507,626,0.0,,0.8810469917649713
CD-Call,Mystery Monger - Why Nobody Likes To Be Teased (Glass of Water),2020-12-14 19:26:34+00:00,998,71999,0,280,136,0.0,,0.5777858025805914
CD-Call,"Talking About Self Identity, Relationships, Sacrifice and Emotional Support",2020-12-25 16:39:41+00:00,821,47883,0,328,183,0.0,,1.0671845957855606
CD-Call,Lily Orchard Best Moments of 2020,2021-01-06 22:33:07+00:00,868,26960,0,66,94,0.0,,0.5934718100890208
CD-Call,The Phantom Menace in 21 Minutes,2021-01-10 00:54:48+00:00,1293,28434,0,229,66,0.0,,1.0374903284799888
CD-Call,Attack of the Clones in 18 Minutes,2021-01-30 10:49:14+00:00,1150,20775,0,126,38,0.0,,0.789410348977136
CD-Call,Squadcast - Talking About Abuse and Harassment,2021-02-10 03:23:19+00:00,7145,61772,0,177,107,0.0,,0.45975522890630055
CD-Call,Stop Saying That Pixar Films Aren't For Kids (Glass of Water),2021-02-14 17:31:41+00:00,703,83733,0,426,213,0.0,,0.7631399806527892
CD-Call,Warcraft's Cosmology is Stupid and Dumb (Glass of Water),2021-03-03 21:44:43+00:00,579,50105,0,252,150,0.0,,0.8023151382097595
CD-Call,Arthas is the Least Redeemable Character in Warcraft (Glass of Water),2021-03-21 18:24:19+00:00,865,92330,0,360,415,0.0,,0.8393804830499295
CD-Call,I Rewrote a Segment of the Steven Universe Video for Comparision,2021-04-18 17:37:00+00:00,1613,475233,0,1399,857,0.0,,0.47471450846216484
CD-Call,Good Stuff - Stitch's Media Mix,2021-05-10 13:13:46+00:00,207,13934,0,39,55,0.0,,0.6746088703889765
CD-Call,Good Stuff - The First Okiro,2021-05-25 13:59:22+00:00,192,10238,0,29,33,0.0,,0.6055870287165462
CD-Call,Battle for Azeroth in a Nutshell,2021-06-10 10:01:33+00:00,424,21983,0,100,45,0.0,,0.6596006004639948
CD-Call,Announcement: Mikaila Joins the Channel,2021-06-24 15:34:23+00:00,50,36404,0,182,98,0.0,,0.7691462476650918
CD-Call,Salting the Earth (The Thing About),2021-06-25 23:06:56+00:00,389,21414,0,68,63,0.0,,0.6117493228728869
CD-Call,Star Wars is Playing Things Too Safe (The Thing About),2021-06-28 01:29:05+00:00,930,20247,0,58,40,0.0,,0.4840223242949573
CD-Call,You Should Watch Rise of the TMNT (The Thing About),2021-06-30 18:50:17+00:00,1127,24683,0,128,38,0.0,,0.6725276506097314
CD-Call,Amity Blight is a Step in the Right Direction (The Thing About),2021-07-04 11:06:01+00:00,974,27709,0,127,66,0.0,,0.6965245948969648
CD-Call,Sylvanas and Jaina Should Kiss (The Thing About),2021-07-08 00:28:20+00:00,1092,22785,0,92,53,0.0,,0.6363835856923414
CD-Call,Blethering About Zuko's Arc and Amity's Popularity (Glass of Water),2021-07-10 22:49:34+00:00,674,64539,0,312,181,0.0,,0.7638792048218906
CD-Call,Appreciating Eda the Owl Lady (The Thing About),2021-07-14 06:43:19+00:00,831,22326,0,58,32,0.0,,0.40311744154797097
CD-Call,Luz Noceda is Underappreciated (The Thing About),2021-07-17 08:23:48+00:00,900,24372,0,147,57,0.0,,0.8370260955194485
CD-Call,Ahsoka Needs a Break (The Thing About),2021-07-20 11:12:20+00:00,572,14257,0,52,64,0.0,,0.8136354071684084
CD-Call,Blethering About Grey Jedi and Mandalorians (Glass of Water),2021-07-24 11:34:19+00:00,1015,58473,0,222,80,0.0,,0.5164776905580353
CD-Call,Death's Rising in a Nutshell,2021-07-28 02:29:02+00:00,288,16488,0,81,49,0.0,,0.7884522076661815
CD-Call,Venting My Anger About WoW,2021-07-29 22:11:27+00:00,1749,44364,0,166,72,0.0,,0.5364710125326841
CD-Call,Unpacking Sylvanas' Butchered Character | Mikaila's Corner,2021-08-02 15:45:09+00:00,1171,31748,0,99,98,0.0,,0.6205115282852464
CD-Call,Finally! Some Good Freaking Cartoon Gays! (Glass of Water),2021-08-09 17:30:10+00:00,864,115413,0,414,179,0.0,,0.513806936826874
CD-Call,A Lying Witch and a Warden | Owl House Episode Review,2021-08-12 08:56:01+00:00,609,14195,0,31,42,0.0,,0.5142655864741106
CD-Call,Witches Before Wizards | Owl House Episode Review,2021-08-16 08:05:29+00:00,705,11097,0,19,25,0.0,,0.3965035595205912
CD-Call,I Was a Teenage Abomination | Owl House Episode Review,2021-08-19 08:55:08+00:00,783,11664,0,30,22,0.0,,0.4458161865569273
CD-Call,Hunter is a Good Character That I'm Already Sick Of | Mikaila's Corner,2021-08-24 03:17:35+00:00,959,50662,0,376,251,0.0,,1.237613990762307
CD-Call,The Intruder | Owl House Episode Review,2021-08-26 19:35:48+00:00,752,11796,0,44,17,0.0,,0.517124448965751
CD-Call,"Let's Talk About Pacing, Shall We? | Glass of Water",2021-09-04 12:45:09+00:00,780,74633,0,315,141,0.0,,0.6109897766403601
CD-Call,Covention/Hooty's Moving Hassle | Owl House Episode Review,2021-09-18 14:00:09+00:00,587,13926,0,25,18,0.0,,0.3087749533247164
CD-Call,A Thought Experiment on Heroism and Inaction | Glass of Water,2021-09-23 14:00:12+00:00,799,65891,0,779,120,0.0,,1.364374497275804
CD-Call,A Follow Up On Heroism | Glass of Water,2021-10-28 18:00:10+00:00,1545,76303,0,331,154,0.0,,0.6356237631547907
CD-Call,Please Watch Lego Monkie Kid | Mikaila's Corner,2021-11-09 19:00:09+00:00,767,48869,0,188,45,0.0,,0.4767848738464057
CD-Call,Lower Decks is Peak Star Trek | First Impressions,2021-12-03 00:54:38+00:00,699,22161,0,95,71,0.0,,0.7490636704119851
CD-Call,Arcane is Better than I Expected | Mikaila's Corner,2021-12-21 19:00:10+00:00,896,45367,0,84,289,0.0,,0.8221835254700552
