YouTuber_Name,Title,Date,Duration_Seconds,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
JaidenAnimations,The Most Underrated Game Ever,2020-02-09 19:03:24+00:00,757,32038908,710035,69167,9416,75.4072854715378,0.013261318104037126,2.461438448526398
JaidenAnimations,Our tour went wrong in all the best ways,2020-03-07 19:03:35+00:00,573,28849029,706369,44282,6692,105.55424387328154,0.009473801936381693,2.625194074989491
JaidenAnimations,I Hate Reading,2020-03-29 18:03:22+00:00,436,14657104,586877,85518,9200,63.790978260869565,0.015676197908590726,4.650270612803184
JaidenAnimations,"If you don't like reading, I've got the book for you",2020-04-26 18:03:32+00:00,431,12066511,458510,35934,4692,97.72165387894289,0.010233146496259624,4.136539551490899
JaidenAnimations,The worst thing that's ever happened to me,2020-06-07 18:06:43+00:00,738,35027846,953256,83691,8762,108.7943391919653,0.009191654707654607,2.985364843730328
JaidenAnimations,The best pokemon game you never played,2020-07-12 18:04:08+00:00,891,45425551,1038709,90684,11706,88.73304288399112,0.011269758902637794,2.5120201623971496
JaidenAnimations,Animal Crossing used to be so much darker...,2020-08-16 18:06:58+00:00,698,38242900,954575,55499,10806,88.33749768647048,0.011320221040777309,2.6694628283942903
JaidenAnimations,I Attempted a Speedrun (and got a world record),2020-10-11 18:06:15+00:00,872,41604214,1045792,62004,11473,91.15244487056567,0.010970632783574553,2.690277960785415
JaidenAnimations,I Attempted a Pokemon Platinum Nuzlocke,2020-12-19 19:03:15+00:00,1364,65449476,1402273,143476,18328,76.5098756001746,0.01307020815490279,2.389747169251592
JaidenAnimations,The Weirdest Pet Games,2021-03-14 18:02:30+00:00,680,32425394,776180,53369,6175,125.69716599190284,0.00795562884897833,2.5773750042944736
JaidenAnimations,JaidenAnimations the Anime,2021-06-06 18:03:15+00:00,104,17475303,1017980,107948,8307,122.54484169977128,0.00816027819799996,6.490502625333592
JaidenAnimations,Pokémon But Ugly,2021-08-08 18:04:37+00:00,785,24183445,668981,30252,4604,145.3043006081668,0.006882108759441599,2.91040833925853
JaidenAnimations,The Hardest Mario Game Ever,2021-09-26 18:03:06+00:00,1059,28277020,789921,37799,5957,132.6038274299144,0.00754126045515944,2.948249143650922
JaidenAnimations,Dating things I shouldn’t,2021-11-14 19:00:16+00:00,838,21470975,750941,30459,5033,149.20345718259486,0.006702257567505304,3.6627726500543174
JaidenAnimations,I Attempted a Two Player Nuzlocke,2021-12-19 19:03:08+00:00,1213,38074274,944520,42121,5121,184.4405389572349,0.005421801549993647,2.6048086957613426
JaidenAnimations,Being Not Straight,2022-03-20 18:02:19+00:00,922,28247370,1762145,328694,101422,17.374386227840112,0.057555990000822864,7.760938451969157
