YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Jake Paul,Jake Paul Vs. Gib PRESS CONFERENCE,2020-01-09 00:19:51+00:00,1703473,43232,7310,21051,2.0536791601349105,0.48693097705403404,4.202766935548729
Jake Paul,Welcome to Jake Paul's Boxing Camp,2020-01-14 20:05:18+00:00,1830882,49970,5294,15082,3.313221058215091,0.30182109265559337,3.8421919053221343
Jake Paul,KSI is Crying in My Insta DMs,2020-01-18 19:34:09+00:00,1943576,79041,17607,85518,0.9242615589700414,1.0819448134512468,9.37272326886111
Jake Paul,40 Days: Jake Paul’s Countdown To Fight Night,2020-01-24 01:42:28+00:00,2507313,69801,5832,10957,6.370448115360044,0.15697482844085328,3.453497828153087
Jake Paul,FINAL PRESS CONFERENCE | Jake Paul vs. AnEsonGib,2020-01-28 23:48:49+00:00,840373,21219,875,4187,5.067828994506807,0.19732315377727508,3.1273018052698025
Jake Paul,Jake Paul Face 2 Face With AnesonGib (Fight Day),2020-01-29 20:23:27+00:00,1443292,42515,3961,7832,5.428370786516854,0.18421733505821475,3.7627867403131177
Jake Paul,Jake Paul Vs. AnEsonGib WEIGH IN (Official Live Stream),2020-01-30 00:11:02+00:00,870392,16549,1474,3687,4.488473013289938,0.2227929180010877,2.4942784400591917
Jake Paul,COUNTDOWN / JAKE PAUL VS ANESONGIB,2020-01-31 10:50:49+00:00,2072803,29077,1243,5987,4.856689493903457,0.20590157168896378,1.7515895142953768
Jake Paul,i won.,2020-02-14 19:55:26+00:00,4834791,123322,9480,47062,2.6204156219455186,0.38161885146202623,3.7202021762678052
Jake Paul,MY REACTION TO JAKE PAUL VS ANESONGIB,2020-02-17 19:30:43+00:00,4445454,125994,9363,19057,6.611428871280894,0.15125323428099752,3.473525988571696
Jake Paul,MY EX-WIFE hooked UP with MY GIRLFRIEND,2020-02-22 22:18:37+00:00,6179723,122126,9207,28809,4.239161373181992,0.23589571426231926,2.5914106506068313
Jake Paul,"My New $100,000 Emergency Response Vehicle",2020-03-20 19:32:11+00:00,4909717,111018,6535,11301,9.82373241306079,0.10179430362643896,2.624468986705344
Jake Paul,THINGS Got SEXUAL with RILEY REID,2020-03-26 19:19:45+00:00,6031345,147247,6941,23620,6.233996613039797,0.1604107384191189,2.948065481248378
Jake Paul,I had to go to the hospital...,2020-04-02 20:00:17+00:00,2603142,82722,3792,7726,10.706963499870566,0.0933971615773313,3.620240463255558
Jake Paul,Lana Rhoades Gives Me Break-Up Advice...,2020-04-09 20:01:41+00:00,4035618,273162,5156,11899,22.956719052021178,0.04356023165740476,7.191389274207817
Jake Paul,Stealing Logan Pauls New Bird!,2020-04-16 19:16:20+00:00,3724156,125792,6447,14750,8.528271186440678,0.11725705927244975,3.9469077020404084
Jake Paul,rated r.,2020-04-23 18:46:10+00:00,5885962,233662,16757,43962,5.315090305263637,0.18814355778860062,5.001408435868258
Jake Paul,SURPRISING Best Friend with RILEY REID STRIP TEASE,2020-04-30 18:58:30+00:00,12262204,264519,13108,59331,4.458360722050867,0.22429768750070883,2.7479399298853617
Jake Paul,BOXING A YOUTUBER WHO SHOWED UP AT MY HOUSE,2020-05-07 18:11:47+00:00,2787946,85404,5639,14604,5.847986852917009,0.17099901643951104,3.789420598533831
Jake Paul,Riley Reid said YES to him.,2020-05-10 19:41:02+00:00,5063654,168941,5437,14058,12.01742779911794,0.08321248246429226,3.7213443098600343
Jake Paul,David Dobrik Showed Up At My House...,2020-05-14 19:01:04+00:00,4901530,145318,4530,23240,6.252925989672978,0.15992512971552045,3.531305531130076
Jake Paul,"Our $250,000 Dollar Date...",2020-05-17 19:10:06+00:00,3900595,122637,4603,12617,9.719980978045495,0.10288085977315166,3.585529899925524
Jake Paul,Riley Reid DUMPED Him... (sad),2020-05-21 19:26:24+00:00,4679594,155690,3698,12876,12.091488039763902,0.08270280685978547,3.681174050569344
Jake Paul,We finally addressed our past... (Dolan Twins),2020-05-28 19:22:56+00:00,2604810,105568,7382,22915,4.606938686449924,0.2170638829948469,5.215927457280953
Jake Paul,HE GOT MARRIED! *Riley Reid is MAD!*,2020-06-10 18:01:09+00:00,2338546,84041,4732,19793,4.245996059212853,0.23551599814376317,4.642457321771733
Jake Paul,The Story of How I Got Arrested...,2020-06-14 20:37:36+00:00,2960089,114561,8779,36533,3.1358224071387513,0.3188956101989333,5.400952471361503
Jake Paul,NELK got Rated R.,2020-06-25 18:07:17+00:00,1945693,75446,3293,8158,9.248100024515812,0.10813031837340614,4.466120811453811
Jake Paul,I BROKE MY RIB CAGE *we called an ambulance*,2020-06-28 19:05:05+00:00,3866773,139428,10049,19277,7.23286818488354,0.13825773876122444,4.364207570498708
Jake Paul,Meet Our HOT New Roommates!,2020-07-02 18:16:05+00:00,4080075,147375,11701,15259,9.658234484566485,0.10353859202714165,4.272838121848251
Jake Paul,I Caught Them Destroying My Lamborghini *FOOTAGE*,2020-07-05 19:54:27+00:00,4091940,130618,4462,14468,9.028061929776058,0.11076574438438806,3.6546967941856434
Jake Paul,I'm single and I hate Logan Paul.,2020-07-09 19:25:04+00:00,4568265,223026,6434,16072,13.87667994026879,0.07206334687435545,5.374731982492259
Jake Paul,Sex tape?,2020-07-12 19:50:55+00:00,6839009,165729,12588,32018,5.176119682678493,0.1931949145894804,3.0755186899154543
Jake Paul,Exposing the Hype House Members,2020-07-16 18:49:37+00:00,3093133,115824,3520,10864,10.661266568483063,0.09379748584058571,4.209582969759141
Jake Paul,SURPRISING Best Friend with EMILY WILLIS STRIP TEASE,2020-07-19 18:44:32+00:00,8483974,165074,6252,32686,5.0502967631401825,0.1980081660346269,2.404674978966225
Jake Paul,"Behind the scenes of ""Fresh Outta London""",2020-07-23 19:47:36+00:00,2481947,111594,4519,15847,7.04196377863318,0.1420058426080255,5.316793630162127
Jake Paul,Jake Paul - Fresh Outta London (Official Music Video),2020-07-24 16:00:11+00:00,31333939,592825,100940,539738,1.0983569806091102,0.9104508075739046,3.9366356077989426
Jake Paul,KSI is *REALLY* sad...,2020-07-30 18:15:45+00:00,3056596,127081,25597,132244,0.9609585311999032,1.0406276311958516,9.321545928869893
Jake Paul,Logan and I address our issue...,2020-08-02 17:41:27+00:00,3776940,126123,9304,36224,3.4817524293286217,0.2872116901754636,4.544710797629827
Jake Paul,Jake Paul - 23 (Official Music Video) Starring Logan Paul,2020-09-10 17:00:10+00:00,26397370,411504,54292,312686,1.3160294992420511,0.7598613865235818,2.949089246390834
Jake Paul,Jake Paul vs Ryan Garcia is happening?,2020-09-23 18:56:41+00:00,4120221,101478,11210,44939,2.25812768419413,0.44284475452807504,3.825692845116803
Jake Paul,i'm happy.,2020-10-13 17:52:33+00:00,2261085,92475,7145,31021,2.981045098481674,0.33545282508786156,5.777801365273751
Jake Paul,Jake Paul - DUMMY ft. TVGUCCI (Official Lyric Video),2020-10-21 17:36:36+00:00,4462194,60650,15435,82098,0.7387512485078809,1.3536356141797197,3.5449601698178066
Jake Paul,Jake Paul & Mike Tyson (OFFICIAL FIGHT TRAILER),2020-10-31 19:17:16+00:00,1903757,63116,5298,16063,3.9292784660399676,0.25449965143545217,4.437383552627778
Jake Paul,She cheated.,2020-11-07 17:00:08+00:00,3038939,86047,3307,20217,4.256170549537518,0.23495299080734947,3.605567601060765
Jake Paul,I Won’t Lose - Jake Paul Vs Nate Robinson (Episode 1),2020-11-09 17:00:23+00:00,1638480,57000,4492,11228,5.07659422871393,0.19698245614035087,4.438259850593233
Jake Paul,I Won’t Lose - Jake Paul Vs Nate Robinson (Episode 2),2020-11-16 19:41:10+00:00,1137986,46888,3725,7044,6.656445201590006,0.15023033612011602,5.066582541437241
Jake Paul,Are we dating again?,2020-11-20 19:24:24+00:00,4436156,117275,6763,34978,3.3528217736863173,0.29825623534427625,3.5845448176303987
Jake Paul,I Won’t Lose - Jake Paul Vs Nate Robinson (Episode 3),2020-11-23 19:42:02+00:00,1193004,43804,3233,7509,5.833533093620988,0.17142270112318508,4.572155667541768
Jake Paul,Jake Paul - Park South Freestyle (Official Music Video) Ft. Mike Tyson,2020-11-25 16:00:10+00:00,16530849,221215,21713,109705,2.016453215441411,0.49592025857197747,2.1331814234102553
Jake Paul,Jake Paul & Nate Robinson Weigh-In & Face-Off Ahead Of Fight,2020-11-27 22:57:41+00:00,1615928,34229,1857,7797,4.390021803257663,0.22778930146951415,2.715653172666109
Jake Paul,Jake Paul Defeats Nate Robinson Via Second-Round Knockout (FULL FIGHT),2020-11-29 05:39:45+00:00,11700407,260829,34654,32597,8.001625916495383,0.12497460021700041,2.804005023073129
Jake Paul,my message to KSI. lmao.,2020-11-29 23:12:50+00:00,4634543,164568,34154,162256,1.0142490878611576,0.9859510962033932,7.7888585778576225
Jake Paul,goodbye california. a new chapter.,2020-12-30 16:58:08+00:00,6525736,142028,25871,87633,1.6207136580968358,0.6170121384515729,3.9157575482673526
Jake Paul,My Message To Conor McGregor.,2021-01-24 06:46:57+00:00,4505385,91706,23560,148939,0.6157285868711352,1.6240922077072384,5.864204723902619
Jake Paul,"let’s talk about my new fight, KSI, miami, and more",2021-01-27 16:16:12+00:00,1494292,59171,11761,53479,1.1064343013145346,0.903804228422707,8.325748916543754
Jake Paul,I Took Erika On A Date (Jerika Reunites),2021-03-03 18:33:58+00:00,3325789,109774,6483,28383,3.867596800901948,0.25855849290360194,4.349043189450684
Jake Paul,ERIKA SURPRISED ME WITH THIS...,2021-03-23 16:44:42+00:00,2216459,76576,4111,13243,5.78237559465378,0.17293930213121605,4.237840627776106
Jake Paul,Jake Paul & Ben Askren OFFICIAL PRESS CONFERENCE & FACE-OFF,2021-03-26 23:13:30+00:00,1609492,33718,6090,11720,2.876962457337884,0.347588824959962,3.201507059370286
Jake Paul,The Reason I Became A Fighter (5 DAY COUNTDOWN),2021-04-12 18:23:26+00:00,1522880,69302,7068,13447,5.153714583178404,0.19403480419035526,5.897838306366884
Jake Paul,Jake Paul VS. Ben Askren OFFICIAL Open Workout,2021-04-14 16:56:27+00:00,854458,18811,1523,2299,8.18225315354502,0.12221572484184785,2.648813633905938
Jake Paul,Jake Paul vs Logan Paul Sparring,2021-04-14 17:56:12+00:00,3057155,117438,5979,43032,2.729085331846068,0.3664231339089562,5.444571832308142
Jake Paul,Jake Paul vs Ben Askren - FINAL PRESS CONFERENCE [LIVE],2021-04-15 17:17:44+00:00,850627,20823,1148,2193,9.495212038303693,0.10531623685347932,2.840728074702543
Jake Paul,Jake Paul vs Ben Askren - FACE 2 FACE (2 DAY COUNTDOWN),2021-04-15 18:03:57+00:00,2787609,74362,7020,11232,6.620548433048433,0.15104488851832926,3.3223454221879756
Jake Paul,Jake Paul vs Ben Askren - Official Weigh In [FINAL FACE OFF],2021-04-16 22:30:35+00:00,1739280,33466,3593,5089,6.576144625663195,0.15206478216697544,2.4233015960627386
Jake Paul,The most important day of my life,2021-04-17 16:16:20+00:00,1928984,87310,7591,15573,5.606498426764271,0.1783644485167793,5.727056315656324
Jake Paul,Jake Paul vs Ben Askren [LIVE] PPV Preview,2021-04-18 01:17:54+00:00,3577682,53169,2564,8779,6.056384554049436,0.1651150106264929,1.8031787062125701
Jake Paul,Logan Told Me Not To Fight This Guy... (FIGHT ANNOUNCEMENT),2021-06-01 14:18:44+00:00,2800032,105653,7743,27626,3.824404546441758,0.26147861395322425,5.036442440657821
Jake Paul,Jake Paul vs Tyron Woodley Face Off,2021-06-03 23:42:18+00:00,2055845,62525,6948,12562,4.977312529851934,0.20091163534586165,3.9903300102877406
Jake Paul,My proudest moment as a brother..,2021-06-29 17:39:57+00:00,2730030,101828,2470,12409,8.205979530985575,0.12186235612994462,4.274934707677205
Jake Paul,Jake Paul vs Tyron Woodley OFFICIAL PRESS CONFERENCE & FACE-OFF,2021-07-13 20:56:32+00:00,1716940,43517,4500,4785,9.094461859979102,0.10995702828779558,3.075354992020688
Jake Paul,my dream came true.,2021-07-22 15:16:11+00:00,2724850,100661,5472,20413,4.931220300788713,0.20278956100177825,4.644145549296291
Jake Paul,Help Me,2021-08-03 19:41:35+00:00,1599563,66941,5847,16598,4.033076274249909,0.2479496870378393,5.58815126381393
Jake Paul,ALL ACCESS: Jake Paul vs. Woodley | Full Episode,2021-08-16 14:00:37+00:00,1147655,42259,2868,2330,18.136909871244637,0.05513618400814028,4.135127716953265
Jake Paul,Jake Paul vs Tyron Woodley - FINAL PRESS CONFERENCE [LIVE],2021-08-26 18:24:43+00:00,844878,23127,1693,1580,14.637341772151899,0.06831841570458771,3.1247114968078233
Jake Paul,Jake Paul vs Tyron Woodley - MVP FACE 2 FACE,2021-08-27 22:39:20+00:00,1395535,46333,10216,4584,10.107547993019198,0.09893596356808322,4.380613886430653
Jake Paul,Jake Paul vs Tyron Woodley - Official Weigh In [FINAL FACE OFF],2021-08-28 22:28:08+00:00,1140915,26267,1451,2504,10.490015974440894,0.09532873948300148,2.6489265195040823
Jake Paul,Jake Paul vs Tyron Woodley - Official Post Fight Press Conference [LIVE],2021-08-30 05:48:34+00:00,1223864,33393,1812,2987,11.179444258453298,0.08944988470637559,3.120608172149847
Jake Paul,How I Beat Tyron Woodley.,2021-09-05 17:56:26+00:00,2517163,77171,6973,12886,5.988747477882974,0.16697982402716047,3.8547364632326158
Jake Paul,I'M BACK.,2021-10-29 15:37:16+00:00,1449526,55917,4293,12404,4.507981296356014,0.22182878194466799,5.009499657129296
Jake Paul,All Access - Paul vs. Woodley 2 - Part 1,2021-12-13 21:52:15+00:00,507171,21623,1199,717,30.157601115760112,0.0331591361050733,4.641235401866432
Jake Paul,All Access- Paul vs. Woodley 2 - Part 2,2021-12-14 21:47:20+00:00,524558,20735,842,589,35.2037351443124,0.02840607668193875,4.225652835339467
Jake Paul,All Access- Paul vs. Woodley 2 - Part 3,2021-12-15 22:11:38+00:00,377974,13661,459,360,37.94722222222222,0.026352390015372228,3.8309513352770295
Jake Paul,Jake Paul vs Tyron Woodley 2 - MVP FACE 2 FACE,2021-12-17 06:14:15+00:00,793264,28845,1166,780,36.98076923076923,0.02704108164326573,3.8815577159684547
