YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Keith Olbermann,"October 6, 2020",2020-10-06 22:46:49+00:00,56683,4138,1135,1251,3.30775379696243,0.30231996133397776,11.509623696699187
Keith Olbermann,Olbermann Vs. Trump #1: Trump Is A Mass Murderer,2020-10-07 21:00:10+00:00,291858,14622,5927,5685,2.5720316622691293,0.38879770209273695,8.988617752468667
Keith Olbermann,Olbermann Vs. Trump #2: Trump's Plan To Nullify The Election,2020-10-08 21:27:54+00:00,225541,8738,5020,7365,1.1864222674813307,0.8428702220187686,9.365481220709317
Keith Olbermann,Worst Person In The World by Keith Olbermann. No. 3: Trump's Holy Grail Just Disappeared,2020-10-09 21:04:57+00:00,161407,8412,4557,5315,1.5826904985888994,0.6318354731336187,11.327885407696073
Keith Olbermann,Olbermann Vs. Trump #4: Trump Owned Stock In Regeneron,2020-10-12 20:55:05+00:00,117348,7283,1450,1002,7.2684630738522955,0.13758066730742827,8.29583802024747
Keith Olbermann,Olbermann Vs. Trump #5: Mitt Romney is an enabler of Trump's terrorism.,2020-10-13 21:08:21+00:00,88727,6920,1232,527,13.130929791271347,0.07615606936416185,9.781689902735357
Keith Olbermann,"Olbermann Vs. Trump #6: Trump Admits He's Losing; ""Unmask-Gate"" Fizzles",2020-10-14 20:56:33+00:00,92440,5607,983,362,15.488950276243093,0.06456215444979489,7.5205538727823456
Keith Olbermann,Olbermann Vs. Trump #7: GOP Senator Sasse Gives A Huge F-U to Trump,2020-10-15 21:09:20+00:00,137387,7291,1071,393,18.552162849872772,0.05390207104649568,6.372509771666897
Keith Olbermann,Olbermann Vs. Trump #8: Trump! Get Fauci's Face Off Your SCUMBAG TV ADS,2020-10-16 20:47:37+00:00,64443,5214,956,518,10.065637065637066,0.09934790947449175,10.378163648495569
Keith Olbermann,Olbermann Vs. Trump #9: Terrorist Trump Tips Parts Of Plan To Keep Power,2020-10-19 20:41:05+00:00,104602,6599,1345,449,14.697104677060134,0.06804061221397181,8.023747155886122
Keith Olbermann,Olbermann Vs. Trump #10-Trump's TIRED of Covid? I'M tired of him KILLING us,2020-10-20 20:41:42+00:00,106985,7561,1575,501,15.09181636726547,0.06626107657717233,9.007804832453148
Keith Olbermann,Olbermann Vs. Trump #11: Rudy Caught With His Borat Hanging Out; Kills Plan,2020-10-21 20:36:37+00:00,322329,13252,1752,485,27.323711340206184,0.03659824932085723,4.805338644676712
Keith Olbermann,Olbermann Vs. Trump #12: Trump Needed A Debate Knockout. He Didn't Get It,2020-10-22 20:43:21+00:00,208635,8765,1150,363,24.146005509641874,0.04141471762692527,4.9263067078869796
Keith Olbermann,"Olbermann Vs. Trump #13: At The Debate, Trump Simply Ran Out Of Bullshit",2020-10-23 20:34:33+00:00,173215,9108,1384,550,16.56,0.06038647342995169,6.3747365990243345
Keith Olbermann,Olbermann vs. Trump #14: Pence Should've Been Arrested As Health Risk; it's now Trump-45/Covid-19,2020-10-26 20:35:19+00:00,159482,8374,1431,283,29.59010600706714,0.03379508000955338,6.325478737412372
Keith Olbermann,Olbermann vs. Trump #15: The 50 Worst Trump Atrocities,2020-10-27 20:38:26+00:00,249347,14325,1996,441,32.48299319727891,0.030785340314136125,6.7223588011887045
Keith Olbermann,Olbermann vs. Trump #16: Trump Is Sundowning,2020-10-29 20:42:31+00:00,441443,22425,2907,448,50.05580357142857,0.019977703455964325,5.839938565114862
Keith Olbermann,Olbermann vs. Trump #17: The 50 Worst Persons In Trump World,2020-10-30 20:41:25+00:00,213841,10295,1385,214,48.10747663551402,0.02078678970373968,5.562076496088215
Keith Olbermann,Olbermann vs. Trump #18: The 100 Cringeworthiest Trump Moments,2020-11-01 06:22:57+00:00,182958,8195,1214,286,28.653846153846153,0.0348993288590604,5.299030378556827
Keith Olbermann,Olbermann vs. Trump #19: Trump's Plan - Coup By Television,2020-11-02 21:40:45+00:00,151506,7847,1511,432,18.16435185185185,0.05505288645342169,6.461790292133644
Keith Olbermann,Olbermann vs. Trump #19 - In Brief - Trump's Planned Live Television Coup,2020-11-02 21:41:36+00:00,62082,3739,513,137,27.291970802919707,0.03664081305161808,7.069682033439645
Keith Olbermann,Olbermann vs. Trump #20 - Exorcism Or Dictatorship,2020-11-03 13:27:38+00:00,147727,6487,1052,285,22.76140350877193,0.043934021889933714,5.296255931549412
Keith Olbermann,Olbermann vs. Trump #21: I HEREBY CLAIM TRUMP THE LAME DUCK BLEW IT!,2020-11-04 21:39:40+00:00,207741,11423,1772,345,33.11014492753623,0.030202223583997198,6.5177312133859
Keith Olbermann,"Olbermann vs. Trump #22: Trump Loses Mind, Begins 2024 Campaign",2020-11-05 21:30:01+00:00,189281,7790,1806,704,11.065340909090908,0.09037227214377407,5.441644961723575
Keith Olbermann,Olbermann vs. Trump #22 Twitter,2020-11-05 21:31:45+00:00,83998,3877,656,256,15.14453125,0.06603043590404953,5.701326222052907
Keith Olbermann,"Olbermann vs. Trump #23: Amen To Biden's Unity Message. But First, 25th Trump. Arrest Bannon, Don Jr",2020-11-06 21:36:59+00:00,272635,13596,2135,453,30.013245033112582,0.03331862312444837,5.93614172795129
