YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
MandJTV,2020 Pokemon Meme Review,2020-01-04 16:15:00+00:00,2526058,47298,4269,1115,42.41973094170404,0.023573935472958687,2.0855419788460914
MandJTV,Easiest Shiny Pokemon in Every Game,2020-01-07 19:15:01+00:00,3266424,74449,5534,2252,33.05905861456483,0.030248895216859865,2.5175849797821717
MandJTV,Galarian Dustox and MORE?! Pokemon Sword & Shield DLC Analysis,2020-01-11 16:15:00+00:00,649025,18794,3783,697,26.96413199426112,0.037086304139619025,3.585994376179654
MandJTV,5 WILD Pokemon Battle Strategies That Actually Work,2020-01-14 19:02:31+00:00,932439,24534,1770,379,64.7335092348285,0.015447949783973262,2.8616349166004427
MandJTV,5 Pokemon You Should Never Use,2020-01-18 16:16:47+00:00,1436386,37560,3741,979,38.365679264555666,0.02606496272630458,2.9434984746440027
MandJTV,Every CRAZY Pokedex Entry in Pokemon Sword & Shield,2020-01-21 19:15:01+00:00,4076460,75462,7360,1424,52.99297752808989,0.018870424849593174,2.066646060552538
MandJTV,Best Starter Pokemon to Pick in Every Game,2020-01-25 16:15:00+00:00,6174754,114268,19673,7444,15.350349274583557,0.06514509749011096,2.289726845798229
MandJTV,Pokemon DLC Meme Review,2020-01-28 20:14:44+00:00,1929230,35618,3753,1262,28.223454833597465,0.03543152338705149,2.1061770758281804
MandJTV,How Temtem is DIFFERENT from Pokemon,2020-02-01 16:15:00+00:00,865243,21668,3076,585,37.03931623931624,0.02699833856378069,2.927385717076012
MandJTV,The *EXTRA ULTIMATE* Pokemon Tier List,2020-02-04 19:15:00+00:00,834464,18402,2314,801,22.973782771535582,0.04352787740462993,2.578541434981018
MandJTV,7 Pokemon Places You Forgot About,2020-02-11 19:15:00+00:00,2230037,60041,6777,1311,45.797864225781844,0.02183507936243567,3.0550614182634637
MandJTV,10 New Galarian Forms I Want in the DLC - Pokemon Sword & Shield,2020-02-15 17:50:06+00:00,804666,19181,4030,538,35.652416356877325,0.02804858975027371,2.9514108959493752
MandJTV,If I Was a Pokémon Gym Leader,2020-02-18 19:15:00+00:00,3300616,69395,7193,1291,53.75290472501936,0.018603645795806614,2.3595292515094153
MandJTV,Explaining My 2400+ Pokemon in Pokemon Home,2020-02-22 16:19:40+00:00,1584482,29687,3123,603,49.23217247097844,0.020311921042880723,2.1087648834130017
MandJTV,What is the Weakest Pokemon in EVERY Game?,2020-02-25 19:15:01+00:00,1965176,40936,2141,935,43.78181818181818,0.022840531561461794,2.2395958428150964
MandJTV,"1,000,000 Subs Pokemon Meme Review",2020-02-29 16:15:00+00:00,2485438,51060,6368,1014,50.35502958579882,0.019858989424206816,2.351376296652743
MandJTV,The Longest Journey a Pokemon Can Take,2020-03-03 19:15:02+00:00,2020532,57052,3018,1263,45.17181314330958,0.022137698941316692,3.0354876834417865
MandJTV,"10 Secrets Revealed by ""Pokemon of the Year""",2020-03-10 18:15:00+00:00,886732,26308,4032,749,35.12416555407209,0.028470427246464952,3.506019857183456
MandJTV,Which Region Has the Strongest Pokemon?,2020-03-17 18:15:02+00:00,1957387,48999,3996,1969,24.88522092432707,0.04018449356109308,2.808029275764067
MandJTV,10 Pokemon I Wish Were Better,2020-03-21 15:15:01+00:00,1612381,43293,5362,895,48.37206703910614,0.02067308802808768,3.0730950067012697
MandJTV,15 Surprising Pokemon Stats,2020-03-24 18:15:00+00:00,3133089,67961,5765,1708,39.789812646370024,0.02513206103500537,2.407655831034484
MandJTV,10 Pokemon With Useless Moves,2020-03-28 15:15:02+00:00,2406601,49782,4578,927,53.702265372168284,0.018621188381342656,2.297306450051338
