YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Markiplier,3 Scary Games #37,2020-01-01 17:00:08+00:00,6706002,186376,8445,1663,112.07215874924835,0.008922822681031893,2.92997228452959
Markiplier,REALLY GOOD HORROR GAME | The Possession Experiment,2020-01-03 16:00:14+00:00,6278084,217098,7770,1568,138.45535714285714,0.007222544657251564,3.6067691990103983
Markiplier,One Hour With Mr. Hopp,2020-01-05 16:00:00+00:00,2971420,126550,7268,890,142.19101123595505,0.007032793362307389,4.533455384967457
Markiplier,TERRIFYING CREEPYPASTA GAME | Theater Unrest,2020-01-06 16:00:07+00:00,3477769,122427,5827,920,133.07282608695652,0.007514682218791606,3.7142777453016578
Markiplier,kinda scary... | ANATOMY,2020-01-07 16:00:06+00:00,4100533,133529,8715,1238,107.85864297253634,0.009271394228968988,3.49910609181782
Markiplier,3 Scary Games #38,2020-01-08 16:00:07+00:00,4938258,153379,10375,1164,131.7689003436426,0.007589044132508362,3.33959870059442
Markiplier,Where Does YouTube Send New Viewers NOW IN 2020?!,2020-01-09 16:00:11+00:00,5428702,283739,13318,1910,148.55445026178012,0.006731538491360017,5.507154380549899
Markiplier,we're not getting out alive... | GTFO Part 1,2020-01-12 17:24:28+00:00,11376916,241625,9172,2105,114.78622327790974,0.008711846870150025,2.2229398547022763
Markiplier,THE CARD OF INFINITE SKIPS | UNO,2020-01-13 17:04:01+00:00,11287974,199968,5060,1874,106.70651013874067,0.009371499439910386,1.832941854756221
Markiplier,being eaten alive in front of my friends... | GTFO Part 2,2020-01-16 16:09:00+00:00,6374285,127541,3852,1009,126.40336967294351,0.00791118150241883,2.0771270817040657
Markiplier,The *NEW* Worst Game on Steam (3% positive reviews...),2020-01-17 17:06:50+00:00,7321615,295015,12799,3513,83.97808141189866,0.011907869091402132,4.252162944924036
Markiplier,Beating the First Level of GTFO SOLO,2020-01-18 16:21:59+00:00,3809171,120682,6429,890,135.59775280898876,0.007374753484363865,3.360337459252945
Markiplier,3 SCARY GAMES #39,2020-01-19 17:15:00+00:00,6372233,177218,9514,1629,108.78944137507673,0.00919206852577052,2.9559653578266833
Markiplier,Escape the Ayuwoki: Steam Edition - Part 1,2020-01-22 16:21:43+00:00,4952621,181745,10438,1097,165.67456700091157,0.006035929461608297,3.9025800682103475
Markiplier,Granny Chapter 2 FULL GAME,2020-01-23 19:06:59+00:00,12629242,284819,12733,3076,92.59395318595578,0.01079984130272208,2.38041206273504
Markiplier,2nd Level of GTFO Solo'd,2020-01-24 16:00:02+00:00,2750897,79056,3808,446,177.2556053811659,0.005641570532280915,3.0284667146752495
Markiplier,Escape the Ayuwoki: Steam Edition - Part 2,2020-01-26 18:20:43+00:00,2645109,106143,6005,620,171.19838709677418,0.005841176526007367,4.263264765270542
Markiplier,SCP Needs Your Help,2020-01-27 16:00:07+00:00,3738515,301317,21049,1682,179.14209274673007,0.005582160979964622,8.667826663795651
Markiplier,maybe WE'RE the monsters... | GTFO Part 3,2020-01-28 16:00:09+00:00,4598171,99379,2703,631,157.4944532488114,0.006349429960051923,2.233779474491053
Markiplier,3 SCARY GAMES #40,2020-01-29 16:00:11+00:00,7929134,191667,9845,1553,123.41725692208628,0.008102594604183297,2.560998464649481
Markiplier,FIRE ABSOLUTELY EVERYTHING!! | GTFO Part 4,2020-01-30 17:00:16+00:00,3569300,76453,2210,464,164.76939655172413,0.006069088197977843,2.216877258846272
