YouTuber_Name,Title,Date,Duration_Seconds,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Miranda Sings,Trying To Get Pregnant.,2020-01-15 20:00:06+00:00,607,1352558,44892,2912,1493,30.068318821165438,0.03325759600819745,3.644723553444658
Miranda Sings,BABY NAME REVEAL!!!,2020-01-20 21:06:12+00:00,603,979584,32116,2569,737,43.576662143826326,0.022948063270643915,3.616024761531426
Miranda Sings,BABY GENDER REVEAL!,2020-01-29 18:28:51+00:00,902,1611534,39355,4227,1834,21.45856052344602,0.046601448354719854,2.818184413111979
Miranda Sings,"MY $100,000 VALENTINE PRESENT!",2020-02-14 18:00:17+00:00,609,212844,9499,800,272,34.92279411764706,0.028634593115064742,4.966548270094529
Miranda Sings,HOW TO GET FAMOUS ON TIK TOK! *EASY*,2020-02-20 19:39:03+00:00,646,1531825,37219,2526,2236,16.6453488372093,0.06007684247293049,2.7405872080688067
Miranda Sings,REACTING TO DAVID DOBRIK SHOCKING VIDEOS!,2020-02-27 20:13:45+00:00,602,291733,12945,1021,349,37.09169054441261,0.026960216299729625,4.906884034373896
Miranda Sings,Why Miranda Sings Left YouTube...,2020-03-16 20:26:32+00:00,632,533130,22130,3369,601,36.82196339434276,0.027157704473565296,4.895616453773001
Miranda Sings,I DARE YOU TO WATCH THIS!,2020-03-20 20:08:10+00:00,74,546355,19375,1179,568,34.110915492957744,0.029316129032258064,3.86598457047158
Miranda Sings,Becoming Friends With Charli D'amelio! - EPISODE 1,2020-03-23 19:00:00+00:00,602,2823214,77938,5835,2754,28.299927378358753,0.0353357797223434,3.064840284866822
Miranda Sings,JOJO SIWA TALKS ABOUT HER BOYFRIEND! - EPISODE 2!,2020-03-27 19:00:02+00:00,611,1453456,38488,2741,1699,22.653325485579753,0.044143629183122014,2.953512180623287
Miranda Sings,HELP ME!  I BEEN LOCKED IN HERE FOR DAYS!,2020-03-31 21:45:06+00:00,1223,891943,29970,11994,1300,23.053846153846155,0.04337671004337671,4.85053417090554
Miranda Sings,BECOMING THE TIGER KING!!! -- EPISODE 3,2020-04-08 20:00:02+00:00,606,932776,27382,2291,853,32.10082063305979,0.0311518515813308,3.2725970651045913
Miranda Sings,I Can't Believe She's Gone...,2020-04-17 20:00:01+00:00,736,3553249,115533,20712,4500,25.674,0.03894991041520605,3.961022714704204
Miranda Sings,I MADE AN ALBUM!!! *NOT CLICKBAIT*,2020-05-08 20:00:23+00:00,643,475395,21612,3341,1373,15.740713765477057,0.06352952063668332,5.537710745800861
Miranda Sings,THE FUNNIEST TIKTOKS OF 2020!,2020-05-18 19:03:25+00:00,609,1366618,41138,3294,2081,19.768380586256608,0.05058583304973504,3.403511442114768
Miranda Sings,HOUSE TOUR!!! My Hollywood Mansion!,2020-05-21 18:56:08+00:00,634,721821,29430,3550,2195,13.407744874715261,0.0745837580699966,4.873091805309072
Miranda Sings,TINY MOUTH MAKEUP CHALLENGE!,2020-05-26 18:51:46+00:00,696,1561874,45734,5231,2170,21.07557603686636,0.047448287925831986,3.4020029784732952
Miranda Sings,MIRANDA SINGS IS CANCELLED!,2020-06-09 22:10:46+00:00,608,505465,35278,8740,1555,22.686816720257234,0.04407846249787403,9.01605452405211
Miranda Sings,CONFRONTING MY HATERS ON FACETIME!,2020-06-18 18:30:07+00:00,1658,1457508,51818,5840,1852,27.979481641468684,0.035740476282372924,4.082996456966273
Miranda Sings,MIRANDA SINGS  EXTREME SEXY MAKEOVER,2020-06-25 19:00:00+00:00,628,742672,31398,4800,1309,23.986249045072576,0.04169055353844194,5.05027791541892
Miranda Sings,PIERCING MY OWN EARS!,2020-07-02 20:00:04+00:00,853,3477809,79873,14835,7019,11.379541245191623,0.08787700474503274,2.9250312481220218
Miranda Sings,I JOINED THE HYPE HOUSE!,2020-07-13 20:04:48+00:00,602,573875,32029,3533,967,33.12202688728025,0.030191389053670113,6.365323458941408
Miranda Sings,Be Happy - Dixie D'Amelio (Miranda Sings),2020-07-17 19:11:06+00:00,238,1383311,54813,7141,5943,9.223119636547198,0.1084231842811012,4.908296109840809
Miranda Sings,Addressing The Hate Comments,2020-07-24 17:00:15+00:00,718,387586,23152,6377,1253,18.477254588986433,0.05412059433310297,7.941979328458716
Miranda Sings,DYING MY HAIR BRIGHT BLUE! *ITS RUINED!*,2020-07-31 19:08:39+00:00,619,891280,35784,5223,1672,21.401913875598087,0.046724793203666445,4.788506417736289
Miranda Sings,THE END OF MIRANDA SINGS,2020-08-12 20:20:10+00:00,537,726910,41421,18786,2958,14.003042596348884,0.0714130513507641,8.68952139879765
Miranda Sings,JOJO SIWA GETS EXPOSED FOR HER LIES!,2020-08-17 19:05:16+00:00,578,2621634,82247,13951,17001,4.837774248573614,0.20670662759735917,4.317879612485953
