YouTuber_Name,Title,Date,Duration_Seconds,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
PM7,Space Pokemon Forms!? Pokemon Attack On The Space Station Part 1,2020-03-03 20:31:36+00:00,1829,32036,891,95,10,89.1,0.01122334455667789,3.1090023723311275
PM7,INCREDIBLE New Electrode Form! Pokemon Attack On The Space Station,2020-03-05 21:15:45+00:00,1633,8227,316,36,2,158.0,0.006329113924050633,4.30290506867631
PM7,Space Walrein Is Unstoppable! Pokemon Attack On The Space Station,2020-03-07 21:38:43+00:00,1701,6655,253,45,2,126.5,0.007905138339920948,4.507888805409467
PM7,New Deoxys Form!? Pokemon Attack On The Space Station,2020-03-09 19:30:09+00:00,1802,6775,241,41,2,120.5,0.008298755186721992,4.191881918819188
PM7,Playing As A Pokemon!? Steve The Bibarel: Heart Of Darkness Part 1,2020-03-11 20:22:05+00:00,1756,29752,898,160,12,74.83333333333333,0.013363028953229399,3.596396880881957
PM7,Into The Darkness! Steve The Bibarel: Heart Of Darkness,2020-03-13 20:23:16+00:00,1652,9613,334,48,5,66.8,0.014970059880239521,4.025798398002705
PM7,Conquering The Darkness! Steve The Bibarel: Heart Of Darkness,2020-03-15 20:14:09+00:00,849,6615,291,27,3,97.0,0.010309278350515464,4.852607709750567
PM7,Pokemon Nuzlocke With My Girlfriend! Pokemon Uranium Part 1,2020-03-19 19:52:44+00:00,2159,55940,1333,133,22,60.59090909090909,0.016504126031507877,2.659992849481587
PM7,The BEST Frogger Game! Frogger 2: Swampy's Revenge Part 1,2020-03-20 19:29:33+00:00,1844,4067,124,30,4,31.0,0.03225806451612903,3.8849274649618883
PM7,The PERFECT New Pokemon! Pokemon Uranium Nuzlocke,2020-03-21 18:45:51+00:00,1807,19957,574,80,7,82.0,0.012195121951219513,3.312121060279601
PM7,First Gym And Bad Business! Pokemon Uranium Nuzlocke,2020-03-23 19:29:26+00:00,2076,17856,509,111,9,56.55555555555556,0.01768172888015717,3.522625448028674
PM7,Frogger HATES Lava! Frogger 2: Swampy's Revenge,2020-03-24 19:48:57+00:00,2097,1537,81,22,2,40.5,0.024691358024691357,6.831489915419649
PM7,Can A Website Figure Out My Favorite Pokemon!?,2020-03-25 19:22:18+00:00,1592,453883,8883,818,380,23.376315789473683,0.042778340650681076,2.221056968425784
PM7,Frogger Takes On Space! Frogger 2: Swampy's Revenge,2020-03-26 20:00:57+00:00,1627,1535,78,22,0,,0.0,6.514657980456026
PM7,The WORST Team Ever! Pokemon Uranium Nuzlocke,2020-03-27 19:30:29+00:00,1973,15844,447,85,3,149.0,0.006711409395973154,3.376672557434991
PM7,The Rise Of Treeby! Frogger 2: Swampy's Revenge,2020-03-28 20:20:45+00:00,1525,1538,68,25,0,,0.0,6.046814044213264
PM7,Nicky vs The Gym Leader! Pokemon Uranium Nuzlocke,2020-03-29 19:27:35+00:00,2409,14127,400,55,3,133.33333333333334,0.0075,3.2420188291923266
PM7,The BEST Pokemon EVER! Pokemon Uranium Nuzlocke,2020-03-31 20:30:43+00:00,1727,11991,362,72,3,120.66666666666667,0.008287292817679558,3.6443999666416484
PM7,Our FIRST Nuzlocke Death! Pokemon Uranium Nuzlocke,2020-04-02 20:28:50+00:00,1908,11868,363,75,3,121.0,0.008264462809917356,3.7158746208291205
PM7,Nicky Found A Shiny Pokemon! Pokemon Uranium Nuzlocke,2020-04-05 19:29:51+00:00,1980,13396,410,163,7,58.57142857142857,0.01707317073170732,4.329650641982681
PM7,The Shiny John Guy Evolves! Pokemon Uranium Nuzlocke,2020-04-08 19:57:43+00:00,2111,12618,421,96,5,84.2,0.011876484560570071,4.136947218259629
PM7,Hatching A Mystery Egg! Pokemon Uranium Nuzlocke,2020-04-11 20:28:21+00:00,1895,11972,332,40,3,110.66666666666667,0.009036144578313253,3.1323087203474773
PM7,Atlanta Falinks Draft Analysis (TBL Season 1),2020-04-12 19:30:07+00:00,2587,5823,209,26,2,104.5,0.009569377990430622,4.070066975785677
PM7,Nuclear Form Pokemon!? Pokemon Uranium Nuzlocke,2020-04-14 20:31:33+00:00,2086,10666,368,55,4,92.0,0.010869565217391304,4.003375210950685
PM7,Underleveled At The Water Gym! Pokemon Uranium Nuzlocke,2020-04-16 21:30:16+00:00,2074,9857,335,35,2,167.5,0.005970149253731343,3.773967738662879
PM7,Melmetal vs Mamoswine: Battle Of Titans - TBL S1W1,2020-04-17 20:30:36+00:00,1941,7646,316,34,5,63.2,0.015822784810126583,4.642950562385561
PM7,The Sleep Deprived Episode! Pokemon Uranium Nuzlocke,2020-04-20 20:32:05+00:00,2322,9631,309,68,5,61.8,0.016181229773462782,3.9663586335790675
PM7,Finally Evolving Our Starter Pokemon! Pokemon Uranium Nuzlocke,2020-04-22 20:30:41+00:00,2084,10231,303,69,7,43.285714285714285,0.0231023102310231,3.704427719675496
PM7,RAGE At The 1st Gym! Pokemon B2W2 Metronome Nuzlocke,2020-04-24 18:32:26+00:00,2248,317393,7057,672,91,77.54945054945055,0.0128949978744509,2.4638224535512756
PM7,We HATE Nuclear Pokemon! Pokemon Uranium Nuzlocke,2020-04-25 18:46:08+00:00,2116,9000,310,69,7,44.285714285714285,0.02258064516129032,4.288888888888889
PM7,Queen Of The Jungle! Pokemon Uranium Nuzlocke,2020-04-28 19:55:33+00:00,2327,10007,357,57,5,71.4,0.014005602240896359,4.187069051663835
PM7,How Am I So UNLUCKY?! Pokemon B2W2 Metronome Nuzlocke,2020-04-29 18:31:18+00:00,1960,168941,4122,650,48,85.875,0.011644832605531296,2.8530670470756063
PM7,The Legendary Bug Queen! Pokemon Uranium Nuzlocke,2020-04-30 19:34:12+00:00,2344,9497,362,94,3,120.66666666666667,0.008287292817679558,4.833105191112983
PM7,Bronzong Steals The Show! - TBL S1W3,2020-05-01 20:13:44+00:00,2218,5181,233,36,3,77.66666666666667,0.012875536480686695,5.249951746767033
PM7,Spiraling Out Of Control! Pokemon Uranium Nuzlocke,2020-05-03 20:29:44+00:00,2295,9027,328,64,3,109.33333333333333,0.009146341463414634,4.375761604076659
PM7,MandJTV Laughs at My Pain! Pokemon B2W2 Metronome Nuzlocke,2020-05-04 18:22:08+00:00,2255,149866,3990,666,25,159.6,0.006265664160401002,3.1234569548796927
PM7,The Famous Dunsparce Evolution! Pokemon Uranium Nuzlocke,2020-05-05 20:36:45+00:00,2088,10519,362,68,7,51.714285714285715,0.019337016574585635,4.154387299172925
PM7,Nicky's WORST Nightmare! Pokemon Uranium Nuzlocke,2020-05-07 19:39:49+00:00,2816,9631,314,85,2,157.0,0.006369426751592357,4.163638251479597
PM7,MandJTV STILL Laughing At My Pain! Pokemon B2W2 Metronome Nuzlocke,2020-05-08 18:44:52+00:00,2674,141146,3645,793,36,101.25,0.009876543209876543,3.1697674748133142
PM7,Stealing MandJTV's Metronome Nuzlocke Luck!,2020-05-09 19:31:25+00:00,1814,61752,2102,157,37,56.810810810810814,0.017602283539486202,3.7180981992486073
PM7,NEW Nuclear Type Eeveelution! Pokemon Uranium Nuzlocke,2020-05-10 18:15:22+00:00,2076,8422,320,77,4,80.0,0.0125,4.761339349323201
PM7,Garlikid The Legendary! Pokemon Uranium Nuzlocke,2020-05-12 18:30:14+00:00,2332,10265,347,66,5,69.4,0.01440922190201729,4.072089624939113
PM7,I STOLE MandJTV's Luck! B2W2 Metronome Nuzlocke,2020-05-13 17:19:44+00:00,2297,90422,2758,556,23,119.91304347826087,0.008339376359680928,3.690473557320121
PM7,The TOUGHEST Gym Yet! Pokemon Uranium Nuzlocke,2020-05-14 19:14:47+00:00,2542,9926,371,93,5,74.2,0.013477088948787063,4.724964739069112
PM7,We Actually Brought Offensive Mandibuzz - TBL S1W5,2020-05-16 16:30:43+00:00,1963,5493,248,27,3,82.66666666666667,0.012096774193548387,5.060986710358638
PM7,Legendary Birds HATE MandJTV! B2W2 Metronome Nuzlocke,2020-05-18 17:15:15+00:00,2133,81691,2468,379,15,164.53333333333333,0.006077795786061589,3.503445912034373
PM7,Crazy NEW Dragon Pokemon! Pokemon Uranium Nuzlocke,2020-05-19 18:15:17+00:00,2107,7599,307,54,2,153.5,0.006514657980456026,4.776944334780892
PM7,My Girlfriend Battles The FINAL Gym! Pokemon Uranium Nuzlocke,2020-05-21 19:44:34+00:00,3088,12397,393,101,5,78.6,0.01272264631043257,4.025167379204646
PM7,Random LEGENDARY Pokemon! Pokemon B2W2 Metronome Nuzlocke,2020-05-22 18:29:26+00:00,2232,94126,2682,574,32,83.8125,0.011931394481730051,3.4931899793893293
PM7,Finally Taking On URAYNE! Pokemon Uranium Nuzlocke,2020-05-26 18:46:54+00:00,2727,9073,328,46,4,82.0,0.012195121951219513,4.16620742863441
PM7,MandJTV Might LOSE! Pokemon B2W2 Metronome Nuzlocke,2020-05-27 16:45:43+00:00,2316,81713,2598,614,16,162.375,0.006158583525789068,3.9504118071787846
PM7,DISASTER In Victory Road! Pokemon Uranium Nuzlocke,2020-05-28 18:15:20+00:00,2982,10344,361,82,3,120.33333333333333,0.008310249307479225,4.311678267594741
PM7,"""It Won't KO"" - TBL S1W7",2020-05-30 20:12:44+00:00,1648,4731,211,42,3,70.33333333333333,0.014218009478672985,5.411118156837878
PM7,The FINAL Uranium Battle! Pokemon Uranium Nuzlocke,2020-05-31 19:05:58+00:00,3597,15617,515,117,5,103.0,0.009708737864077669,4.078888390856118
PM7,Hidden Grotto LEGENDARY!? Pokemon B2W2 Metronome Nuzlocke,2020-06-03 18:16:19+00:00,2430,91856,2709,572,36,75.25,0.013289036544850499,3.6110869186552867
PM7,OP Togepi?! Pokemon EVERYTHING RANDOM Nuzlocke Part 1,2020-06-07 17:16:47+00:00,1915,353602,7672,609,156,49.17948717948718,0.020333680917622523,2.386015916199569
PM7,The Legends STRIKE BACK! Pokemon B2W2 Metronome Nuzlocke,2020-06-08 17:18:57+00:00,1990,71029,2459,328,9,273.22222222222223,0.0036600244001626678,3.9364203353559812
PM7,STRONGEST Pokemon Ever!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-09 17:15:48+00:00,1893,132645,3796,341,29,130.89655172413794,0.007639620653319284,3.1407139356930154
PM7,BEST Random Evolution!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-11 17:18:18+00:00,2049,95877,2494,249,27,92.37037037037037,0.01082598235765838,2.8891183495520303
PM7,Victory Road DISASTER! Pokemon B2W2 Metronome Nuzlocke,2020-06-12 18:16:09+00:00,3624,88119,2378,393,23,103.3913043478261,0.009671993271656855,3.170712332187156
PM7,I Might LOSE!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-14 17:17:16+00:00,2217,75770,1962,227,22,89.18181818181819,0.011213047910295617,2.9180414412036426
PM7,MandJTV CURSED Me! Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-16 17:17:40+00:00,2406,83598,2100,221,32,65.625,0.015238095238095238,2.8146606378143018
PM7,RANDOM Wonder Guard Pokemon! Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-18 17:15:14+00:00,1976,58930,1685,244,16,105.3125,0.009495548961424332,3.3005260478533853
PM7,NEW Starter Types! Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-21 17:15:01+00:00,2148,73943,1885,150,24,78.54166666666667,0.01273209549071618,2.784577309549247
PM7,HUGE POWER Lugia!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-28 17:15:13+00:00,2235,47489,1591,237,6,265.1666666666667,0.003771213073538655,3.861946977194719
PM7,Is This The END!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-06-30 17:15:35+00:00,2144,44557,1437,287,20,71.85,0.013917884481558803,3.9140875732208182
PM7,Random Encounter NIGHTMARE! Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-02 17:15:00+00:00,2114,36433,1114,102,8,139.25,0.00718132854578097,3.359591579062937
PM7,RANDOM Egg Hatch! Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-05 17:15:01+00:00,1939,36095,1156,140,12,96.33333333333333,0.010380622837370242,3.623770605347001
PM7,I HATE Crits! Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-07 17:46:49+00:00,2042,30777,1043,147,8,130.375,0.007670182166826462,3.892517139422296
PM7,INCREDIBLE Random Pokemon! Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-09 17:20:04+00:00,2195,38100,1205,163,17,70.88235294117646,0.014107883817427386,3.635170603674541
PM7,Can I Beat Pokemon Snap Blindfolded?,2020-07-11 18:15:27+00:00,1677,32512,949,53,13,73.0,0.0136986301369863,3.121924212598425
PM7,BEST Random Legendary!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-14 18:14:32+00:00,2121,32336,1127,115,16,70.4375,0.01419698314108252,3.8904007916872834
PM7,Legendary REDEMPTION!? Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-16 17:14:41+00:00,2009,34598,1129,135,15,75.26666666666667,0.013286093888396812,3.6967454766171457
PM7,Pokemon Y But Every Trainer Has Legendary Pokemon,2020-07-20 15:14:41+00:00,2420,505207,13980,820,283,49.399293286219084,0.020243204577968528,2.9855089102090826
PM7,The FINAL Battle! Pokemon EVERYTHING RANDOM Nuzlocke,2020-07-22 17:15:16+00:00,2743,49076,1843,217,25,73.72,0.013564839934888768,4.248512511207108
PM7,I Am The BEST Metronome Nuzlocker EVER,2020-07-27 15:13:20+00:00,1966,20933,1083,108,17,63.705882352941174,0.01569713758079409,5.770792528543448
PM7,They Have Legendary Pokemon. I Don't,2020-07-29 17:56:18+00:00,2480,148641,4381,364,68,64.42647058823529,0.01552157041771285,3.238002973607551
PM7,Pokemon Nuzlocke But Pokemon Types Die,2020-08-02 17:16:07+00:00,2079,476594,10116,643,198,51.09090909090909,0.019572953736654804,2.299021808919122
PM7,Everyone Has Legendary Pokemon But Me,2020-08-04 18:15:55+00:00,2610,99928,2486,188,52,47.80769230769231,0.02091713596138375,2.727964134176607
PM7,BEST Early Nuzlocke Encounters Ever!,2020-08-07 17:14:25+00:00,2293,154813,3709,275,62,59.82258064516129,0.016716095982744674,2.6134756125131613
PM7,I Am King Of Fall Guys,2020-08-08 16:29:59+00:00,1444,34979,1116,61,14,79.71428571428571,0.012544802867383513,3.404900082906887
PM7,I Have To Kill A Shiny Pokemon Or I LOSE,2020-08-09 17:17:19+00:00,2307,133442,3194,638,68,46.970588235294116,0.021289918597370068,2.922618066275985
PM7,I'm The Only Trainer Without Legendary Pokemon,2020-08-11 18:13:30+00:00,2333,73332,1781,140,22,80.95454545454545,0.012352610892756879,2.6495936289750723
PM7,Box Art Legendary Tries To Kill A Typing,2020-08-13 18:14:57+00:00,2343,92780,2379,189,32,74.34375,0.013451029844472467,2.802328087949989
PM7,Beating Y But Every Trainer Has Legendary Pokemon,2020-08-14 17:15:55+00:00,2825,102939,2558,229,60,42.63333333333333,0.023455824863174355,2.7657156179873517
PM7,Pokemon But They Randomly Evolve Every Level,2020-08-17 16:15:19+00:00,2190,2798139,51128,2399,1648,31.024271844660195,0.032232827413550304,1.9718462878363083
PM7,Betting A Pokemon Type's Life,2020-08-19 17:15:53+00:00,1796,75628,1964,184,30,65.46666666666667,0.015274949083503055,2.8798857565980853
PM7,Unlimited FREE Master Balls!?,2020-08-21 18:51:50+00:00,2155,115195,2691,578,43,62.58139534883721,0.015979189892233372,2.8751247884022746
PM7,My Pokemon Randomly Evolve Every Level,2020-08-24 15:15:15+00:00,2042,709395,13664,612,323,42.303405572755416,0.023638758782201404,2.0579507890526436
PM7,PERFECT Master Ball Encounters!,2020-08-26 17:15:49+00:00,2277,166936,3247,251,72,45.09722222222222,0.02217431475207884,2.1385441127138543
PM7,Every Single Pokemon Randomly Evolves,2020-08-27 16:30:46+00:00,2012,259870,6099,404,133,45.857142857142854,0.021806853582554516,2.553584484549967
PM7,BEST Mega In The Grass!?,2020-08-28 17:14:29+00:00,2664,249028,4180,318,99,42.22222222222222,0.02368421052631579,1.8459771591949499
PM7,Pokemon But They Randomly Evolve Into Legendaries,2020-08-31 16:15:42+00:00,2300,325815,7327,428,160,45.79375,0.021837041080933532,2.4292926967757777
PM7,I Killed Another Typing,2020-09-02 17:45:39+00:00,2274,77636,1997,261,24,83.20833333333333,0.012018027040560842,2.939358029779999
PM7,BEST Random Evolution In Pokemon History,2020-09-04 15:15:23+00:00,2236,352480,7200,289,243,29.62962962962963,0.03375,2.1935996368588286
PM7,I Might Actually Lose..,2020-09-06 18:14:29+00:00,2397,64784,1755,208,26,67.5,0.014814814814814815,3.0702025191405284
PM7,The LUCKIEST Random Pokemon Evolutions Ever,2020-09-08 15:15:30+00:00,3170,309125,5659,319,164,34.50609756097561,0.02898038522707192,1.9868985038414881
PM7,Revenge Of The Pseudo Legendary Dragons,2020-09-10 17:16:46+00:00,2055,48949,1404,98,23,61.04347826086956,0.01638176638176638,3.1154875482645203
PM7,WORST Random Evolution In Pokemon History,2020-09-11 17:14:32+00:00,3045,196285,3581,286,102,35.1078431372549,0.028483663781066742,2.022059760042795
PM7,Pokemon But They Randomly Evolve In The Elite Four,2020-09-14 17:15:45+00:00,2670,552640,9300,368,334,27.84431137724551,0.035913978494623654,1.8098581354950782
PM7,Picking The Team Captain,2020-09-16 17:24:47+00:00,2321,53480,1371,112,15,91.4,0.010940919037199124,2.801047120418848
PM7,Beating Pokemon But They Randomly Evolve Every Level,2020-09-17 17:16:11+00:00,2663,225951,4715,258,140,33.67857142857143,0.029692470837751856,2.262880004956827
PM7,Ultra Necrozma Was Randomized To WHAT!?,2020-09-22 17:15:39+00:00,2101,87842,1849,162,29,63.758620689655174,0.01568415359653867,2.322351494729173
PM7,Mega Sharpedo The Type Killer!,2020-09-24 18:14:38+00:00,2492,49824,1263,125,27,46.77777777777778,0.021377672209026127,2.8399967886962107
PM7,Pokemon Nuzlocke But Pokemon Types Die Finale,2020-09-26 17:22:17+00:00,2922,88722,2044,146,28,73.0,0.0136986301369863,2.4999436441919705
PM7,Speedrunning Pokemon Crystal To Make Togepi Explode,2020-09-28 16:15:24+00:00,1226,33549,1315,112,17,77.3529411764706,0.012927756653992395,4.304152135682136
PM7,Pokemon But Half My Team Dies After Every Gym,2020-09-30 16:31:09+00:00,2406,139401,3633,274,61,59.557377049180324,0.016790531241398295,2.8464645160364705
PM7,Pokemon But Legendaries Kill Everything,2020-10-08 16:16:04+00:00,2327,61511,1674,180,30,55.8,0.017921146953405017,3.0628668043114238
PM7,Pokemon But Someone Who Can't See My Game Controls It,2020-10-15 16:15:11+00:00,1853,498652,11330,424,213,53.1924882629108,0.01879964695498676,2.3998700496538667
PM7,Pokemon But I Can Only Use Randomized Shinies,2020-10-31 15:38:32+00:00,1781,538966,12143,569,235,51.672340425531914,0.019352713497488266,2.4021923460849104
PM7,Reacting to MandJTV's Castform Run That I Was In,2020-11-05 19:43:28+00:00,3056,878383,17692,805,343,51.5801749271137,0.01938729369206421,2.1448502532494365
PM7,I Found A Shiny Legendary Pokemon... Twice,2020-11-08 19:15:29+00:00,1726,226424,5460,389,101,54.05940594059406,0.0184981684981685,2.6278133060099638
PM7,We Pick Two Random Pokemon Then Race To Find Them,2020-11-13 16:44:53+00:00,1432,1215120,25426,757,518,49.084942084942085,0.02037284669236215,2.1973961419448287
PM7,I Can't Believe My Shiny Pokemon Evolved Into This,2020-11-17 17:21:31+00:00,1363,142322,3835,227,70,54.785714285714285,0.018252933507170794,2.903275670662301
PM7,I am SHOCKED By My Shiny Starter's Evolution,2020-11-24 17:15:48+00:00,1413,165804,4178,281,80,52.225,0.019147917663954045,2.7375696605630746
PM7,"If I Lose the Pokemon Nuzlocke, He Wins",2020-11-28 16:15:39+00:00,1980,784688,21086,1190,283,74.50883392226149,0.01342122735464289,2.874900597434904
PM7,Rival Reacts To Pokemon FireRed Normal Moves Only,2020-12-02 17:18:33+00:00,2623,1166174,23167,934,408,56.78186274509804,0.01761125739197997,2.101658929113494
PM7,"You Find a Shiny Pokemon, You Lose",2020-12-06 17:15:04+00:00,1271,1066174,25840,1274,455,56.79120879120879,0.017608359133126934,2.58578806086061
PM7,My Final Shiny,2020-12-09 19:20:32+00:00,2509,165647,4233,209,74,57.2027027027027,0.01748169147176943,2.726279377229892
PM7,Poketuber Reacts To The Most Viral Pokemon Series,2020-12-11 19:45:58+00:00,3148,873012,15998,656,295,54.23050847457627,0.018439804975621952,1.9414395220226068
PM7,3 PokeTubers Try To Beat 1 Pokemon Game,2020-12-13 16:16:08+00:00,1915,1087927,26205,1747,425,61.65882352941176,0.016218278954398015,2.608355156182354
PM7,Pokemon But I Only Use Unreleased Pokemon,2020-12-17 16:14:14+00:00,1594,373837,11001,880,166,66.2710843373494,0.015089537314789564,3.222527465178674
PM7,3 PokeTubers Try to Beat 1 Nuzlocke... Sorta,2020-12-20 17:59:08+00:00,1727,545969,14248,1645,182,78.28571428571429,0.012773722627737226,2.944306361716508
PM7,PokeTuber Reacts To Jaiden's Platinum Nuzlocke,2020-12-23 17:52:28+00:00,2002,1657670,37425,1637,1048,35.71087786259542,0.028002672010688043,2.419661331869431
PM7,We Pick Four Random Pokemon Then Race To Find Them,2020-12-26 17:15:01+00:00,1485,865807,18373,483,307,59.846905537459286,0.016709301692701246,2.2133108186928494
PM7,Can I Beat A Nuzlocke Only Using My Starter Pokemon,2021-01-03 17:09:55+00:00,1692,85875,3176,377,59,53.83050847457627,0.01857682619647355,4.206113537117904
PM7,Can 3 PokeTubers Beat Pokemon Platinum,2021-01-09 16:15:10+00:00,3063,620659,14724,1613,316,46.59493670886076,0.021461559358869873,2.683115849443898
PM7,We React To Our Pokemon Metronome Nuzlocke,2021-01-14 16:25:52+00:00,1960,263579,8276,488,80,103.45,0.009666505558240696,3.3553507677015237
PM7,Last To Survive Unlimited Pokemon Battles Wins,2021-01-20 16:44:31+00:00,1452,863434,21558,637,305,70.68196721311476,0.014147880137304017,2.6058737552609696
PM7,Pokemon But the Game Ends When I Hit 100k Subs,2021-02-02 16:15:06+00:00,2179,105394,4690,313,41,114.39024390243902,0.008742004264392323,4.7858511869745906
PM7,"You Find a Shiny Pokemon, You Lose",2021-02-04 19:15:57+00:00,1110,1519815,32057,1235,521,61.52975047984645,0.01625230058957482,2.2248102565114833
PM7,Pokemon But They Randomly Evolve Every Level Nuzlocke,2021-02-06 16:17:36+00:00,2246,1922407,35029,1425,1173,29.862745098039216,0.0334865397242285,1.9572858400952555
