YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
Purplecliffe,Can Twitch Chat build THE BEST Pokemon Deck?,2020-06-15 21:15:01+00:00,67980,1677,87,16,104.8125,0.009540846750149075,2.6184171815239776
Purplecliffe,I randomized the stats of pokemon,2020-08-06 22:03:39+00:00,488106,9688,393,214,45.271028037383175,0.022089182493806772,2.1091730075024686
Purplecliffe,I Am The Luckiest Pack Opener,2020-08-16 22:48:00+00:00,635288,9403,552,269,34.95539033457249,0.028607891098585556,1.6093488307665185
Purplecliffe,Pokemon Death = I Do A Dare,2020-09-11 14:01:54+00:00,624647,11101,704,170,65.3,0.015313935681470138,1.9170827683475629
Purplecliffe,My Pokemon Game is Broken,2020-09-22 13:24:33+00:00,431894,7279,325,94,77.43617021276596,0.012913861794202501,1.7823817881239379
Purplecliffe,Pokemon Emerald But HARDCORE,2020-09-28 20:02:18+00:00,1917592,33420,1627,874,38.23798627002288,0.026152004787552363,1.8732347652681072
Purplecliffe,The End Of Our Journey,2020-10-03 19:25:03+00:00,224400,4948,359,62,79.80645161290323,0.012530315278900566,2.392602495543672
Purplecliffe,The King of Legendaries,2020-10-09 14:17:58+00:00,646106,11799,478,240,49.1625,0.020340706839562676,1.9372982142249104
Purplecliffe,Pokemon Heart Gold but HARDCORE,2020-11-11 01:01:32+00:00,1537363,23297,1760,596,39.08892617449664,0.025582693050607376,1.6686364898856025
Purplecliffe,I Banned EVERYONE,2020-11-13 20:05:00+00:00,426849,9678,342,175,55.30285714285714,0.018082248398429427,2.388432443323049
Purplecliffe,The WORST Pokemon Player EVER,2020-11-15 22:32:11+00:00,220049,5275,238,48,109.89583333333333,0.009099526066350712,2.5271644042917716
Purplecliffe,Beat Me in a Pokemon Battle = Win $$$,2020-11-19 23:31:12+00:00,185897,5553,229,66,84.13636363636364,0.011885467314964884,3.1458280660796034
Purplecliffe,EVERYTHING GOES WRONG,2020-11-21 21:22:44+00:00,907782,21764,1343,447,48.68903803131991,0.020538503951479506,2.594675814237339
Purplecliffe,I GOT BAITED...,2020-11-26 17:43:31+00:00,588740,11848,1326,231,51.29004329004329,0.01949696151249156,2.276896422869178
Purplecliffe,I RISK IT ALL FOR SHINY CHARIZARD,2020-11-29 17:00:02+00:00,889939,18902,1910,424,44.58018867924528,0.02243148873135118,2.3862309663920787
Purplecliffe,EVERYTHING DIES,2020-12-02 18:00:15+00:00,405203,11401,567,193,59.07253886010363,0.01692833961933164,3.001211738313882
Purplecliffe,"Pokemon TikTok Star reacts to ""I Attempted my First Pokemon Nuzlocke""",2020-12-05 20:07:21+00:00,6587904,95642,4228,2862,33.417889587700905,0.029924091926141237,1.5594034157146188
Purplecliffe,Every Pokemon I Touch Dies...,2020-12-09 17:40:45+00:00,578606,14776,932,300,49.25333333333333,0.020303194369247428,2.7666494989682096
Purplecliffe,The Luckiest Pokemon Player Ever,2020-12-17 16:10:17+00:00,1255377,23246,1278,561,41.436720142602496,0.024133184203733976,1.9982045234220476
Purplecliffe,How I became the Best Pokemon Player Ever,2021-01-07 18:34:22+00:00,384975,9867,727,162,60.907407407407405,0.0164183642444512,2.793947658938892
Purplecliffe,I Opened Pokemon Cards Dangerously...,2021-01-09 17:15:01+00:00,463929,9442,730,210,44.96190476190476,0.022241050624867614,2.2378424284750467
Purplecliffe,The Most BROKEN Randomized Pokemon,2021-01-15 16:48:18+00:00,529179,16089,864,209,76.98086124401914,0.012990241780098204,3.2431370103499955
Purplecliffe,So I Created a Pixelmon SMP.....,2021-02-12 17:01:53+00:00,455753,10941,394,138,79.28260869565217,0.012613106663010694,2.5173723486186597
Purplecliffe,"Pokemon TikTok Star Reacts to ""I Attempted a Pokemon Platinum Nuzlocke""",2021-02-18 19:01:45+00:00,10684555,142546,10379,5500,25.917454545454547,0.038584036030474375,1.4827477606694899
Purplecliffe,Pokemon Black but HARDCORE,2021-02-21 15:00:09+00:00,1352327,25814,2081,570,45.28771929824561,0.02208104129542109,2.104890311293053
Purplecliffe,I Killed Jaiden.....,2021-02-26 18:12:42+00:00,1095416,25795,1674,631,40.879556259904916,0.024462105059119985,2.565235490443813
Purplecliffe,MandJTV and I Take Over the Poke SMP,2021-03-02 15:00:16+00:00,549847,13032,549,148,88.05405405405405,0.011356660527931247,2.4968764037996025
Purplecliffe,Pokemon but Everything Goes Wrong,2021-03-04 15:15:01+00:00,399513,11245,700,171,65.76023391812865,0.015206758559359716,3.032692302878755
Purplecliffe,I got luckier than ever...,2021-03-09 16:00:11+00:00,1200374,22934,1629,553,41.47197106690778,0.02411267114328072,2.092347884909203
Purplecliffe,I spoke too soon...,2021-03-13 15:02:54+00:00,611708,13953,1115,261,53.45977011494253,0.018705654697914426,2.505934203901208
Purplecliffe,Opening $500 of Shiny Pokemon Packs,2021-03-18 14:02:04+00:00,1104725,17032,1964,386,44.12435233160622,0.02266322217003288,1.754463780578877
Purplecliffe,I CHEATED,2021-03-20 14:13:24+00:00,478675,11561,730,197,58.68527918781726,0.017040048438716374,2.6088682300099233
Purplecliffe,My Pokemon Game Tries to Kill Me,2021-03-23 15:29:45+00:00,188259,6570,544,81,81.11111111111111,0.012328767123287671,3.821862434199693
Purplecliffe,This is the end for me,2021-03-26 14:09:03+00:00,1053857,19786,1733,344,57.51744186046512,0.017386030526634993,2.074569889463181
Purplecliffe,Pokemon Omega Ruby but cards decide my team,2021-04-10 15:30:05+00:00,2650528,36988,2207,1223,30.243663123466884,0.03306477776576187,1.524903717297082
Purplecliffe,So I started a new nuzlocke...,2021-04-16 15:07:58+00:00,279527,9573,563,112,85.47321428571429,0.011699571712106968,3.666193247879453
Purplecliffe,The Unluckiest Pokemon Player Ever,2021-04-27 14:28:00+00:00,890766,18371,1087,406,45.248768472906406,0.02210004899025638,2.2299908168924274
Purplecliffe,Why.,2021-05-12 16:00:26+00:00,333632,10472,862,132,79.33333333333333,0.012605042016806723,3.436720698254364
Purplecliffe,Pokémon TikTok Star Reacts to Funniest TikToks,2021-05-24 14:00:10+00:00,946999,21209,1056,374,56.70855614973262,0.01763402329199868,2.3906044251366687
Purplecliffe,I HAVE A PROBLEM,2021-05-29 15:02:05+00:00,303860,7038,332,102,69.0,0.014492753623188406,2.4590271835713815
Purplecliffe,Pokemon Fire Red but cards decide my team,2021-06-01 15:03:51+00:00,3726213,58681,4087,1469,39.94622191967325,0.025033656549820215,1.723921847731195
Purplecliffe,I Gave Strangers Control of my TikTok,2021-06-02 15:15:00+00:00,207803,7142,186,47,151.95744680851064,0.006580789694763372,3.5490344220247065
