YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
The Completionist,Top 10 Worst Video Games of 2019 | The Completionist,2020-01-04 20:00:02+00:00,1099423,28039,2169,837,33.499402628434886,0.029851278576268767,2.823753914553361
The Completionist,Far Cry 3 - A Far Cry from Insanity | The Completionist | New Game Plus,2020-01-08 20:00:18+00:00,338993,11306,786,201,56.24875621890547,0.017778170882717142,3.626328567256551
The Completionist,Mario vs Donkey Kong - The Thrilla with a Gorilla | The Completionist,2020-01-11 20:00:03+00:00,226334,8175,558,117,69.87179487179488,0.014311926605504587,3.91015048556558
The Completionist,Top 10 Games of the Decade | The Completionist,2020-01-15 20:00:06+00:00,836397,25826,2994,1681,15.363474122546103,0.0650894447456052,3.646713223505106
The Completionist,Shantae - A Perfect Predecessor | The Completionist,2020-01-18 20:00:01+00:00,218864,9178,876,112,81.94642857142857,0.01220309435606886,4.644893632575481
The Completionist,Heart of Darkness Ft. @Caddicarus - The Worst Cinematic Game | The Completionist | New Game Plus,2020-01-22 20:00:12+00:00,186669,7471,829,423,17.66193853427896,0.05661892651586133,4.672977302069438
The Completionist,Darksiders Warmastered Edition : Straight Outta Middle School | The Completionist,2020-01-25 20:00:03+00:00,241552,9063,804,280,32.36785714285714,0.030894847180845196,4.200751804994369
The Completionist,Mortal Kombat: Absolute Brutality | The Completionist,2020-02-01 20:00:06+00:00,301351,11281,1367,518,21.77799227799228,0.04591791507845049,4.368991640976802
The Completionist,Max Payne: No Time like Bullet Time | The Completionist | New Game Plus,2020-02-05 20:37:13+00:00,151256,6491,509,149,43.56375838926174,0.022954860576182408,4.7264240757391445
The Completionist,Sonic Generations: A Worthy Tribute | The Completionist,2020-02-08 20:00:07+00:00,405110,16013,1424,250,64.052,0.01561231499406732,4.365974673545456
The Completionist,Warcraft: Orcs and Humans - A Premonition of Greatness | The Completionist,2020-02-15 20:00:07+00:00,140469,5894,615,149,39.557046979865774,0.02527994570749915,4.739835835664809
The Completionist,Sonic The Hedgehog Movie Review - Gotta See It Fast! | The Completionist,2020-02-19 20:46:28+00:00,194502,9009,1153,190,47.415789473684214,0.021090021090021092,5.322310310433826
The Completionist,Street Fighter: The Movie: The Game: The Trainwreck | The Completionist,2020-02-22 20:00:01+00:00,129270,5861,883,252,23.25793650793651,0.04299607575499061,5.41192852169877
The Completionist,Super Mario Bros + The Lost Levels: The Most Mario | The Completionist | New Game Plus,2020-02-26 20:40:31+00:00,265653,9934,793,267,37.2059925093633,0.02687739077914234,4.13848140243099
The Completionist,Silent Hill: The Nightmare Becomes Reality | The Completionist,2020-02-29 20:00:09+00:00,222883,10317,802,126,81.88095238095238,0.012212852573422507,5.045247955205197
The Completionist,Final Fantasy 7 Remake Demo Impressions | The Completionist,2020-03-04 20:18:03+00:00,177124,7484,1036,160,46.775,0.021378941742383754,4.9005216684356725
