YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
joshscorcher,Top Ten Video Games Like D&D,2020-01-02 01:30:10+00:00,287761,6607,914,497,13.293762575452716,0.07522324807022855,2.786340053030119
joshscorcher,Top Ten Blizzard FAILS,2020-01-16 06:01:59+00:00,166790,4336,1312,154,28.155844155844157,0.03551660516605166,3.4786258168954975
joshscorcher,The Heck is Outriders?!,2020-02-13 21:00:09+00:00,34277,898,90,16,56.125,0.017817371937639197,2.9290778072760157
joshscorcher,Top Ten Valve FAILS,2020-02-16 00:00:10+00:00,146031,4118,1119,101,40.772277227722775,0.024526469159786304,3.6553882394833974
joshscorcher,Top Ten Worst Endings,2020-03-01 21:30:11+00:00,199252,5448,2154,359,15.175487465181059,0.0658957415565345,3.9954429566579006
joshscorcher,Top Ten Worst Nintendo FAILS ft. GreenScorpion,2020-03-16 01:00:10+00:00,262016,6195,1800,115,53.869565217391305,0.018563357546408393,3.0952308255984367
joshscorcher,Top Ten Video Games With The Best Bosses,2020-04-16 04:34:39+00:00,78736,3048,587,106,28.754716981132077,0.03477690288713911,4.751320869741922
joshscorcher,"South Park ""Make Love, Not Warcraft"" Review",2020-04-21 23:26:36+00:00,24827,1118,158,24,46.583333333333336,0.02146690518783542,5.236234744431465
joshscorcher,Top Ten Difficulty Spike Bosses,2020-05-15 21:30:10+00:00,227449,5825,1656,220,26.477272727272727,0.03776824034334764,3.385813962690537
joshscorcher,Secretary Idol #QuarantineStream,2020-05-23 18:22:09+00:00,3192,143,41,2,71.5,0.013986013986013986,5.827067669172932
joshscorcher,Top Ten Most Improved Sequels,2020-06-02 03:15:57+00:00,54790,2506,516,60,41.766666666666666,0.023942537909018357,5.625114071910932
joshscorcher,Top Ten Bosses You Don't Want To Defeat,2020-06-16 01:00:14+00:00,168502,5450,1230,153,35.62091503267974,0.028073394495412844,4.055144746056427
joshscorcher,Everything GREAT about Charlie and the Chocolate Factory Part 1,2020-06-27 13:00:10+00:00,329086,9970,1629,241,41.36929460580913,0.024172517552657972,3.597843724740645
joshscorcher,Everything GREAT about Charlie and the Chocolate Factory Part 2,2020-06-28 13:00:13+00:00,201353,7702,985,85,90.61176470588235,0.011036094520903662,4.356528087488143
joshscorcher,Top Ten Forgotten Games,2020-07-03 01:00:09+00:00,64882,2682,919,45,59.6,0.016778523489932886,5.6194321999938355
joshscorcher,MASSIVE Channel Update,2020-07-06 15:00:06+00:00,10449,846,93,10,84.6,0.01182033096926714,9.082208823810891
joshscorcher,Fiery Joker Rant: How to Fix 358/2 Days,2020-07-08 13:00:15+00:00,18122,1015,254,27,37.592592592592595,0.026600985221674877,7.151528528859949
joshscorcher,Top Ten Water Bosses,2020-07-16 03:53:13+00:00,96774,3342,568,50,66.84,0.014961101137043686,4.092008184016368
joshscorcher,Top Ten Games We Strangely Love,2020-08-01 22:30:50+00:00,39913,1835,436,28,65.53571428571429,0.015258855585831062,5.760028061032746
joshscorcher,Top Ten Disappointing Final Bosses,2020-08-16 00:58:43+00:00,150716,4398,871,95,46.294736842105266,0.021600727603456115,3.55901165105231
joshscorcher,Top Ten Cult Classics,2020-09-03 23:00:01+00:00,65801,2732,650,39,70.05128205128206,0.014275256222547585,5.199009133599794
joshscorcher,REACTION | Hyrule Warriors: Age of Calamity,2020-09-08 16:21:26+00:00,24920,1290,308,23,56.08695652173913,0.017829457364341085,6.504815409309791
joshscorcher,A Critical Analysis of Dancing Mad,2020-09-10 21:00:07+00:00,62253,2891,355,45,64.24444444444444,0.015565548253199585,5.286492217242542
joshscorcher,Top Ten Funniest Bosses,2020-09-16 03:33:34+00:00,114344,4028,660,55,73.23636363636363,0.01365441906653426,4.148009515147274
joshscorcher,Top Ten Rhythm Games,2020-10-02 03:24:24+00:00,83025,2334,555,147,15.877551020408163,0.06298200514138817,3.6567299006323397
joshscorcher,Top Ten Mindf#$k Bosses,2020-10-15 21:11:58+00:00,142352,4825,641,83,58.13253012048193,0.017202072538860105,3.89808362369338
joshscorcher,Top Ten Hated Characters We're Supposed To Like,2020-11-02 06:52:16+00:00,355129,9486,3737,1549,6.123950936087798,0.1632932742989669,4.159615238406325
joshscorcher,Top Ten Super Bosses (PATREON REWARD),2020-11-16 01:00:11+00:00,175483,5513,1091,170,32.42941176470588,0.03083620533284963,3.8602029826250974
joshscorcher,Best and Worst Pokémon Gym Leaders,2020-11-21 21:00:10+00:00,181712,6081,1922,247,24.619433198380566,0.040618319355369185,4.540151448445892
joshscorcher,Top 20 Favorite Characters,2020-12-02 20:32:58+00:00,82295,3072,591,60,51.2,0.01953125,4.523968649371165
joshscorcher,Top Ten Ice Bosses,2020-12-16 19:37:46+00:00,80102,3018,645,45,67.06666666666666,0.014910536779324055,4.629097900177274
joshscorcher,Top Ten 2020 FAILS,2021-01-04 23:00:10+00:00,181891,4668,1577,65,71.81538461538462,0.013924592973436161,3.4691106211962106
joshscorcher,Top Ten Lightning Bosses,2021-01-15 19:00:02+00:00,82985,2862,595,31,92.3225806451613,0.010831586303284416,4.203169247454359
joshscorcher,Top Ten Liked Characters We're Supposed to Hate,2021-02-01 22:59:57+00:00,161170,5125,1613,112,45.75892857142857,0.021853658536585364,4.2501706272879565
joshscorcher,Dan VS Mall Santa Review + Dan VS Revival Campaign!,2021-02-07 18:30:04+00:00,21880,1522,316,18,84.55555555555556,0.011826544021024968,8.482632541133455
joshscorcher,Top Ten Gaming Crushes,2021-02-14 19:00:22+00:00,59723,2614,652,63,41.492063492063494,0.02410099464422341,5.574066942384006
joshscorcher,Top Ten DLC Bosses,2021-02-16 02:43:17+00:00,136769,4277,798,64,66.828125,0.014963759644610709,3.757430411862337
joshscorcher,REACTION: Nintendo Direct 2.17.2021,2021-02-17 23:10:53+00:00,13327,383,163,12,31.916666666666668,0.031331592689295036,4.186988819689352
joshscorcher,ANIMATION: Sephiroth's Welcome to Smash @Imagivotion,2021-03-01 20:40:20+00:00,133075,8388,1173,100,83.88,0.011921793037672867,7.259815893293256
joshscorcher,Top Ten Underrated Games from Popular Franchises ft. Count Shaman,2021-03-01 23:00:11+00:00,73363,2609,846,43,60.674418604651166,0.016481410502108086,4.768071098510148
joshscorcher,Top 10 Poison Bosses,2021-03-18 22:52:07+00:00,95326,3498,735,26,134.53846153846155,0.007432818753573471,4.467826196420703
joshscorcher,Top Ten Redemption Arcs,2021-04-01 21:14:34+00:00,106175,3699,599,41,90.21951219512195,0.011084076777507435,4.086649399576172
joshscorcher,Top Ten Out-Of-Place Bosses,2021-04-16 01:57:43+00:00,170242,5304,877,90,58.93333333333333,0.016968325791855202,3.6835798451615935
joshscorcher,Top Ten Non-Disney Movie Villain Songs,2021-05-03 01:00:11+00:00,546440,19747,2283,427,46.24590163934426,0.02162353775257001,4.109691823438987
joshscorcher,Top Ten Theater Villain Songs,2021-05-08 20:41:49+00:00,239283,7964,1124,137,58.13138686131387,0.01720241084881969,3.8552676119908225
joshscorcher,Top Ten TV Show Villain Songs,2021-05-17 18:00:16+00:00,414585,13864,1973,322,43.05590062111801,0.023225620311598385,3.8976325723313674
joshscorcher,Top Ten Video Game Villain Songs,2021-05-24 18:00:13+00:00,414884,13119,1575,160,81.99375,0.012196051528317707,3.580277860799645
joshscorcher,Pokémon Rivals Tier List,2021-06-07 19:00:14+00:00,92976,3622,901,109,33.22935779816514,0.030093870789618993,4.981930820856995
joshscorcher,Fiery Joker E3 2021 Reactions - VR Showcase,2021-06-12 22:53:25+00:00,3109,100,0,3,33.333333333333336,0.03,3.312962367320682
joshscorcher,Fiery Joker E3 2021 Reactions - Square Enix,2021-06-13 20:05:59+00:00,7711,182,46,14,13.0,0.07692307692307693,3.138373751783167
joshscorcher,Fiery Joker E3 2021 Reactions - Capcom,2021-06-14 22:09:29+00:00,6563,166,31,7,23.714285714285715,0.04216867469879518,3.1083346030778607
joshscorcher,Fiery Joker E3 2021 Reactions - Nintendo,2021-06-15 17:04:18+00:00,20995,515,90,8,64.375,0.015533980582524271,2.9197427959037863
joshscorcher,Fiery Joker E3 2021 Reactions - Awards,2021-06-16 00:22:27+00:00,6160,162,87,7,23.142857142857142,0.043209876543209874,4.1558441558441555
joshscorcher,Fixing Fire Emblem Fates ft. @greenscorpion64 and Aramau,2021-06-17 17:57:59+00:00,39085,1565,416,36,43.47222222222222,0.023003194888178913,5.160547524625816
joshscorcher,SHADOWS OF THE OLD WORLD | Trailer,2021-06-26 18:00:13+00:00,6293,274,32,3,91.33333333333333,0.010948905109489052,4.910217702208803
joshscorcher,JRPG Battle Royale | Final Fantasy VI vs Chrono Trigger vs Earthbound vs Super Mario RPG,2021-07-01 21:17:03+00:00,13418,725,221,20,36.25,0.027586206896551724,7.199284543150991
joshscorcher,Dynasty Warriors Movie Review,2021-07-02 15:00:28+00:00,10068,497,199,12,41.416666666666664,0.02414486921529175,7.032181168057211
joshscorcher,Top 15 WORST Consoles,2021-07-16 01:54:37+00:00,319023,6762,1620,319,21.197492163009404,0.04717539189588879,2.727389561254204
joshscorcher,Josh's LaserActive Meltdown,2021-07-25 23:06:46+00:00,41390,1589,357,34,46.73529411764706,0.021397105097545627,4.7837641942498195
joshscorcher,Top Ten Smartest Bosses,2021-08-01 18:00:11+00:00,200761,7233,722,116,62.35344827586207,0.01603760541960459,4.02020312710138
joshscorcher,Top Ten Fun Yet Depressing Games ft. @Nonat1s,2021-08-16 18:15:56+00:00,52091,2542,527,31,82.0,0.012195121951219513,5.951123994548003
joshscorcher,Top Ten Easiest Bosses You Can Lose To,2021-09-01 17:30:09+00:00,116824,4396,668,84,52.333333333333336,0.01910828025477707,4.406628774909265
joshscorcher,Top Ten Disappointing Games,2021-09-16 19:00:10+00:00,124602,4117,1178,117,35.18803418803419,0.0284187515180957,4.34342947946261
joshscorcher,I'm moving away from Twitch,2021-09-18 02:57:05+00:00,14984,1147,154,11,104.27272727272727,0.00959023539668701,8.756006406833956
joshscorcher,9-23-21 Nintendo Direct - Mario Movie Cast Reaction!,2021-09-23 23:08:52+00:00,58546,2203,477,42,52.45238095238095,0.019064911484339538,4.649335565196598
joshscorcher,Top Ten Witch Bosses,2021-10-01 19:00:11+00:00,61835,2697,320,18,149.83333333333334,0.006674082313681869,4.908223498018921
