YouTuber_Name,Title,Date,Views,Likes,Comments,Dislikes,Like_to_Dislike_Ratio,Dislike_to_Like_Ratio,Engagement_Ratio
squizzy,fennec outro compilation 2019,2020-01-08 20:00:13+00:00,352686,22251,536,114,195.18421052631578,0.005123365242011595,6.4933113307588055
squizzy,dorime fennec,2020-01-13 20:00:03+00:00,1641251,96393,2672,969,99.47678018575851,0.010052597180293174,6.094984862156977
squizzy,a great start to 2020,2020-01-29 20:00:02+00:00,1703402,108541,3140,841,129.06183115338882,0.0077482241733538475,6.605721961110765
squizzy,baby nut,2020-02-08 20:00:05+00:00,896310,61177,2732,676,90.49852071005917,0.011049904375827518,7.205654293715344
squizzy,one copy of doom eternal and animal crossing please,2020-02-21 20:00:07+00:00,2215302,121365,2517,1091,111.24197983501375,0.00898941210398385,5.641352736556912
squizzy,my life as an animator,2020-02-29 20:00:02+00:00,1434943,87217,1878,810,107.6753086419753,0.009287180251556462,6.2654056641971145
squizzy,simps,2020-03-17 20:00:02+00:00,9982074,433835,13002,6703,64.72251230792183,0.015450574527181992,4.5435447583337885
squizzy,social isolation,2020-04-06 21:00:16+00:00,784686,66529,3690,729,91.26063100137175,0.01095762750078913,9.041578414805413
squizzy,ugly animal crossing villagers,2020-04-24 21:00:09+00:00,2879896,187275,9946,2925,64.02564102564102,0.015618742490989187,6.949764852619678
squizzy,when you lose your tablet pen,2020-05-18 21:00:08+00:00,2049884,128726,6434,1347,95.56495916852265,0.010464086509329895,6.659254865153345
squizzy,2020 sucks,2020-06-15 21:00:02+00:00,952470,71567,2769,1163,61.53654342218401,0.016250506518367402,7.92665385786429
squizzy,are ya animating son?,2020-06-28 21:00:07+00:00,3139204,193988,5036,1589,122.08181246066708,0.008191228323401448,6.390569074198426
squizzy,how gamers wanted the last of us 2 to end,2020-07-27 21:00:10+00:00,953313,64687,2940,1141,56.693251533742334,0.01763878368141976,7.213580429512658
