State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Arkansas,36472.0,6.9,6.1,7.8,<10,Yes,2002,ADDM Network*
Arkansas,4940.0,10.5,8.0,13.8,10 to <20,Yes,2008,ADDM Network*
Arkansas,38956.0,15.5,14.3,16.8,10 to <20,Yes,2010,ADDM Network*
Arkansas,14153.0,8.8,7.4,10.5,<10,Yes,2012,ADDM Network*
Arkansas,39992.0,13.1,12.0,14.2,10 to <20,Yes,2014,ADDM Network*
Arkansas,40225.0,15.1,13.9,16.3,10 to <20,Yes,2016,ADDM Network*
Arkansas,15435.0,22.9,20.6,25.3,20 to <30,Yes,2018,ADDM Network*
Arkansas,15432.0,23.5,21.2,26.0,20 to <30,Yes,2020,ADDM Network*
Arkansas,15319.0,29.8,27.3,32.6,20 to <30,Yes,2022,ADDM Network*
Arkansas,185692.0,5.3,5.0,5.7,<10,Yes,2000,Medicaid
Arkansas,218750.0,5.1,4.8,5.4,<10,Yes,2001,Medicaid
Arkansas,249902.0,5.0,4.7,5.3,<10,Yes,2002,Medicaid
Arkansas,271969.0,4.7,4.4,4.9,<10,Yes,2003,Medicaid
Arkansas,292778.0,4.5,4.3,4.8,<10,Yes,2004,Medicaid
Arkansas,317561.0,4.5,4.2,4.7,<10,Yes,2005,Medicaid
Arkansas,332135.0,4.9,4.7,5.2,<10,Yes,2006,Medicaid
Arkansas,330340.0,5.4,5.1,5.6,<10,Yes,2007,Medicaid
Arkansas,328146.0,6.0,5.8,6.3,<10,Yes,2008,Medicaid
Arkansas,332878.0,6.4,6.1,6.6,<10,Yes,2009,Medicaid
Arkansas,345509.0,6.5,6.2,6.8,<10,Yes,2010,Medicaid
Arkansas,350947.0,7.0,6.7,7.3,<10,Yes,2011,Medicaid
Arkansas,355606.0,7.4,7.1,7.7,<10,Yes,2012,Medicaid
Arkansas,360224.0,7.7,7.5,8.0,<10,Yes,2013,Medicaid
Arkansas,383755.0,1.9,1.7,2.0,<10,Yes,2016,Medicaid
Arkansas,373010.0,8.6,8.3,8.9,<10,Yes,2017,Medicaid
Arkansas,373390.0,10.4,10.1,10.7,10 to <20,Yes,2018,Medicaid
Arkansas,370648.0,11.6,11.2,11.9,10 to <20,Yes,2019,Medicaid
Arkansas,364789.0,12.1,11.8,12.5,10 to <20,Yes,2020,Medicaid
