State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Connecticut,163068.0,0.5,0.4,0.6,<10,Yes,2000,Medicaid
Connecticut,170794.0,0.6,0.5,0.7,<10,Yes,2001,Medicaid
Connecticut,182671.0,0.6,0.5,0.8,<10,Yes,2002,Medicaid
Connecticut,189680.0,0.5,0.4,0.6,<10,Yes,2003,Medicaid
Connecticut,195864.0,0.5,0.4,0.6,<10,Yes,2004,Medicaid
Connecticut,198270.0,0.5,0.4,0.6,<10,Yes,2005,Medicaid
Connecticut,194389.0,2.4,2.2,2.6,<10,Yes,2006,Medicaid
Connecticut,192120.0,2.9,2.7,3.2,<10,Yes,2007,Medicaid
Connecticut,197279.0,3.6,3.3,3.9,<10,Yes,2008,Medicaid
Connecticut,209322.0,5.5,5.2,5.8,<10,Yes,2009,Medicaid
Connecticut,222605.0,6.6,6.3,7.0,<10,Yes,2010,Medicaid
Connecticut,231880.0,7.7,7.4,8.1,<10,Yes,2011,Medicaid
Connecticut,239389.0,8.9,8.6,9.3,<10,Yes,2012,Medicaid
Connecticut,245529.0,9.9,9.5,10.3,<10,Yes,2013,Medicaid
Connecticut,276337.0,13.5,13.0,13.9,10 to <20,Yes,2016,Medicaid
Connecticut,280822.0,14.4,14.0,14.9,10 to <20,Yes,2017,Medicaid
Connecticut,284755.0,16.3,15.8,16.7,10 to <20,Yes,2018,Medicaid
Connecticut,287751.0,18.2,17.7,18.6,10 to <20,Yes,2019,Medicaid
Connecticut,284244.0,18.9,18.4,19.4,10 to <20,Yes,2020,Medicaid
Connecticut,299775.0,19.8,19.3,20.3,10 to <20,Yes,2021,Medicaid
Connecticut,310187.0,22.0,21.5,22.6,20 to <30,Yes,2022,Medicaid
Connecticut,1604.0,11.9,7.2,19.7,10 to <20,Yes,2007,National Survey of Children's Health†
Connecticut,1660.0,12.5,7.4,21.1,10 to <20,Yes,2011,National Survey of Children's Health†
Connecticut,3064.0,35.6,26.3,48.1,30+,Yes,2020,National Survey of Children's Health†
Connecticut,1421.0,29.4,20.5,41.8,20 to <30,Yes,2022,National Survey of Children's Health†
Connecticut,510125.0,2.3,2.2,2.4,<10,Yes,2000,Special Education Child Count
Connecticut,517272.0,2.7,2.5,2.8,<10,Yes,2001,Special Education Child Count
Connecticut,517649.0,3.2,3.1,3.4,<10,Yes,2002,Special Education Child Count
Connecticut,523070.0,3.7,3.5,3.8,<10,Yes,2003,Special Education Child Count
Connecticut,523056.0,4.3,4.1,4.5,<10,Yes,2004,Special Education Child Count
Connecticut,521079.0,5.1,4.9,5.3,<10,Yes,2005,Special Education Child Count
Connecticut,520689.0,6.0,5.8,6.2,<10,Yes,2006,Special Education Child Count
Connecticut,516557.0,6.9,6.7,7.1,<10,Yes,2007,Special Education Child Count
Connecticut,511562.0,8.1,7.9,8.3,<10,Yes,2008,Special Education Child Count
Connecticut,508413.0,9.2,9.0,9.5,<10,Yes,2009,Special Education Child Count
Connecticut,504955.0,10.1,9.9,10.4,10 to <20,Yes,2010,Special Education Child Count
Connecticut,499575.0,11.2,10.9,11.5,10 to <20,Yes,2011,Special Education Child Count
Connecticut,495151.0,12.2,11.9,12.5,10 to <20,Yes,2012,Special Education Child Count
Connecticut,491004.0,13.0,12.6,13.3,10 to <20,Yes,2013,Special Education Child Count
Connecticut,487037.0,13.9,13.6,14.2,10 to <20,Yes,2014,Special Education Child Count
Connecticut,482907.0,14.7,14.4,15.0,10 to <20,Yes,2015,Special Education Child Count
Connecticut,479942.0,15.4,15.0,15.7,10 to <20,Yes,2016,Special Education Child Count
Connecticut,476476.0,16.2,15.9,16.6,10 to <20,Yes,2017,Special Education Child Count
Connecticut,472070.0,17.1,16.7,17.5,10 to <20,Yes,2018,Special Education Child Count
Connecticut,468666.0,18.3,17.9,18.7,10 to <20,Yes,2019,Special Education Child Count
Connecticut,461765.0,20.3,19.9,20.7,20 to <30,Yes,2020,Special Education Child Count
Connecticut,456369.0,21.6,21.2,22.0,20 to <30,Yes,2021,Special Education Child Count
Connecticut,459678.0,23.0,22.6,23.5,20 to <30,Yes,2022,Special Education Child Count
Connecticut,163068.0,0.5,,,<10,No,2000,Medicaid
Connecticut,170794.0,0.6,,,<10,No,2001,Medicaid
Connecticut,182671.0,0.6,,,<10,No,2002,Medicaid
Connecticut,189680.0,0.5,,,<10,No,2003,Medicaid
Connecticut,195864.0,0.5,,,<10,No,2004,Medicaid
Connecticut,198270.0,0.5,,,<10,No,2005,Medicaid
Connecticut,194389.0,2.4,,,<10,No,2006,Medicaid
Connecticut,192120.0,2.9,,,<10,No,2007,Medicaid
Connecticut,197279.0,3.6,,,<10,No,2008,Medicaid
Connecticut,209322.0,5.5,,,<10,No,2009,Medicaid
Connecticut,222605.0,6.6,,,<10,No,2010,Medicaid
Connecticut,231880.0,7.7,,,<10,No,2011,Medicaid
Connecticut,239389.0,8.9,,,<10,No,2012,Medicaid
Connecticut,245529.0,9.9,,,<10,No,2013,Medicaid
Connecticut,276337.0,13.5,,,10 to <20,No,2016,Medicaid
Connecticut,280822.0,14.4,,,10 to <20,No,2017,Medicaid
Connecticut,284755.0,16.3,,,10 to <20,No,2018,Medicaid
Connecticut,287751.0,18.2,,,10 to <20,No,2019,Medicaid
Connecticut,284244.0,18.9,,,10 to <20,No,2020,Medicaid
Connecticut,299775.0,19.8,,,10 to <20,No,2021,Medicaid
Connecticut,310187.0,22.0,,,20 to <30,No,2022,Medicaid
Connecticut,1604.0,11.9,,,10 to <20,No,2007,National Survey of Children's Health†
Connecticut,1660.0,12.5,,,10 to <20,No,2011,National Survey of Children's Health†
Connecticut,3064.0,35.6,,,30+,No,2020,National Survey of Children's Health†
Connecticut,1421.0,29.4,,,20 to <30,No,2022,National Survey of Children's Health†
Connecticut,510125.0,2.3,,,<10,No,2000,Special Education Child Count
Connecticut,517272.0,2.7,,,<10,No,2001,Special Education Child Count
Connecticut,517649.0,3.2,,,<10,No,2002,Special Education Child Count
Connecticut,523070.0,3.7,,,<10,No,2003,Special Education Child Count
Connecticut,523056.0,4.3,,,<10,No,2004,Special Education Child Count
Connecticut,521079.0,5.1,,,<10,No,2005,Special Education Child Count
Connecticut,520689.0,6.0,,,<10,No,2006,Special Education Child Count
Connecticut,516557.0,6.9,,,<10,No,2007,Special Education Child Count
Connecticut,511562.0,8.1,,,<10,No,2008,Special Education Child Count
Connecticut,508413.0,9.2,,,<10,No,2009,Special Education Child Count
Connecticut,504955.0,10.1,,,10 to <20,No,2010,Special Education Child Count
Connecticut,499575.0,11.2,,,10 to <20,No,2011,Special Education Child Count
Connecticut,495151.0,12.2,,,10 to <20,No,2012,Special Education Child Count
Connecticut,491004.0,13.0,,,10 to <20,No,2013,Special Education Child Count
Connecticut,487037.0,13.9,,,10 to <20,No,2014,Special Education Child Count
Connecticut,482907.0,14.7,,,10 to <20,No,2015,Special Education Child Count
Connecticut,479942.0,15.4,,,10 to <20,No,2016,Special Education Child Count
Connecticut,476476.0,16.2,,,10 to <20,No,2017,Special Education Child Count
Connecticut,472070.0,17.1,,,10 to <20,No,2018,Special Education Child Count
Connecticut,468666.0,18.3,,,10 to <20,No,2019,Special Education Child Count
Connecticut,461765.0,20.3,,,20 to <30,No,2020,Special Education Child Count
Connecticut,456369.0,21.6,,,20 to <30,No,2021,Special Education Child Count
Connecticut,459678.0,23.0,,,20 to <30,No,2022,Special Education Child Count
