State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Georgia,43593.0,6.5,5.8,7.3,<10,Yes,2000,ADDM Network*
Georgia,44299.0,7.6,6.8,8.5,<10,Yes,2002,ADDM Network*
Georgia,45190.0,8.9,8.0,9.8,<10,Yes,2004,ADDM Network*
Georgia,46621.0,10.2,9.3,11.1,10 to <20,Yes,2006,ADDM Network*
Georgia,50427.0,11.9,11.0,12.9,10 to <20,Yes,2008,ADDM Network*
Georgia,48529.0,15.5,14.5,16.7,10 to <20,Yes,2010,ADDM Network*
Georgia,49720.0,15.5,14.5,16.6,10 to <20,Yes,2012,ADDM Network*
Georgia,51161.0,17.0,15.9,18.1,10 to <20,Yes,2014,ADDM Network*
Georgia,24113.0,18.9,17.3,20.7,10 to <20,Yes,2016,ADDM Network*
Georgia,23580.0,21.8,20.0,23.7,20 to <30,Yes,2018,ADDM Network*
Georgia,21921.0,25.2,23.2,27.4,20 to <30,Yes,2020,ADDM Network*
Georgia,35213.0,32.6,30.8,34.5,30+,Yes,2022,ADDM Network*
Georgia,460568.0,2.3,2.1,2.4,<10,Yes,2000,Medicaid
Georgia,540112.0,2.4,2.3,2.5,<10,Yes,2001,Medicaid
Georgia,606252.0,2.7,2.6,2.9,<10,Yes,2002,Medicaid
Georgia,656791.0,3.3,3.2,3.5,<10,Yes,2003,Medicaid
Georgia,705383.0,3.8,3.7,3.9,<10,Yes,2004,Medicaid
Georgia,751510.0,4.0,3.8,4.1,<10,Yes,2005,Medicaid
Georgia,707071.0,4.1,4.0,4.2,<10,Yes,2006,Medicaid
Georgia,651351.0,4.6,4.4,4.7,<10,Yes,2007,Medicaid
Georgia,665660.0,5.2,5.0,5.4,<10,Yes,2008,Medicaid
Georgia,732831.0,5.7,5.5,5.9,<10,Yes,2009,Medicaid
Georgia,788431.0,6.3,6.2,6.5,<10,Yes,2010,Medicaid
Georgia,810505.0,6.8,6.7,7.0,<10,Yes,2011,Medicaid
Georgia,834418.0,7.4,7.2,7.6,<10,Yes,2012,Medicaid
Georgia,841440.0,8.1,7.9,8.3,<10,Yes,2013,Medicaid
Georgia,1156740.0,10.0,9.9,10.2,10 to <20,Yes,2016,Medicaid
Georgia,1138233.0,11.4,11.2,11.6,10 to <20,Yes,2017,Medicaid
Georgia,1151861.0,13.0,12.8,13.3,10 to <20,Yes,2018,Medicaid
Georgia,1138777.0,14.6,14.4,14.8,10 to <20,Yes,2019,Medicaid
Georgia,1157572.0,14.8,14.5,15.0,10 to <20,Yes,2020,Medicaid
Georgia,1249170.0,16.3,16.1,16.5,10 to <20,Yes,2021,Medicaid
Georgia,1319406.0,18.3,18.1,18.6,10 to <20,Yes,2022,Medicaid
Georgia,2862.0,29.4,21.5,40.2,20 to <30,Yes,2020,National Survey of Children's Health†
Georgia,2243.0,34.5,26.5,44.8,30+,Yes,2022,National Survey of Children's Health†
Georgia,1301729.0,1.4,1.4,1.5,<10,Yes,2000,Special Education Child Count
Georgia,1326151.0,1.8,1.7,1.9,<10,Yes,2001,Special Education Child Count
Georgia,1346495.0,2.2,2.1,2.3,<10,Yes,2002,Special Education Child Count
Georgia,1367276.0,2.8,2.7,2.9,<10,Yes,2003,Special Education Child Count
Georgia,1393151.0,3.2,3.1,3.3,<10,Yes,2004,Special Education Child Count
Georgia,1431431.0,3.8,3.7,3.9,<10,Yes,2005,Special Education Child Count
Georgia,1459386.0,4.5,4.4,4.6,<10,Yes,2006,Special Education Child Count
Georgia,1479890.0,5.0,4.9,5.1,<10,Yes,2007,Special Education Child Count
Georgia,1485730.0,5.5,5.4,5.6,<10,Yes,2008,Special Education Child Count
Georgia,1494420.0,6.0,5.9,6.1,<10,Yes,2009,Special Education Child Count
Georgia,1502243.0,6.5,6.4,6.6,<10,Yes,2010,Special Education Child Count
Georgia,1506291.0,7.2,7.0,7.3,<10,Yes,2011,Special Education Child Count
Georgia,1521243.0,7.8,7.6,7.9,<10,Yes,2012,Special Education Child Count
Georgia,1541824.0,8.3,8.2,8.5,<10,Yes,2013,Special Education Child Count
Georgia,1564671.0,8.9,8.7,9.0,<10,Yes,2014,Special Education Child Count
Georgia,1581764.0,9.6,9.4,9.7,<10,Yes,2015,Special Education Child Count
Georgia,1589860.0,10.3,10.1,10.5,10 to <20,Yes,2016,Special Education Child Count
Georgia,1594516.0,11.1,11.0,11.3,10 to <20,Yes,2017,Special Education Child Count
Georgia,1592386.0,11.9,11.8,12.1,10 to <20,Yes,2018,Special Education Child Count
Georgia,1593259.0,12.8,12.6,13.0,10 to <20,Yes,2019,Special Education Child Count
Georgia,1571923.0,13.9,13.7,14.1,10 to <20,Yes,2020,Special Education Child Count
Georgia,1571958.0,14.8,14.6,15.0,10 to <20,Yes,2021,Special Education Child Count
Georgia,1580448.0,16.4,16.2,16.6,10 to <20,Yes,2022,Special Education Child Count
Georgia,43593.0,6.5,,,<10,No,2000,ADDM Network*
Georgia,44299.0,7.6,,,<10,No,2002,ADDM Network*
Georgia,45190.0,8.9,,,<10,No,2004,ADDM Network*
Georgia,46621.0,10.2,,,10 to <20,No,2006,ADDM Network*
Georgia,50427.0,11.9,,,10 to <20,No,2008,ADDM Network*
Georgia,48529.0,15.5,,,10 to <20,No,2010,ADDM Network*
Georgia,49720.0,15.5,,,10 to <20,No,2012,ADDM Network*
Georgia,51161.0,17.0,,,10 to <20,No,2014,ADDM Network*
Georgia,24113.0,18.9,,,10 to <20,No,2016,ADDM Network*
Georgia,23580.0,21.8,,,20 to <30,No,2018,ADDM Network*
Georgia,21921.0,25.2,,,20 to <30,No,2020,ADDM Network*
Georgia,35213.0,32.6,,,30+,No,2022,ADDM Network*
Georgia,460568.0,2.3,,,<10,No,2000,Medicaid
Georgia,540112.0,2.4,,,<10,No,2001,Medicaid
Georgia,606252.0,2.7,,,<10,No,2002,Medicaid
Georgia,656791.0,3.3,,,<10,No,2003,Medicaid
Georgia,705383.0,3.8,,,<10,No,2004,Medicaid
Georgia,751510.0,4.0,,,<10,No,2005,Medicaid
Georgia,707071.0,4.1,,,<10,No,2006,Medicaid
Georgia,651351.0,4.6,,,<10,No,2007,Medicaid
Georgia,665660.0,5.2,,,<10,No,2008,Medicaid
Georgia,732831.0,5.7,,,<10,No,2009,Medicaid
Georgia,788431.0,6.3,,,<10,No,2010,Medicaid
Georgia,810505.0,6.8,,,<10,No,2011,Medicaid
Georgia,834418.0,7.4,,,<10,No,2012,Medicaid
Georgia,841440.0,8.1,,,<10,No,2013,Medicaid
Georgia,1156740.0,10.0,,,10 to <20,No,2016,Medicaid
Georgia,1138233.0,11.4,,,10 to <20,No,2017,Medicaid
Georgia,1151861.0,13.0,,,10 to <20,No,2018,Medicaid
Georgia,1138777.0,14.6,,,10 to <20,No,2019,Medicaid
Georgia,1157572.0,14.8,,,10 to <20,No,2020,Medicaid
Georgia,1249170.0,16.3,,,10 to <20,No,2021,Medicaid
Georgia,1319406.0,18.3,,,10 to <20,No,2022,Medicaid
Georgia,2862.0,29.4,,,20 to <30,No,2020,National Survey of Children's Health†
Georgia,2243.0,34.5,,,30+,No,2022,National Survey of Children's Health†
Georgia,1301729.0,1.4,,,<10,No,2000,Special Education Child Count
Georgia,1326151.0,1.8,,,<10,No,2001,Special Education Child Count
Georgia,1346495.0,2.2,,,<10,No,2002,Special Education Child Count
Georgia,1367276.0,2.8,,,<10,No,2003,Special Education Child Count
Georgia,1393151.0,3.2,,,<10,No,2004,Special Education Child Count
Georgia,1431431.0,3.8,,,<10,No,2005,Special Education Child Count
Georgia,1459386.0,4.5,,,<10,No,2006,Special Education Child Count
Georgia,1479890.0,5.0,,,<10,No,2007,Special Education Child Count
Georgia,1485730.0,5.5,,,<10,No,2008,Special Education Child Count
Georgia,1494420.0,6.0,,,<10,No,2009,Special Education Child Count
Georgia,1502243.0,6.5,,,<10,No,2010,Special Education Child Count
Georgia,1506291.0,7.2,,,<10,No,2011,Special Education Child Count
Georgia,1521243.0,7.8,,,<10,No,2012,Special Education Child Count
Georgia,1541824.0,8.3,,,<10,No,2013,Special Education Child Count
Georgia,1564671.0,8.9,,,<10,No,2014,Special Education Child Count
Georgia,1581764.0,9.6,,,<10,No,2015,Special Education Child Count
Georgia,1589860.0,10.3,,,10 to <20,No,2016,Special Education Child Count
Georgia,1594516.0,11.1,,,10 to <20,No,2017,Special Education Child Count
Georgia,1592386.0,11.9,,,10 to <20,No,2018,Special Education Child Count
Georgia,1593259.0,12.8,,,10 to <20,No,2019,Special Education Child Count
Georgia,1571923.0,13.9,,,10 to <20,No,2020,Special Education Child Count
Georgia,1571958.0,14.8,,,10 to <20,No,2021,Special Education Child Count
Georgia,1580448.0,16.4,,,10 to <20,No,2022,Special Education Child Count
