State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Idaho,66850.0,6.2,5.6,6.8,<10,Yes,2000,Medicaid
Idaho,82400.0,6.1,5.6,6.6,<10,Yes,2001,Medicaid
Idaho,90875.0,7.0,6.4,7.5,<10,Yes,2002,Medicaid
Idaho,97498.0,8.1,7.6,8.7,<10,Yes,2003,Medicaid
Idaho,103459.0,9.6,9.0,10.2,<10,Yes,2004,Medicaid
Idaho,105721.0,11.8,11.1,12.4,10 to <20,Yes,2005,Medicaid
Idaho,103457.0,14.2,13.5,14.9,10 to <20,Yes,2006,Medicaid
Idaho,108059.0,17.1,16.3,17.9,10 to <20,Yes,2007,Medicaid
Idaho,104212.0,20.8,19.9,21.6,20 to <30,Yes,2008,Medicaid
Idaho,113252.0,20.8,20.0,21.7,20 to <30,Yes,2009,Medicaid
Idaho,125252.0,20.7,20.0,21.5,20 to <30,Yes,2010,Medicaid
Idaho,139039.0,18.6,17.9,19.3,10 to <20,Yes,2012,Medicaid
Idaho,139741.0,18.9,18.2,19.6,10 to <20,Yes,2013,Medicaid
Idaho,181215.0,18.2,17.6,18.8,10 to <20,Yes,2016,Medicaid
Idaho,183285.0,19.2,18.6,19.8,10 to <20,Yes,2017,Medicaid
Idaho,177255.0,21.8,21.2,22.5,20 to <30,Yes,2018,Medicaid
Idaho,170529.0,24.8,24.0,25.5,20 to <30,Yes,2019,Medicaid
Idaho,158868.0,32.6,31.7,33.5,30+,Yes,2020,Medicaid
Idaho,169489.0,28.2,27.4,29.0,20 to <30,Yes,2021,Medicaid
Idaho,175734.0,31.7,30.9,32.5,30+,Yes,2022,Medicaid
Idaho,1498.0,12.2,7.3,20.6,10 to <20,Yes,2007,National Survey of Children's Health†
Idaho,1584.0,20.1,12.3,32.9,20 to <30,Yes,2011,National Survey of Children's Health†
Idaho,2966.0,22.4,17.0,29.5,20 to <30,Yes,2020,National Survey of Children's Health†
Idaho,1430.0,27.5,19.7,38.3,20 to <30,Yes,2022,National Survey of Children's Health†
Idaho,225835.0,1.2,1.1,1.4,<10,Yes,2000,Special Education Child Count
Idaho,226311.0,1.5,1.3,1.6,<10,Yes,2001,Special Education Child Count
Idaho,228122.0,2.0,1.8,2.2,<10,Yes,2002,Special Education Child Count
Idaho,230858.0,2.3,2.1,2.5,<10,Yes,2003,Special Education Child Count
Idaho,233896.0,2.8,2.6,3.0,<10,Yes,2004,Special Education Child Count
Idaho,239211.0,3.4,3.2,3.6,<10,Yes,2005,Special Education Child Count
Idaho,243671.0,3.9,3.7,4.2,<10,Yes,2006,Special Education Child Count
Idaho,247944.0,4.7,4.4,4.9,<10,Yes,2007,Special Education Child Count
Idaho,250738.0,5.4,5.1,5.6,<10,Yes,2008,Special Education Child Count
Idaho,252048.0,6.1,5.8,6.5,<10,Yes,2009,Special Education Child Count
Idaho,252894.0,6.9,6.6,7.2,<10,Yes,2010,Special Education Child Count
Idaho,256634.0,7.2,6.9,7.5,<10,Yes,2011,Special Education Child Count
Idaho,259742.0,7.6,7.2,7.9,<10,Yes,2012,Special Education Child Count
Idaho,268999.0,7.9,7.5,8.2,<10,Yes,2013,Special Education Child Count
Idaho,266586.0,8.5,8.1,8.8,<10,Yes,2014,Special Education Child Count
Idaho,268654.0,9.1,8.7,9.4,<10,Yes,2015,Special Education Child Count
Idaho,273516.0,9.5,9.2,9.9,<10,Yes,2016,Special Education Child Count
Idaho,277227.0,10.0,9.6,10.4,10 to <20,Yes,2017,Special Education Child Count
Idaho,284765.0,10.5,10.2,10.9,10 to <20,Yes,2018,Special Education Child Count
Idaho,285235.0,11.0,10.6,11.4,10 to <20,Yes,2019,Special Education Child Count
Idaho,283224.0,11.9,11.5,12.3,10 to <20,Yes,2020,Special Education Child Count
Idaho,288673.0,12.6,12.2,13.0,10 to <20,Yes,2021,Special Education Child Count
Idaho,291782.0,13.3,12.8,13.7,10 to <20,Yes,2022,Special Education Child Count
Idaho,66850.0,6.2,,,<10,No,2000,Medicaid
Idaho,82400.0,6.1,,,<10,No,2001,Medicaid
Idaho,90875.0,7.0,,,<10,No,2002,Medicaid
Idaho,97498.0,8.1,,,<10,No,2003,Medicaid
Idaho,103459.0,9.6,,,<10,No,2004,Medicaid
Idaho,105721.0,11.8,,,10 to <20,No,2005,Medicaid
Idaho,103457.0,14.2,,,10 to <20,No,2006,Medicaid
Idaho,108059.0,17.1,,,10 to <20,No,2007,Medicaid
Idaho,104212.0,20.8,,,20 to <30,No,2008,Medicaid
Idaho,113252.0,20.8,,,20 to <30,No,2009,Medicaid
Idaho,125252.0,20.7,,,20 to <30,No,2010,Medicaid
Idaho,139039.0,18.6,,,10 to <20,No,2012,Medicaid
Idaho,139741.0,18.9,,,10 to <20,No,2013,Medicaid
Idaho,181215.0,18.2,,,10 to <20,No,2016,Medicaid
Idaho,183285.0,19.2,,,10 to <20,No,2017,Medicaid
Idaho,177255.0,21.8,,,20 to <30,No,2018,Medicaid
Idaho,170529.0,24.8,,,20 to <30,No,2019,Medicaid
Idaho,158868.0,32.6,,,30+,No,2020,Medicaid
Idaho,169489.0,28.2,,,20 to <30,No,2021,Medicaid
Idaho,175734.0,31.7,,,30+,No,2022,Medicaid
Idaho,1498.0,12.2,,,10 to <20,No,2007,National Survey of Children's Health†
Idaho,1584.0,20.1,,,20 to <30,No,2011,National Survey of Children's Health†
Idaho,2966.0,22.4,,,20 to <30,No,2020,National Survey of Children's Health†
Idaho,1430.0,27.5,,,20 to <30,No,2022,National Survey of Children's Health†
Idaho,225835.0,1.2,,,<10,No,2000,Special Education Child Count
Idaho,226311.0,1.5,,,<10,No,2001,Special Education Child Count
Idaho,228122.0,2.0,,,<10,No,2002,Special Education Child Count
Idaho,230858.0,2.3,,,<10,No,2003,Special Education Child Count
Idaho,233896.0,2.8,,,<10,No,2004,Special Education Child Count
Idaho,239211.0,3.4,,,<10,No,2005,Special Education Child Count
Idaho,243671.0,3.9,,,<10,No,2006,Special Education Child Count
Idaho,247944.0,4.7,,,<10,No,2007,Special Education Child Count
Idaho,250738.0,5.4,,,<10,No,2008,Special Education Child Count
Idaho,252048.0,6.1,,,<10,No,2009,Special Education Child Count
Idaho,252894.0,6.9,,,<10,No,2010,Special Education Child Count
Idaho,256634.0,7.2,,,<10,No,2011,Special Education Child Count
Idaho,259742.0,7.6,,,<10,No,2012,Special Education Child Count
Idaho,268999.0,7.9,,,<10,No,2013,Special Education Child Count
Idaho,266586.0,8.5,,,<10,No,2014,Special Education Child Count
Idaho,268654.0,9.1,,,<10,No,2015,Special Education Child Count
Idaho,273516.0,9.5,,,<10,No,2016,Special Education Child Count
Idaho,277227.0,10.0,,,10 to <20,No,2017,Special Education Child Count
Idaho,284765.0,10.5,,,10 to <20,No,2018,Special Education Child Count
Idaho,285235.0,11.0,,,10 to <20,No,2019,Special Education Child Count
Idaho,283224.0,11.9,,,10 to <20,No,2020,Special Education Child Count
Idaho,288673.0,12.6,,,10 to <20,No,2021,Special Education Child Count
Idaho,291782.0,13.3,,,10 to <20,No,2022,Special Education Child Count
