State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Indiana,13155.0,18.3,16.2,20.8,10 to <20,Yes,2022,ADDM Network*
Indiana,318736.0,2.8,2.6,3.0,<10,Yes,2000,Medicaid
Indiana,356775.0,3.0,2.8,3.2,<10,Yes,2001,Medicaid
Indiana,388141.0,3.7,3.5,3.9,<10,Yes,2002,Medicaid
Indiana,398970.0,4.5,4.3,4.7,<10,Yes,2003,Medicaid
Indiana,417564.0,4.9,4.7,5.1,<10,Yes,2004,Medicaid
Indiana,431557.0,5.2,5.0,5.4,<10,Yes,2005,Medicaid
Indiana,440375.0,5.6,5.4,5.8,<10,Yes,2006,Medicaid
Indiana,447565.0,5.9,5.7,6.1,<10,Yes,2007,Medicaid
Indiana,461624.0,6.4,6.2,6.7,<10,Yes,2008,Medicaid
Indiana,494406.0,7.4,7.2,7.7,<10,Yes,2009,Medicaid
Indiana,522457.0,8.0,7.8,8.2,<10,Yes,2010,Medicaid
Indiana,532109.0,8.2,8.0,8.5,<10,Yes,2011,Medicaid
Indiana,539224.0,8.9,8.6,9.1,<10,Yes,2012,Medicaid
Indiana,538526.0,9.5,9.2,9.8,<10,Yes,2013,Medicaid
Indiana,587702.0,8.3,8.1,8.5,<10,Yes,2016,Medicaid
Indiana,592124.0,8.9,8.7,9.1,<10,Yes,2017,Medicaid
Indiana,594630.0,10.6,10.3,10.8,10 to <20,Yes,2018,Medicaid
Indiana,594408.0,12.1,11.8,12.4,10 to <20,Yes,2019,Medicaid
Indiana,612438.0,13.6,13.3,13.9,10 to <20,Yes,2020,Medicaid
Indiana,668954.0,15.0,14.7,15.3,10 to <20,Yes,2021,Medicaid
Indiana,709933.0,16.6,16.3,16.9,10 to <20,Yes,2022,Medicaid
Indiana,1521.0,20.4,13.2,31.2,20 to <30,Yes,2007,National Survey of Children's Health†
Indiana,1566.0,17.3,10.5,28.5,10 to <20,Yes,2011,National Survey of Children's Health†
Indiana,2854.0,29.9,23.0,38.7,20 to <30,Yes,2020,National Survey of Children's Health†
Indiana,1383.0,30.7,21.6,43.5,30+,Yes,2022,National Survey of Children's Health†
Indiana,908247.0,2.7,2.6,2.8,<10,Yes,2000,Special Education Child Count
Indiana,912934.0,3.4,3.3,3.5,<10,Yes,2001,Special Education Child Count
Indiana,924149.0,4.1,4.0,4.2,<10,Yes,2002,Special Education Child Count
Indiana,931573.0,4.8,4.7,5.0,<10,Yes,2003,Special Education Child Count
Indiana,940239.0,5.6,5.5,5.8,<10,Yes,2004,Special Education Child Count
Indiana,949054.0,6.5,6.3,6.6,<10,Yes,2005,Special Education Child Count
Indiana,956647.0,7.3,7.2,7.5,<10,Yes,2006,Special Education Child Count
Indiana,960564.0,8.2,8.0,8.4,<10,Yes,2007,Special Education Child Count
Indiana,958352.0,9.2,9.0,9.4,<10,Yes,2008,Special Education Child Count
Indiana,955993.0,10.0,9.8,10.2,10 to <20,Yes,2009,Special Education Child Count
Indiana,958815.0,10.5,10.3,10.7,10 to <20,Yes,2010,Special Education Child Count
Indiana,953059.0,11.2,11.0,11.4,10 to <20,Yes,2011,Special Education Child Count
Indiana,951574.0,12.3,12.1,12.5,10 to <20,Yes,2012,Special Education Child Count
Indiana,951113.0,12.8,12.6,13.0,10 to <20,Yes,2013,Special Education Child Count
Indiana,949973.0,13.3,13.1,13.6,10 to <20,Yes,2014,Special Education Child Count
Indiana,950139.0,13.7,13.5,14.0,10 to <20,Yes,2015,Special Education Child Count
Indiana,952449.0,14.2,13.9,14.4,10 to <20,Yes,2016,Special Education Child Count
Indiana,955441.0,14.6,14.3,14.8,10 to <20,Yes,2017,Special Education Child Count
Indiana,957993.0,14.9,14.7,15.1,10 to <20,Yes,2018,Special Education Child Count
Indiana,945686.0,15.4,15.1,15.6,10 to <20,Yes,2019,Special Education Child Count
Indiana,942226.0,15.8,15.6,16.1,10 to <20,Yes,2020,Special Education Child Count
Indiana,937345.0,16.4,16.1,16.6,10 to <20,Yes,2021,Special Education Child Count
Indiana,937232.0,17.6,17.3,17.8,10 to <20,Yes,2022,Special Education Child Count
Indiana,13155.0,18.3,,,10 to <20,No,2022,ADDM Network*
Indiana,318736.0,2.8,,,<10,No,2000,Medicaid
Indiana,356775.0,3.0,,,<10,No,2001,Medicaid
Indiana,388141.0,3.7,,,<10,No,2002,Medicaid
Indiana,398970.0,4.5,,,<10,No,2003,Medicaid
Indiana,417564.0,4.9,,,<10,No,2004,Medicaid
Indiana,431557.0,5.2,,,<10,No,2005,Medicaid
Indiana,440375.0,5.6,,,<10,No,2006,Medicaid
Indiana,447565.0,5.9,,,<10,No,2007,Medicaid
Indiana,461624.0,6.4,,,<10,No,2008,Medicaid
Indiana,494406.0,7.4,,,<10,No,2009,Medicaid
Indiana,522457.0,8.0,,,<10,No,2010,Medicaid
Indiana,532109.0,8.2,,,<10,No,2011,Medicaid
Indiana,539224.0,8.9,,,<10,No,2012,Medicaid
Indiana,538526.0,9.5,,,<10,No,2013,Medicaid
Indiana,587702.0,8.3,,,<10,No,2016,Medicaid
Indiana,592124.0,8.9,,,<10,No,2017,Medicaid
Indiana,594630.0,10.6,,,10 to <20,No,2018,Medicaid
Indiana,594408.0,12.1,,,10 to <20,No,2019,Medicaid
Indiana,612438.0,13.6,,,10 to <20,No,2020,Medicaid
Indiana,668954.0,15.0,,,10 to <20,No,2021,Medicaid
Indiana,709933.0,16.6,,,10 to <20,No,2022,Medicaid
Indiana,1521.0,20.4,,,20 to <30,No,2007,National Survey of Children's Health†
Indiana,1566.0,17.3,,,10 to <20,No,2011,National Survey of Children's Health†
Indiana,2854.0,29.9,,,20 to <30,No,2020,National Survey of Children's Health†
Indiana,1383.0,30.7,,,30+,No,2022,National Survey of Children's Health†
Indiana,908247.0,2.7,,,<10,No,2000,Special Education Child Count
Indiana,912934.0,3.4,,,<10,No,2001,Special Education Child Count
Indiana,924149.0,4.1,,,<10,No,2002,Special Education Child Count
Indiana,931573.0,4.8,,,<10,No,2003,Special Education Child Count
Indiana,940239.0,5.6,,,<10,No,2004,Special Education Child Count
Indiana,949054.0,6.5,,,<10,No,2005,Special Education Child Count
Indiana,956647.0,7.3,,,<10,No,2006,Special Education Child Count
Indiana,960564.0,8.2,,,<10,No,2007,Special Education Child Count
Indiana,958352.0,9.2,,,<10,No,2008,Special Education Child Count
Indiana,955993.0,10.0,,,10 to <20,No,2009,Special Education Child Count
Indiana,958815.0,10.5,,,10 to <20,No,2010,Special Education Child Count
Indiana,953059.0,11.2,,,10 to <20,No,2011,Special Education Child Count
Indiana,951574.0,12.3,,,10 to <20,No,2012,Special Education Child Count
Indiana,951113.0,12.8,,,10 to <20,No,2013,Special Education Child Count
Indiana,949973.0,13.3,,,10 to <20,No,2014,Special Education Child Count
Indiana,950139.0,13.7,,,10 to <20,No,2015,Special Education Child Count
Indiana,952449.0,14.2,,,10 to <20,No,2016,Special Education Child Count
Indiana,955441.0,14.6,,,10 to <20,No,2017,Special Education Child Count
Indiana,957993.0,14.9,,,10 to <20,No,2018,Special Education Child Count
Indiana,945686.0,15.4,,,10 to <20,No,2019,Special Education Child Count
Indiana,942226.0,15.8,,,10 to <20,No,2020,Special Education Child Count
Indiana,937345.0,16.4,,,10 to <20,No,2021,Special Education Child Count
Indiana,937232.0,17.6,,,10 to <20,No,2022,Special Education Child Count
