State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Kentucky,270411.0,2.2,2.0,2.4,<10,Yes,2000,Medicaid
Kentucky,286937.0,2.6,2.4,2.8,<10,Yes,2001,Medicaid
Kentucky,292737.0,3.1,2.9,3.3,<10,Yes,2002,Medicaid
Kentucky,305029.0,3.3,3.1,3.5,<10,Yes,2003,Medicaid
Kentucky,315654.0,3.3,3.1,3.6,<10,Yes,2004,Medicaid
Kentucky,328498.0,4.0,3.8,4.3,<10,Yes,2005,Medicaid
Kentucky,324260.0,4.7,4.5,5.0,<10,Yes,2006,Medicaid
Kentucky,326825.0,5.7,5.5,6.0,<10,Yes,2007,Medicaid
Kentucky,331120.0,6.9,6.6,7.2,<10,Yes,2008,Medicaid
Kentucky,355465.0,7.5,7.2,7.8,<10,Yes,2009,Medicaid
Kentucky,378070.0,8.3,8.0,8.6,<10,Yes,2010,Medicaid
Kentucky,383962.0,10.1,9.8,10.5,10 to <20,Yes,2011,Medicaid
Kentucky,393564.0,11.6,11.3,12.0,10 to <20,Yes,2012,Medicaid
Kentucky,395988.0,13.2,12.8,13.5,10 to <20,Yes,2013,Medicaid
Kentucky,475778.0,14.5,14.1,14.8,10 to <20,Yes,2016,Medicaid
Kentucky,490367.0,15.2,14.8,15.5,10 to <20,Yes,2017,Medicaid
Kentucky,497723.0,16.5,16.1,16.8,10 to <20,Yes,2018,Medicaid
Kentucky,490044.0,17.9,17.5,18.2,10 to <20,Yes,2019,Medicaid
Kentucky,498371.0,17.8,17.5,18.2,10 to <20,Yes,2020,Medicaid
Kentucky,514596.0,19.9,19.5,20.2,10 to <20,Yes,2021,Medicaid
Kentucky,520607.0,23.2,22.8,23.6,20 to <30,Yes,2022,Medicaid
Kentucky,1592.0,20.7,12.7,33.4,20 to <30,Yes,2011,National Survey of Children's Health†
Kentucky,2841.0,24.9,19.3,32.2,20 to <30,Yes,2020,National Survey of Children's Health†
Kentucky,1404.0,35.6,25.6,49.4,30+,Yes,2022,National Survey of Children's Health†
Kentucky,593147.0,1.4,1.3,1.5,<10,Yes,2000,Special Education Child Count
Kentucky,570513.0,1.7,1.6,1.8,<10,Yes,2001,Special Education Child Count
Kentucky,576765.0,2.0,1.8,2.1,<10,Yes,2002,Special Education Child Count
Kentucky,577827.0,2.2,2.1,2.4,<10,Yes,2003,Special Education Child Count
Kentucky,582368.0,2.6,2.4,2.7,<10,Yes,2004,Special Education Child Count
Kentucky,586381.0,2.9,2.8,3.1,<10,Yes,2005,Special Education Child Count
Kentucky,591501.0,3.3,3.2,3.5,<10,Yes,2006,Special Education Child Count
Kentucky,597987.0,3.8,3.7,4.0,<10,Yes,2007,Special Education Child Count
Kentucky,600466.0,4.4,4.2,4.5,<10,Yes,2008,Special Education Child Count
Kentucky,600532.0,4.9,4.8,5.1,<10,Yes,2009,Special Education Child Count
Kentucky,597317.0,5.5,5.3,5.7,<10,Yes,2010,Special Education Child Count
Kentucky,601070.0,6.1,5.9,6.3,<10,Yes,2011,Special Education Child Count
Kentucky,604045.0,6.8,6.5,7.0,<10,Yes,2012,Special Education Child Count
Kentucky,597518.0,7.6,7.4,7.8,<10,Yes,2013,Special Education Child Count
Kentucky,608929.0,8.0,7.7,8.2,<10,Yes,2014,Special Education Child Count
