State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Maine,69466.0,9.8,9.1,10.6,<10,Yes,2000,Medicaid
Maine,73985.0,12.0,11.2,12.8,10 to <20,Yes,2001,Medicaid
Maine,87386.0,12.1,11.4,12.8,10 to <20,Yes,2002,Medicaid
Maine,85462.0,15.4,14.6,16.2,10 to <20,Yes,2003,Medicaid
Maine,88494.0,16.9,16.0,17.7,10 to <20,Yes,2004,Medicaid
Maine,101634.0,28.1,27.1,29.1,20 to <30,Yes,2011,Medicaid
Maine,100934.0,30.9,29.9,32.0,30+,Yes,2012,Medicaid
Maine,100193.0,33.2,32.1,34.4,30+,Yes,2013,Medicaid
Maine,96627.0,40.5,39.3,41.7,30+,Yes,2016,Medicaid
Maine,93981.0,42.4,41.1,43.7,30+,Yes,2017,Medicaid
Maine,92097.0,44.1,42.8,45.5,30+,Yes,2018,Medicaid
Maine,91236.0,45.8,44.4,47.1,30+,Yes,2019,Medicaid
Maine,93668.0,43.8,42.5,45.1,30+,Yes,2020,Medicaid
Maine,102597.0,42.1,40.9,43.3,30+,Yes,2021,Medicaid
Maine,108768.0,42.7,41.4,43.9,30+,Yes,2022,Medicaid
Maine,1526.0,21.7,14.1,33.3,20 to <30,Yes,2007,National Survey of Children's Health†
Maine,1570.0,20.9,13.9,31.2,20 to <30,Yes,2011,National Survey of Children's Health†
Maine,2829.0,34.2,27.0,43.1,30+,Yes,2020,National Survey of Children's Health†
Maine,1528.0,36.9,26.4,51.3,30+,Yes,2022,National Survey of Children's Health†
Maine,190153.0,2.3,2.1,2.5,<10,Yes,2000,Special Education Child Count
Maine,188117.0,2.8,2.6,3.1,<10,Yes,2001,Special Education Child Count
Maine,186615.0,3.5,3.2,3.7,<10,Yes,2002,Special Education Child Count
Maine,186248.0,4.2,3.9,4.5,<10,Yes,2003,Special Education Child Count
Maine,183386.0,5.2,4.8,5.5,<10,Yes,2004,Special Education Child Count
Maine,179838.0,6.2,5.8,6.6,<10,Yes,2005,Special Education Child Count
