State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Maryland,21532.0,5.5,4.6,6.6,<10,Yes,2000,ADDM Network*
Maryland,29722.0,6.7,5.8,7.7,<10,Yes,2002,ADDM Network*
Maryland,20981.0,8.8,7.6,10.2,<10,Yes,2004,ADDM Network*
Maryland,26489.0,9.2,8.1,10.4,<10,Yes,2006,ADDM Network*
Maryland,27022.0,12.4,11.2,13.8,10 to <20,Yes,2008,ADDM Network*
Maryland,27605.0,16.6,15.2,18.2,10 to <20,Yes,2010,ADDM Network*
Maryland,9577.0,18.2,15.7,21.0,10 to <20,Yes,2012,ADDM Network*
Maryland,9955.0,20.0,17.4,22.9,20 to <30,Yes,2014,ADDM Network*
Maryland,9993.0,19.2,16.7,22.1,10 to <20,Yes,2016,ADDM Network*
Maryland,20666.0,20.5,18.6,22.5,20 to <30,Yes,2018,ADDM Network*
Maryland,21278.0,23.1,21.1,25.2,20 to <30,Yes,2020,ADDM Network*
Maryland,21206.0,26.3,24.2,28.6,20 to <30,Yes,2022,ADDM Network*
Maryland,275403.0,1.9,1.8,2.1,<10,Yes,2000,Medicaid
Maryland,297394.0,2.5,2.3,2.7,<10,Yes,2001,Medicaid
Maryland,319183.0,3.7,3.5,3.9,<10,Yes,2002,Medicaid
Maryland,331647.0,4.8,4.6,5.0,<10,Yes,2003,Medicaid
Maryland,331587.0,5.4,5.1,5.6,<10,Yes,2004,Medicaid
Maryland,337905.0,5.8,5.5,6.1,<10,Yes,2005,Medicaid
Maryland,337131.0,6.0,5.8,6.3,<10,Yes,2006,Medicaid
Maryland,341325.0,6.2,5.9,6.4,<10,Yes,2007,Medicaid
Maryland,349174.0,6.4,6.1,6.7,<10,Yes,2008,Medicaid
Maryland,373812.0,6.0,5.7,6.2,<10,Yes,2009,Medicaid
Maryland,404787.0,5.7,5.5,5.9,<10,Yes,2010,Medicaid
Maryland,430293.0,5.2,5.0,5.4,<10,Yes,2011,Medicaid
Maryland,451143.0,5.3,5.1,5.5,<10,Yes,2012,Medicaid
Maryland,467487.0,5.7,5.5,6.0,<10,Yes,2013,Medicaid
Maryland,510901.0,5.7,5.5,5.9,<10,Yes,2017,Medicaid
Maryland,521433.0,11.2,11.0,11.5,10 to <20,Yes,2018,Medicaid
Maryland,523667.0,12.6,12.3,13.0,10 to <20,Yes,2019,Medicaid
Maryland,521326.0,13.5,13.2,13.8,10 to <20,Yes,2020,Medicaid
Maryland,550240.0,15.1,14.8,15.4,10 to <20,Yes,2021,Medicaid
Maryland,574550.0,17.4,17.0,17.7,10 to <20,Yes,2022,Medicaid
Maryland,1798.0,13.0,7.9,21.2,10 to <20,Yes,2011,National Survey of Children's Health†
Maryland,3016.0,28.1,20.5,38.5,20 to <30,Yes,2020,National Survey of Children's Health†
Maryland,1301.0,22.0,13.8,35.0,20 to <30,Yes,2022,National Survey of Children's Health†
Maryland,770940.0,2.4,2.3,2.5,<10,Yes,2000,Special Education Child Count
Maryland,778239.0,2.9,2.8,3.0,<10,Yes,2001,Special Education Child Count
Maryland,784109.0,3.5,3.4,3.7,<10,Yes,2002,Special Education Child Count
Maryland,787162.0,4.2,4.1,4.4,<10,Yes,2003,Special Education Child Count
Maryland,787343.0,4.9,4.7,5.0,<10,Yes,2004,Special Education Child Count
Maryland,778943.0,5.6,5.4,5.8,<10,Yes,2005,Special Education Child Count
Maryland,769833.0,6.2,6.1,6.4,<10,Yes,2006,Special Education Child Count
Maryland,759066.0,7.1,6.9,7.2,<10,Yes,2007,Special Education Child Count
Maryland,756510.0,8.3,8.1,8.5,<10,Yes,2008,Special Education Child Count
Maryland,758358.0,9.1,8.8,9.3,<10,Yes,2009,Special Education Child Count
Maryland,760130.0,9.6,9.4,9.9,<10,Yes,2010,Special Education Child Count
Maryland,760509.0,10.1,9.9,10.3,10 to <20,Yes,2011,Special Education Child Count
Maryland,763071.0,10.6,10.4,10.8,10 to <20,Yes,2012,Special Education Child Count
Maryland,768810.0,11.1,10.9,11.3,10 to <20,Yes,2013,Special Education Child Count
Maryland,777929.0,11.3,11.1,11.6,10 to <20,Yes,2014,Special Education Child Count
Maryland,783637.0,11.6,11.4,11.9,10 to <20,Yes,2015,Special Education Child Count
Maryland,790804.0,11.9,11.7,12.1,10 to <20,Yes,2016,Special Education Child Count
Maryland,799217.0,12.5,12.2,12.7,10 to <20,Yes,2017,Special Education Child Count
Maryland,802099.0,13.1,12.8,13.3,10 to <20,Yes,2018,Special Education Child Count
Maryland,812114.0,13.6,13.4,13.9,10 to <20,Yes,2019,Special Education Child Count
Maryland,800520.0,14.8,14.5,15.0,10 to <20,Yes,2020,Special Education Child Count
Maryland,792023.0,15.4,15.1,15.6,10 to <20,Yes,2021,Special Education Child Count
Maryland,798256.0,17.3,17.0,17.6,10 to <20,Yes,2022,Special Education Child Count
Maryland,21532.0,5.5,,,<10,No,2000,ADDM Network*
Maryland,29722.0,6.7,,,<10,No,2002,ADDM Network*
Maryland,20981.0,8.8,,,<10,No,2004,ADDM Network*
Maryland,26489.0,9.2,,,<10,No,2006,ADDM Network*
Maryland,27022.0,12.4,,,10 to <20,No,2008,ADDM Network*
Maryland,27605.0,16.6,,,10 to <20,No,2010,ADDM Network*
Maryland,9577.0,18.2,,,10 to <20,No,2012,ADDM Network*
Maryland,9955.0,20.0,,,20 to <30,No,2014,ADDM Network*
Maryland,9993.0,19.2,,,10 to <20,No,2016,ADDM Network*
Maryland,20666.0,20.5,,,20 to <30,No,2018,ADDM Network*
Maryland,21278.0,23.1,,,20 to <30,No,2020,ADDM Network*
Maryland,21206.0,26.3,,,20 to <30,No,2022,ADDM Network*
Maryland,275403.0,1.9,,,<10,No,2000,Medicaid
Maryland,297394.0,2.5,,,<10,No,2001,Medicaid
Maryland,319183.0,3.7,,,<10,No,2002,Medicaid
Maryland,331647.0,4.8,,,<10,No,2003,Medicaid
Maryland,331587.0,5.4,,,<10,No,2004,Medicaid
Maryland,337905.0,5.8,,,<10,No,2005,Medicaid
Maryland,337131.0,6.0,,,<10,No,2006,Medicaid
Maryland,341325.0,6.2,,,<10,No,2007,Medicaid
Maryland,349174.0,6.4,,,<10,No,2008,Medicaid
Maryland,373812.0,6.0,,,<10,No,2009,Medicaid
Maryland,404787.0,5.7,,,<10,No,2010,Medicaid
Maryland,430293.0,5.2,,,<10,No,2011,Medicaid
Maryland,451143.0,5.3,,,<10,No,2012,Medicaid
Maryland,467487.0,5.7,,,<10,No,2013,Medicaid
Maryland,510901.0,5.7,,,<10,No,2017,Medicaid
Maryland,521433.0,11.2,,,10 to <20,No,2018,Medicaid
Maryland,523667.0,12.6,,,10 to <20,No,2019,Medicaid
Maryland,521326.0,13.5,,,10 to <20,No,2020,Medicaid
Maryland,550240.0,15.1,,,10 to <20,No,2021,Medicaid
Maryland,574550.0,17.4,,,10 to <20,No,2022,Medicaid
Maryland,1798.0,13.0,,,10 to <20,No,2011,National Survey of Children's Health†
Maryland,3016.0,28.1,,,20 to <30,No,2020,National Survey of Children's Health†
Maryland,1301.0,22.0,,,20 to <30,No,2022,National Survey of Children's Health†
Maryland,770940.0,2.4,,,<10,No,2000,Special Education Child Count
Maryland,778239.0,2.9,,,<10,No,2001,Special Education Child Count
Maryland,784109.0,3.5,,,<10,No,2002,Special Education Child Count
Maryland,787162.0,4.2,,,<10,No,2003,Special Education Child Count
Maryland,787343.0,4.9,,,<10,No,2004,Special Education Child Count
Maryland,778943.0,5.6,,,<10,No,2005,Special Education Child Count
Maryland,769833.0,6.2,,,<10,No,2006,Special Education Child Count
Maryland,759066.0,7.1,,,<10,No,2007,Special Education Child Count
Maryland,756510.0,8.3,,,<10,No,2008,Special Education Child Count
Maryland,758358.0,9.1,,,<10,No,2009,Special Education Child Count
Maryland,760130.0,9.6,,,<10,No,2010,Special Education Child Count
Maryland,760509.0,10.1,,,10 to <20,No,2011,Special Education Child Count
Maryland,763071.0,10.6,,,10 to <20,No,2012,Special Education Child Count
Maryland,768810.0,11.1,,,10 to <20,No,2013,Special Education Child Count
Maryland,777929.0,11.3,,,10 to <20,No,2014,Special Education Child Count
Maryland,783637.0,11.6,,,10 to <20,No,2015,Special Education Child Count
Maryland,790804.0,11.9,,,10 to <20,No,2016,Special Education Child Count
Maryland,799217.0,12.5,,,10 to <20,No,2017,Special Education Child Count
Maryland,802099.0,13.1,,,10 to <20,No,2018,Special Education Child Count
Maryland,812114.0,13.6,,,10 to <20,No,2019,Special Education Child Count
Maryland,800520.0,14.8,,,10 to <20,No,2020,Special Education Child Count
Maryland,792023.0,15.4,,,10 to <20,No,2021,Special Education Child Count
Maryland,798256.0,17.3,,,10 to <20,No,2022,Special Education Child Count
