State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Massachusetts,331038.0,1.1,1.0,1.2,<10,Yes,2000,Medicaid
Massachusetts,334015.0,1.2,1.1,1.3,<10,Yes,2001,Medicaid
Massachusetts,352027.0,1.3,1.2,1.5,<10,Yes,2002,Medicaid
Massachusetts,339011.0,1.5,1.4,1.7,<10,Yes,2003,Medicaid
Massachusetts,337855.0,1.7,1.6,1.9,<10,Yes,2004,Medicaid
Massachusetts,350146.0,1.9,1.7,2.0,<10,Yes,2005,Medicaid
Massachusetts,340954.0,2.2,2.1,2.4,<10,Yes,2006,Medicaid
Massachusetts,347378.0,2.8,2.7,3.0,<10,Yes,2007,Medicaid
Massachusetts,355169.0,3.2,3.0,3.4,<10,Yes,2008,Medicaid
Massachusetts,348542.0,4.5,4.3,4.7,<10,Yes,2009,Medicaid
Massachusetts,308024.0,5.3,5.0,5.5,<10,Yes,2010,Medicaid
Massachusetts,397423.0,11.2,10.9,11.6,10 to <20,Yes,2011,Medicaid
Massachusetts,422371.0,15.0,14.6,15.3,10 to <20,Yes,2012,Medicaid
Massachusetts,428910.0,16.2,15.8,16.6,10 to <20,Yes,2013,Medicaid
Massachusetts,532544.0,15.1,14.8,15.5,10 to <20,Yes,2016,Medicaid
Massachusetts,552907.0,17.3,16.9,17.6,10 to <20,Yes,2017,Medicaid
Massachusetts,558889.0,19.5,19.2,19.9,10 to <20,Yes,2018,Medicaid
Massachusetts,550357.0,21.8,21.4,22.2,20 to <30,Yes,2019,Medicaid
Massachusetts,533593.0,27.5,27.0,27.9,20 to <30,Yes,2020,Medicaid
Massachusetts,560045.0,29.9,29.5,30.4,20 to <30,Yes,2021,Medicaid
Massachusetts,588781.0,31.8,31.4,32.3,30+,Yes,2022,Medicaid
Massachusetts,1756.0,7.9,4.5,14.0,<10,Yes,2003,National Survey of Children's Health†
Massachusetts,1570.0,23.2,14.4,37.1,20 to <30,Yes,2011,National Survey of Children's Health†
Massachusetts,3111.0,40.0,30.3,52.5,30+,Yes,2020,National Survey of Children's Health†
Massachusetts,1332.0,42.8,30.8,59.3,30+,Yes,2022,National Survey of Children's Health†
Massachusetts,884565.0,0.5,0.5,0.6,<10,Yes,2000,Special Education Child Count
Massachusetts,883908.0,2.8,2.7,2.9,<10,Yes,2001,Special Education Child Count
Massachusetts,890862.0,3.4,3.2,3.5,<10,Yes,2002,Special Education Child Count
Massachusetts,888222.0,4.2,4.1,4.4,<10,Yes,2003,Special Education Child Count
Massachusetts,883936.0,4.8,4.7,5.0,<10,Yes,2004,Special Education Child Count
Massachusetts,879050.0,5.5,5.3,5.6,<10,Yes,2005,Special Education Child Count
Massachusetts,874637.0,6.4,6.2,6.5,<10,Yes,2006,Special Education Child Count
Massachusetts,868555.0,7.4,7.2,7.6,<10,Yes,2007,Special Education Child Count
Massachusetts,862851.0,8.5,8.3,8.7,<10,Yes,2008,Special Education Child Count
Massachusetts,859991.0,9.4,9.2,9.6,<10,Yes,2009,Special Education Child Count
Massachusetts,859444.0,10.6,10.4,10.9,10 to <20,Yes,2010,Special Education Child Count
Massachusetts,856298.0,11.7,11.5,11.9,10 to <20,Yes,2011,Special Education Child Count
Massachusetts,855783.0,13.1,12.9,13.3,10 to <20,Yes,2012,Special Education Child Count
Massachusetts,856567.0,14.4,14.1,14.6,10 to <20,Yes,2013,Special Education Child Count
Massachusetts,858611.0,15.5,15.2,15.7,10 to <20,Yes,2014,Special Education Child Count
Massachusetts,866134.0,16.2,16.0,16.5,10 to <20,Yes,2015,Special Education Child Count
Massachusetts,865940.0,17.4,17.1,17.7,10 to <20,Yes,2016,Special Education Child Count
Massachusetts,856299.0,19.0,18.7,19.3,10 to <20,Yes,2017,Special Education Child Count
Massachusetts,854036.0,20.3,20.0,20.6,20 to <30,Yes,2018,Special Education Child Count
Massachusetts,851175.0,21.5,21.2,21.8,20 to <30,Yes,2019,Special Education Child Count
Massachusetts,839817.0,24.3,24.0,24.7,20 to <30,Yes,2020,Special Education Child Count
Massachusetts,827820.0,26.3,26.0,26.7,20 to <30,Yes,2021,Special Education Child Count
Massachusetts,827670.0,28.3,27.9,28.6,20 to <30,Yes,2022,Special Education Child Count
Massachusetts,331038.0,1.1,,,<10,No,2000,Medicaid
Massachusetts,334015.0,1.2,,,<10,No,2001,Medicaid
Massachusetts,352027.0,1.3,,,<10,No,2002,Medicaid
Massachusetts,339011.0,1.5,,,<10,No,2003,Medicaid
Massachusetts,337855.0,1.7,,,<10,No,2004,Medicaid
Massachusetts,350146.0,1.9,,,<10,No,2005,Medicaid
Massachusetts,340954.0,2.2,,,<10,No,2006,Medicaid
Massachusetts,347378.0,2.8,,,<10,No,2007,Medicaid
Massachusetts,355169.0,3.2,,,<10,No,2008,Medicaid
Massachusetts,348542.0,4.5,,,<10,No,2009,Medicaid
Massachusetts,308024.0,5.3,,,<10,No,2010,Medicaid
Massachusetts,397423.0,11.2,,,10 to <20,No,2011,Medicaid
Massachusetts,422371.0,15.0,,,10 to <20,No,2012,Medicaid
Massachusetts,428910.0,16.2,,,10 to <20,No,2013,Medicaid
Massachusetts,532544.0,15.1,,,10 to <20,No,2016,Medicaid
Massachusetts,552907.0,17.3,,,10 to <20,No,2017,Medicaid
Massachusetts,558889.0,19.5,,,10 to <20,No,2018,Medicaid
Massachusetts,550357.0,21.8,,,20 to <30,No,2019,Medicaid
Massachusetts,533593.0,27.5,,,20 to <30,No,2020,Medicaid
Massachusetts,560045.0,29.9,,,20 to <30,No,2021,Medicaid
Massachusetts,588781.0,31.8,,,30+,No,2022,Medicaid
Massachusetts,1756.0,7.9,,,<10,No,2003,National Survey of Children's Health†
Massachusetts,1570.0,23.2,,,20 to <30,No,2011,National Survey of Children's Health†
Massachusetts,3111.0,40.0,,,30+,No,2020,National Survey of Children's Health†
Massachusetts,1332.0,42.8,,,30+,No,2022,National Survey of Children's Health†
Massachusetts,884565.0,0.5,,,<10,No,2000,Special Education Child Count
Massachusetts,883908.0,2.8,,,<10,No,2001,Special Education Child Count
Massachusetts,890862.0,3.4,,,<10,No,2002,Special Education Child Count
Massachusetts,888222.0,4.2,,,<10,No,2003,Special Education Child Count
Massachusetts,883936.0,4.8,,,<10,No,2004,Special Education Child Count
Massachusetts,879050.0,5.5,,,<10,No,2005,Special Education Child Count
Massachusetts,874637.0,6.4,,,<10,No,2006,Special Education Child Count
Massachusetts,868555.0,7.4,,,<10,No,2007,Special Education Child Count
Massachusetts,862851.0,8.5,,,<10,No,2008,Special Education Child Count
Massachusetts,859991.0,9.4,,,<10,No,2009,Special Education Child Count
Massachusetts,859444.0,10.6,,,10 to <20,No,2010,Special Education Child Count
Massachusetts,856298.0,11.7,,,10 to <20,No,2011,Special Education Child Count
Massachusetts,855783.0,13.1,,,10 to <20,No,2012,Special Education Child Count
Massachusetts,856567.0,14.4,,,10 to <20,No,2013,Special Education Child Count
Massachusetts,858611.0,15.5,,,10 to <20,No,2014,Special Education Child Count
Massachusetts,866134.0,16.2,,,10 to <20,No,2015,Special Education Child Count
Massachusetts,865940.0,17.4,,,10 to <20,No,2016,Special Education Child Count
Massachusetts,856299.0,19.0,,,10 to <20,No,2017,Special Education Child Count
Massachusetts,854036.0,20.3,,,20 to <30,No,2018,Special Education Child Count
Massachusetts,851175.0,21.5,,,20 to <30,No,2019,Special Education Child Count
Massachusetts,839817.0,24.3,,,20 to <30,No,2020,Special Education Child Count
Massachusetts,827820.0,26.3,,,20 to <30,No,2021,Special Education Child Count
Massachusetts,827670.0,28.3,,,20 to <30,No,2022,Special Education Child Count
