State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Minnesota,9767.0,24.0,21.1,27.2,20 to <30,Yes,2014,ADDM Network*
Minnesota,13728.0,22.8,20.4,25.4,20 to <30,Yes,2016,ADDM Network*
Minnesota,10081.0,27.5,24.5,30.9,20 to <30,Yes,2018,ADDM Network*
Minnesota,16150.0,29.8,27.3,32.6,20 to <30,Yes,2020,ADDM Network*
Minnesota,17331.0,35.5,32.9,38.4,30+,Yes,2022,ADDM Network*
Minnesota,211436.0,5.6,5.3,5.9,<10,Yes,2000,Medicaid
Minnesota,220104.0,6.5,6.2,6.9,<10,Yes,2001,Medicaid
Minnesota,235826.0,7.4,7.1,7.8,<10,Yes,2002,Medicaid
Minnesota,250920.0,8.6,8.3,9.0,<10,Yes,2003,Medicaid
Minnesota,256887.0,10.0,9.6,10.4,10 to <20,Yes,2004,Medicaid
Minnesota,261827.0,11.9,11.5,12.3,10 to <20,Yes,2005,Medicaid
Minnesota,261461.0,13.4,13.0,13.8,10 to <20,Yes,2006,Medicaid
Minnesota,259444.0,15.0,14.5,15.5,10 to <20,Yes,2007,Medicaid
Minnesota,265014.0,16.3,15.8,16.8,10 to <20,Yes,2008,Medicaid
Minnesota,285345.0,16.9,16.5,17.4,10 to <20,Yes,2009,Medicaid
Minnesota,306592.0,18.0,17.5,18.5,10 to <20,Yes,2010,Medicaid
Minnesota,321655.0,18.9,18.4,19.3,10 to <20,Yes,2011,Medicaid
Minnesota,327751.0,19.7,19.3,20.2,10 to <20,Yes,2012,Medicaid
Minnesota,336896.0,20.7,20.2,21.2,20 to <30,Yes,2013,Medicaid
Minnesota,424570.0,19.6,19.2,20.1,10 to <20,Yes,2016,Medicaid
Minnesota,432295.0,23.0,22.6,23.5,20 to <30,Yes,2017,Medicaid
Minnesota,432869.0,26.1,25.6,26.5,20 to <30,Yes,2018,Medicaid
Minnesota,428709.0,27.9,27.4,28.4,20 to <30,Yes,2019,Medicaid
Minnesota,427732.0,27.8,27.3,28.3,20 to <30,Yes,2020,Medicaid
Minnesota,457006.0,28.8,28.3,29.3,20 to <30,Yes,2021,Medicaid
Minnesota,477374.0,30.3,29.8,30.8,30+,Yes,2022,Medicaid
Minnesota,1469.0,19.7,12.4,31.0,10 to <20,Yes,2007,National Survey of Children's Health†
Minnesota,1544.0,29.1,18.6,45.3,20 to <30,Yes,2011,National Survey of Children's Health†
Minnesota,3068.0,28.7,21.7,38.0,20 to <30,Yes,2020,National Survey of Children's Health†
Minnesota,1314.0,41.9,29.4,59.4,30+,Yes,2022,National Survey of Children's Health†
Minnesota,786077.0,3.0,2.9,3.1,<10,Yes,2000,Special Education Child Count
Minnesota,783356.0,4.0,3.8,4.1,<10,Yes,2001,Special Education Child Count
Minnesota,778097.0,5.0,4.9,5.2,<10,Yes,2002,Special Education Child Count
Minnesota,772648.0,6.2,6.0,6.4,<10,Yes,2003,Special Education Child Count
Minnesota,768673.0,7.7,7.5,7.9,<10,Yes,2004,Special Education Child Count
Minnesota,767680.0,9.1,8.9,9.3,<10,Yes,2005,Special Education Child Count
Minnesota,767534.0,10.5,10.3,10.7,10 to <20,Yes,2006,Special Education Child Count
Minnesota,764643.0,12.0,11.8,12.3,10 to <20,Yes,2007,Special Education Child Count
Minnesota,760544.0,13.5,13.2,13.8,10 to <20,Yes,2008,Special Education Child Count
